participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
1,5,2465515729038,801253020,1,0,"(0.49582573771476746, 0.421907514333725)","(nan, nan)",1,0,3.119384765625,,"(-45.79585266113281, -62.04209899902344, 589.3989868164062)","(nan, nan, nan)","(-3.0619704723358154, 123.09651947021484, 34.16169738769531)","(nan, nan, nan)"
1,5,2465515745706,801269687,1,1,"(0.48402008414268494, 0.30778422951698303)","(0.4741475284099579, 0.4024291932582855)",1,1,2.927215576171875,3.09271240234375,"(-45.66058349609375, -61.95619583129883, 589.381103515625)","(17.62211799621582, -63.513893127441406, 593.2740478515625)","(-7.141122341156006, 143.93963623046875, 41.74793243408203)","(-10.552340507507324, 126.65397644042969, 35.456478118896484)"
1,5,2465515762373,801286354,1,1,"(0.4972434341907501, 0.36385220289230347)","(0.4858193099498749, 0.39106476306915283)",1,1,3.017486572265625,3.081878662109375,"(-45.54464340209961, -61.982452392578125, 589.6404418945312)","(17.75829315185547, -63.572959899902344, 593.471435546875)","(-2.57210373878479, 133.69955444335938, 38.0208740234375)","(-6.519444942474365, 128.72955322265625, 36.211936950683594)"
1,5,2465515779040,801303020,0,1,"(nan, nan)","(0.4955255091190338, 0.3707967698574066)",0,1,,3.0069122314453125,"(nan, nan, nan)","(17.815410614013672, -63.540679931640625, 593.526611328125)","(nan, nan, nan)","(-3.165703535079956, 132.43121337890625, 37.55924987792969)"
1,5,2465515795707,801319687,1,0,"(0.5045526027679443, 0.3773321211338043)","(nan, nan)",1,0,3.02398681640625,,"(-45.43994140625, -61.902679443359375, 589.49853515625)","(nan, nan, nan)","(-0.04661544784903526, 131.2376251220703, 37.12480545043945)","(nan, nan, nan)"
1,5,2465515812375,801336354,1,1,"(0.503558337688446, 0.3831181824207306)","(0.49573612213134766, 0.385038286447525)",1,1,3.0246734619140625,3.029769897460937,"(-45.471641540527344, -61.92373275756836, 589.6009521484375)","(17.816503524780273, -63.5538330078125, 593.6827392578125)","(-0.39014843106269836, 130.18089294433594, 36.740142822265625)","(-3.0929412841796875, 129.83018493652344, 36.61254119873047)"
1,5,2465515829041,801353020,0,1,"(nan, nan)","(0.4787605106830597, 0.38640791177749634)",0,1,,3.023712158203125,"(nan, nan, nan)","(17.754941940307617, -63.512325286865234, 593.6951904296875)","(nan, nan, nan)","(-8.958436965942383, 129.58004760742188, 36.52151107788086)"
1,5,2465515845711,801369690,1,1,"(0.513342559337616, 0.3722931742668152)","(0.4843157231807709, 0.3891892433166504)",1,1,3.0050811767578125,3.059188842773437,"(-45.710018157958984, -61.85444259643555, 589.74169921875)","(17.60025978088379, -63.42540740966797, 593.7338256835938)","(2.9905343055725098, 132.15792846679688, 37.459754943847656)","(-7.038960933685303, 129.07208251953125, 36.33660888671875)"
1,5,2465515862379,801386357,1,1,"(0.5074679851531982, 0.3793753981590271)","(0.49191778898239136, 0.34074437618255615)",1,1,3.033721923828125,2.9496307373046875,"(-45.859039306640625, -61.79072570800781, 589.595703125)","(17.450824737548828, -63.30470657348633, 593.721435546875)","(0.9607299566268921, 130.8644561767578, 36.988983154296875)","(-4.412255764007568, 137.91990661621094, 39.556907653808594)"
1,5,2465515879037,801403015,1,1,"(0.49873337149620056, 0.37392687797546387)","(0.491952121257782, 0.3735714256763458)",1,1,3.0085906982421875,2.949188232421875,"(-46.028385162353516, -61.69032287597656, 589.63818359375)","(17.291433334350586, -63.13794708251953, 593.6424560546875)","(-2.05730938911438, 131.8595428466797, 37.351173400878906)","(-4.400392532348633, 131.92445373535156, 37.374820709228516)"
