participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
4,17,657893318899,1518794617,1,1,"(0.4060552418231964, 0.4274905323982239)","(0.4547021687030792, 0.4682442545890808)",1,1,2.7928009033203125,3.0485992431640625,"(-9.637859344482422, 37.383026123046875, 483.54779052734375)","(54.839256286621094, 38.83697509765625, 479.9334716796875)","(-34.07994842529297, 122.07685852050781, 33.790550231933594)","(-17.27120590209961, 114.63372802734375, 31.08146858215332)"
4,17,657893335565,1518811283,1,1,"(0.40863698720932007, 0.4309558570384979)","(0.46031448245048523, 0.4516422748565674)",1,1,2.795196533203125,3.0449676513671875,"(-9.581666946411133, 37.395904541015625, 483.60784912109375)","(54.895042419433594, 38.81929397583008, 480.08502197265625)","(-33.187896728515625, 121.44395446777344, 33.56023025512695)","(-15.332011222839355, 117.66585540771484, 32.18509292602539)"
4,17,657893352233,1518827950,1,1,"(0.4099993109703064, 0.4190853536128998)","(0.46070021390914917, 0.4481455683708191)",1,1,2.8200225830078125,3.010223388671875,"(-9.51672649383545, 37.40289306640625, 483.60986328125)","(54.98332977294922, 38.83742904663086, 480.22711181640625)","(-32.717166900634766, 123.6119384765625, 34.34928894042969)","(-15.198737144470215, 118.30448913574219, 32.41753387451172)"
4,17,657893368900,1518844617,1,1,"(0.42634308338165283, 0.4357680082321167)","(0.47773003578186035, 0.45697709918022156)",1,1,2.78216552734375,3.0442657470703125,"(-9.356223106384277, 37.42513656616211, 483.614501953125)","(55.15026092529297, 38.82781982421875, 480.26507568359375)","(-27.06998634338379, 120.56509399414062, 33.24030685424805)","(-9.314496994018555, 116.69152069091797, 31.83045768737793)"
4,17,657893385567,1518861283,1,1,"(0.5311177968978882, 0.43000563979148865)","(0.5838295817375183, 0.4345039427280426)",1,1,2.8032379150390625,3.058212280273437,"(-8.830097198486328, 37.43830490112305, 483.57940673828125)","(55.53569030761719, 38.82220458984375, 480.4100341796875)","(9.132316589355469, 121.61750793457031, 33.62335205078125)","(27.3455810546875, 120.79595184326172, 33.3243408203125)"
4,17,657893402234,1518877950,1,1,"(0.5833167433738708, 0.4398553967475891)","(0.6432275176048279, 0.43514788150787354)",1,1,2.817001342773437,3.02471923828125,"(-8.518338203430176, 37.46653747558594, 483.556640625)","(55.726322174072266, 38.7361946105957, 480.0003356933594)","(27.168384552001953, 119.81857299804688, 32.9686164855957)","(47.86906814575195, 120.67832946777344, 33.28156661987305)"
4,17,657893418906,1518894622,1,1,"(0.5794170498847961, 0.44194528460502625)","(0.6291860342025757, 0.4477613568305969)",1,1,2.809677124023437,3.037338256835937,"(-8.489860534667969, 37.46617889404297, 483.59637451171875)","(55.82875061035156, 38.73733901977539, 480.060546875)","(25.8209285736084, 119.43689727783203, 32.82967758178711)","(43.01738357543945, 118.37466430664062, 32.44306182861328)"
4,17,657893435573,1518911288,1,1,"(0.5801323056221008, 0.43635252118110657)","(0.6306555867195129, 0.43265634775161743)",1,1,2.790267944335937,3.0468292236328125,"(-8.438855171203613, 37.44873809814453, 483.597900390625)","(55.9281005859375, 38.73542785644531, 480.0895690917969)","(26.068071365356445, 120.45833587646484, 33.20148849487305)","(43.5251350402832, 121.13336181640625, 33.44721603393555)"
4,17,657893452240,1518927955,1,1,"(0.5768585801124573, 0.4450949430465698)","(0.6283631920814514, 0.4394242465496063)",1,1,2.819915771484375,3.0524444580078125,"(-8.370759963989258, 37.46503829956055, 483.5800476074219)","(56.04179382324219, 38.727317810058594, 480.16180419921875)","(24.936925888061523, 118.86163330078125, 32.620330810546875)","(42.73306655883789, 119.8973159790039, 32.99729537963867)"
4,17,657893468908,1518944622,1,1,"(0.5803022384643555, 0.44369396567344666)","(0.6321516633033752, 0.4352109134197235)",1,1,2.8265380859375,3.043426513671875,"(-8.300804138183594, 37.47119140625, 483.61541748046875)","(56.11041259765625, 38.70659637451172, 479.9805908203125)","(26.126794815063477, 119.11749267578125, 32.713478088378906)","(44.04207992553711, 120.66683197021484, 33.27735900878906)"
4,17,657893485574,1518961288,1,1,"(0.580512523651123, 0.4440288841724396)","(0.6308027505874634, 0.4285200238227844)",1,1,2.822265625,3.052474975585937,"(-8.221626281738281, 37.481475830078125, 483.61151123046875)","(56.226051330566406, 38.7105712890625, 480.0917053222656)","(26.19945526123047, 119.05635070800781, 32.69117736816406)","(43.575984954833984, 121.88883209228516, 33.722110748291016)"
4,17,657893502242,1518977955,1,1,"(0.580405592918396, 0.43825915455818176)","(0.6349548101425171, 0.44000476598739624)",1,1,2.7955322265625,3.046051025390625,"(-8.134403228759766, 37.501590728759766, 483.6326904296875)","(56.320350646972656, 38.7068977355957, 480.04864501953125)","(26.162521362304688, 120.11009979248047, 33.074737548828125)","(45.01063919067383, 119.79129028320312, 32.95868682861328)"
4,17,657893518911,1518994624,1,1,"(0.5827064514160156, 0.44865942001342773)","(0.6255167126655579, 0.4401787221431732)",1,1,2.8175506591796875,3.069671630859375,"(-8.041666030883789, 37.50290298461914, 483.5838623046875)","(56.441749572753906, 38.70262908935547, 480.15936279296875)","(26.9575252532959, 118.21063232421875, 32.38336944580078)","(41.74955368041992, 119.75952911376953, 32.947105407714844)"
4,17,657893535579,1519011292,1,1,"(0.5816043019294739, 0.4481084942817688)","(0.630735456943512, 0.43041765689849854)",1,1,2.78961181640625,3.015365600585937,"(-7.944260597229004, 37.51304244995117, 483.61212158203125)","(56.56562805175781, 38.70316696166992, 480.197021484375)","(26.576711654663086, 118.31124114990234, 32.42000198364258)","(43.55275344848633, 121.54224395751953, 33.59600067138672)"
4,17,657893552247,1519027959,1,1,"(0.5811706781387329, 0.4434763491153717)","(0.6303697824478149, 0.4324949383735657)",1,1,2.8360748291015625,3.03375244140625,"(-7.835275173187256, 37.514183044433594, 483.5375061035156)","(56.675662994384766, 38.69366455078125, 480.26373291015625)","(26.426883697509766, 119.15724182128906, 32.727928161621094)","(43.4264030456543, 121.1628646850586, 33.45789337158203)"
4,17,657893568914,1519044626,1,1,"(0.5804249048233032, 0.44621041417121887)","(0.6296340823173523, 0.44070562720298767)",1,1,2.821380615234375,3.027618408203125,"(-7.730342388153076, 37.52497100830078, 483.507568359375)","(56.7573127746582, 38.65677261352539, 480.0682373046875)","(26.16916847229004, 118.65792083740234, 32.546165466308594)","(43.17218017578125, 119.66327667236328, 32.912113189697266)"
