participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
4,7,657335735197,961225236,1,1,"(0.4122103452682495, 0.4031729996204376)","(0.45188167691230774, 0.48404476046562195)",1,1,2.743637084960937,3.115951538085937,"(-33.110565185546875, -140.9038543701172, 706.530517578125)","(31.847728729248047, -140.56011962890625, 706.8184814453125)","(-31.953187942504883, 126.51813507080078, 35.40702819824219)","(-18.245752334594727, 111.74798583984375, 30.031139373779297)"
4,7,657335751864,961241902,1,1,"(0.4133705198764801, 0.40016970038414)","(0.44295427203178406, 0.49948543310165405)",1,1,2.7367401123046875,3.159515380859375,"(-33.10911178588867, -140.9031524658203, 706.5996704101562)","(31.85873031616211, -140.5467529296875, 706.7898559570312)","(-31.552335739135742, 127.066650390625, 35.60668182373047)","(-21.330394744873047, 108.92793273925781, 29.004749298095703)"
4,7,657335768531,961258569,1,1,"(0.4207867383956909, 0.40239596366882324)","(0.449503093957901, 0.4861818850040436)",1,1,2.774276733398437,3.1666717529296875,"(-33.10091018676758, -140.91006469726562, 706.6273803710938)","(31.879310607910156, -140.548095703125, 706.8018188476562)","(-28.989835739135742, 126.6600570678711, 35.45868682861328)","(-19.067611694335938, 111.35765838623047, 29.889097213745117)"
4,7,657335785198,961275236,1,1,"(0.4179832637310028, 0.3899628818035126)","(0.45026251673698425, 0.49134185910224915)",1,1,2.72064208984375,3.1498565673828125,"(-33.08995819091797, -140.90602111816406, 706.6424560546875)","(31.895992279052734, -140.53077697753906, 706.731201171875)","(-29.958513259887695, 128.9307861328125, 36.285179138183594)","(-18.805206298828125, 110.41525268554688, 29.546077728271484)"
4,7,657335801871,961291908,1,1,"(0.42346760630607605, 0.40345752239227295)","(0.4636000394821167, 0.5214440822601318)",1,1,2.67864990234375,3.189117431640625,"(-33.00035095214844, -140.92974853515625, 706.4710693359375)","(31.930469512939453, -140.67108154296875, 707.199462890625)","(-28.063533782958984, 126.46617889404297, 35.38813400268555)","(-14.196761131286621, 104.91749572753906, 27.545074462890625)"
4,7,657335818539,961308576,1,1,"(0.4116629660129547, 0.40872061252593994)","(0.4497338533401489, 0.5279077291488647)",1,1,2.65118408203125,3.1793365478515625,"(-32.98988342285156, -140.93215942382812, 706.4169921875)","(31.94509506225586, -140.70510864257812, 707.28076171875)","(-32.142330169677734, 125.50492858886719, 35.03827667236328)","(-18.98788070678711, 103.73698425292969, 27.11539649963379)"
4,7,657335835207,961325243,1,1,"(0.44544166326522827, 0.47994810342788696)","(0.4534617066383362, 0.5562264919281006)",1,1,2.7616729736328125,3.1917266845703125,"(-32.988521575927734, -140.95501708984375, 706.4033203125)","(31.973403930664062, -140.73104858398438, 707.3336181640625)","(-20.47093391418457, 112.49617767333984, 30.30344581604004)","(-17.699804306030273, 98.56493377685547, 25.232879638671875)"
4,7,657335851873,961341909,1,1,"(0.43249955773353577, 0.4710843563079834)","(0.4493495523929596, 0.5367392897605896)",1,1,2.7666778564453125,3.207382202148437,"(-32.975006103515625, -140.93984985351562, 706.3902587890625)","(31.995370864868164, -140.72743225097656, 707.3032836914062)","(-24.942766189575195, 114.11502075195312, 30.892677307128906)","(-19.12067413330078, 102.12401580810547, 26.528324127197266)"
4,7,657335868541,961358576,1,1,"(0.42135879397392273, 0.4667074382305145)","(0.45317915081977844, 0.5507014989852905)",1,1,2.784637451171875,3.222152709960937,"(-32.963958740234375, -140.9521026611328, 706.447265625)","(32.018455505371094, -140.75048828125, 707.3560791015625)","(-28.792173385620117, 114.91442108154297, 31.183612823486328)","(-17.79744529724121, 99.57401275634766, 25.600168228149414)"
4,7,657335885208,961375243,1,1,"(0.437362939119339, 0.4862419366836548)","(0.4565497934818268, 0.5477292537689209)",1,1,2.797592163085937,3.222137451171875,"(-32.94735336303711, -140.95449829101562, 706.5452880859375)","(32.04219436645508, -140.73568725585938, 707.2982177734375)","(-23.26235008239746, 111.3467025756836, 29.88504409790039)","(-16.632801055908203, 100.11683654785156, 25.797748565673828)"
4,7,657335901874,961391909,1,1,"(0.42620575428009033, 0.4369182288646698)","(0.4509408175945282, 0.5443525314331055)",1,1,2.7745513916015625,3.217315673828125,"(-32.926513671875, -140.98544311523438, 706.72802734375)","(32.0843505859375, -140.74398803710938, 707.3076171875)","(-27.117433547973633, 120.3550033569336, 33.16388702392578)","(-18.570844650268555, 100.73355865478516, 26.022245407104492)"
4,7,657335918542,961408576,1,1,"(0.4182421863079071, 0.4381560683250427)","(0.4536726176738739, 0.5380094647407532)",1,1,2.756866455078125,3.2080078125,"(-32.88951873779297, -140.9816131591797, 706.8004760742188)","(32.12858200073242, -140.74937438964844, 707.3868408203125)","(-29.869050979614258, 120.12895202636719, 33.0815544128418)","(-17.62694549560547, 101.89203643798828, 26.443880081176758)"
4,7,657335935211,961425245,1,1,"(0.4254424273967743, 0.39417633414268494)","(0.45431753993034363, 0.5417020916938782)",1,1,2.7723541259765625,3.279815673828125,"(-32.84464645385742, -140.97520446777344, 706.7898559570312)","(32.17192840576172, -140.74142456054688, 707.3404541015625)","(-27.381183624267578, 128.16127014160156, 36.00507354736328)","(-17.404098510742188, 101.21763610839844, 26.19841766357422)"
4,7,657335951879,961441912,1,1,"(0.4274071455001831, 0.4896578788757324)","(0.4447096288204193, 0.529104471206665)",1,1,2.8592529296875,3.250640869140625,"(-32.790645599365234, -140.93064880371094, 706.63037109375)","(32.22197723388672, -140.73272705078125, 707.3779296875)","(-26.702329635620117, 110.72280883789062, 29.65803337097168)","(-20.723878860473633, 103.51842498779297, 27.035812377929688)"
4,7,657335968546,961458579,1,1,"(0.43806788325309753, 0.4988407790660858)","(0.4505964517593384, 0.554061770439148)",1,1,2.9038238525390625,3.2709503173828125,"(-32.7474479675293, -140.91439819335938, 706.5374145507812)","(32.25769805908203, -140.7409210205078, 707.3734130859375)","(-23.01876449584961, 109.04566192626953, 29.047626495361328)","(-18.689823150634766, 98.96029663085938, 25.376813888549805)"
4,7,657335985214,961475246,1,1,"(0.42852380871772766, 0.45298174023628235)","(0.4634155035018921, 0.5417299866676331)",1,1,2.7900543212890625,3.285995483398437,"(-32.72151184082031, -140.91964721679688, 706.6082763671875)","(32.295997619628906, -140.75357055664062, 707.4111328125)","(-26.316484451293945, 117.42123413085938, 32.09602737426758)","(-14.260515213012695, 101.21250915527344, 26.196603775024414)"
4,7,657336001880,961491912,1,1,"(0.42606592178344727, 0.45687150955200195)","(0.44747012853622437, 0.5456076860427856)",1,1,2.847381591796875,3.32958984375,"(-32.692787170410156, -140.923583984375, 706.6533813476562)","(32.339073181152344, -140.777587890625, 707.4758911132812)","(-27.16576385498047, 116.71082305908203, 31.837444305419922)","(-19.77006721496582, 100.50432586669922, 25.938804626464844)"
4,7,657336018547,961508579,1,1,"(0.4387180507183075, 0.516598641872406)","(0.45655134320259094, 0.5397962927818298)",1,1,2.9030303955078125,3.3110809326171875,"(-32.66510009765625, -140.94961547851562, 706.8223876953125)","(32.37980270385742, -140.77828979492188, 707.444091796875)","(-22.794111251831055, 105.80245208740234, 27.86712074279785)","(-16.63226890563965, 101.56568908691406, 26.325117111206055)"
4,7,657336035214,961525245,1,1,"(0.42894187569618225, 0.4808291494846344)","(0.4492555260658264, 0.5452952980995178)",1,1,2.89227294921875,3.340560913085937,"(-32.63585662841797, -140.971923828125, 706.977783203125)","(32.41917037963867, -140.7803955078125, 707.4539794921875)","(-26.172042846679688, 112.33527374267578, 30.244890213012695)","(-19.15315055847168, 100.56138610839844, 25.959552764892578)"
4,7,657336051887,961541918,1,1,"(0.43997132778167725, 0.4698294401168823)","(0.4474438726902008, 0.53488689661026)",1,1,2.9148406982421875,3.352523803710937,"(-32.58711242675781, -140.9457244873047, 706.8573608398438)","(32.45964813232422, -140.78369140625, 707.44970703125)","(-22.361093521118164, 114.3442153930664, 30.97610092163086)","(-19.779142379760742, 102.46233367919922, 26.651470184326172)"
4,7,657336068555,961558585,1,1,"(0.4288778007030487, 0.48723363876342773)","(0.4514099955558777, 0.5301099419593811)",1,1,2.9690704345703125,3.3426666259765625,"(-32.5481071472168, -140.92156982421875, 706.7500610351562)","(32.487335205078125, -140.77935791015625, 707.4052734375)","(-26.194175720214844, 111.16556549072266, 29.81917381286621)","(-18.408729553222656, 103.33477020263672, 26.96902847290039)"
4,7,657336085221,961575251,1,1,"(0.43730631470680237, 0.49166589975357056)","(0.4553270637989044, 0.5298812389373779)",1,1,2.959457397460937,3.351654052734375,"(-32.51457977294922, -140.91217041015625, 706.67041015625)","(32.52154541015625, -140.80731201171875, 707.4568481445312)","(-23.281902313232422, 110.35606384277344, 29.524553298950195)","(-17.055280685424805, 103.37654876708984, 26.984209060668945)"
4,7,657336101889,961591918,1,1,"(0.4299173951148987, 0.5092664361000061)","(0.45271793007850647, 0.5371973514556885)",1,1,2.994247436523437,3.365585327148437,"(-32.49142074584961, -140.91323852539062, 706.7005615234375)","(32.5579833984375, -140.81483459472656, 707.46728515625)","(-25.834972381591797, 107.14157104492188, 28.354541778564453)","(-17.95680809020996, 102.04037475585938, 26.497852325439453)"
4,7,657336118556,961608585,1,1,"(0.4314649999141693, 0.4608173966407776)","(0.45267003774642944, 0.5435551404953003)",1,1,2.9143829345703125,3.400054931640625,"(-32.46522521972656, -140.9412078857422, 706.785888671875)","(32.59312057495117, -140.8408660888672, 707.491455078125)","(-25.300235748291016, 115.9901351928711, 31.575210571289062)","(-17.97336196899414, 100.87919616699219, 26.075267791748047)"
4,7,657336135222,961625251,1,1,"(0.4423568546772003, 0.46598079800605774)","(0.44786012172698975, 0.5290698409080505)",1,1,2.9350128173828125,3.3642578125,"(-32.439186096191406, -140.9579620361328, 706.8714599609375)","(32.63247299194336, -140.85743713378906, 707.514404296875)","(-21.536834716796875, 115.04713439941406, 31.231904983520508)","(-19.63530158996582, 103.52473449707031, 27.038135528564453)"
4,7,657336151890,961641918,1,1,"(0.4421006143093109, 0.4888012707233429)","(0.44415488839149475, 0.5404219627380371)",1,1,2.9970245361328125,3.4072265625,"(-32.412513732910156, -140.99969482421875, 707.0406494140625)","(32.67444610595703, -140.88177490234375, 707.51025390625)","(-21.625362396240234, 110.87925720214844, 29.714950561523438)","(-20.915563583374023, 101.45142364501953, 26.28353500366211)"
4,7,657336168557,961658585,1,1,"(0.45008763670921326, 0.4957817494869232)","(0.4471297860145569, 0.5260604023933411)",1,1,2.986114501953125,3.414398193359375,"(-32.37981414794922, -140.98944091796875, 707.0291748046875)","(32.70213317871094, -140.865478515625, 707.3973388671875)","(-18.86562728881836, 109.60437774658203, 29.25091552734375)","(-19.88766098022461, 104.07439422607422, 27.23818016052246)"
4,7,657336185225,961675252,1,1,"(0.4422791302204132, 0.49432462453842163)","(0.4502992033958435, 0.5646077990531921)",1,1,2.9838104248046875,3.409896850585937,"(-32.34082794189453, -140.96856689453125, 706.9073486328125)","(32.73217010498047, -140.8790740966797, 707.4217529296875)","(-21.56367301940918, 109.87051391601562, 29.347759246826172)","(-18.792537689208984, 97.03421020507812, 24.67572784423828)"
4,7,657336201892,961691919,1,1,"(0.44253861904144287, 0.5420081615447998)","(0.4489891529083252, 0.5540540814399719)",1,1,3.05694580078125,3.420013427734375,"(-32.304664611816406, -140.9306640625, 706.786376953125)","(32.756797790527344, -140.87643432617188, 707.4193115234375)","(-21.474014282226562, 101.16175079345703, 26.178022384643555)","(-19.24518585205078, 98.9616928100586, 25.37733268737793)"
4,7,657336218560,961708585,1,1,"(0.42679840326309204, 0.48841097950935364)","(0.44799232482910156, 0.5626519322395325)",1,1,2.9788360595703125,3.470062255859375,"(-32.28020477294922, -140.93275451660156, 706.775390625)","(32.7906608581543, -140.9014434814453, 707.4855346679688)","(-26.91265869140625, 110.95053100585938, 29.74095344543457)","(-19.589624404907227, 97.39141082763672, 24.805809020996094)"
4,7,657336235226,961725251,1,1,"(0.4413578510284424, 0.5234115123748779)","(0.45408332347869873, 0.5554921627044678)",1,1,3.0469207763671875,3.4845733642578125,"(-32.249298095703125, -140.93035888671875, 706.7509765625)","(32.828250885009766, -140.9230499267578, 707.550048828125)","(-21.88200569152832, 104.55816650390625, 27.414255142211914)","(-17.485031127929688, 98.69905853271484, 25.281715393066406)"
