participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
5,14,736788562056,600421435,1,1,"(0.4565447270870209, 0.28574538230895996)","(0.49737548828125, 0.2882577180862427)",1,1,2.7749176025390625,2.727523803710937,"(-49.77408981323242, 47.7880744934082, 613.9434204101562)","(14.202339172363281, 43.075714111328125, 612.1378173828125)","(-16.63454246520996, 147.96475219726562, 43.21294403076172)","(-2.526491403579712, 147.50588989257812, 43.045963287353516)"
5,14,736788578727,600438106,1,1,"(0.4724864363670349, 0.31118378043174744)","(0.5005691647529602, 0.2936742603778839)",1,1,2.79229736328125,2.71551513671875,"(-49.937400817871094, 47.71968078613281, 613.8642578125)","(14.061869621276855, 43.05488967895508, 612.2990112304688)","(-11.1262845993042, 143.31875610351562, 41.52196502685547)","(-1.422983169555664, 146.51661682128906, 42.685935974121094)"
5,14,736788595397,600454775,1,1,"(0.4697248637676239, 0.30113285779953003)","(0.5103394389152527, 0.33517616987228394)",1,1,2.782470703125,2.7467193603515625,"(-50.06867980957031, 47.647499084472656, 613.8330078125)","(13.911869049072266, 42.98955535888672, 611.8073120117188)","(-12.080485343933105, 145.1544189453125, 42.19012451171875)","(1.952884554862976, 138.93685913085938, 39.92707061767578)"
5,14,736788612061,600471439,1,1,"(0.4647185504436493, 0.286433607339859)","(0.5062046647071838, 0.32993701100349426)",1,1,2.74871826171875,2.7548065185546875,"(-50.185359954833984, 47.594268798828125, 613.7847290039062)","(13.795337677001953, 42.97260284423828, 611.9464111328125)","(-13.810287475585938, 147.8390350341797, 43.167232513427734)","(0.5242258906364441, 139.89370727539062, 40.27538299560547)"
5,14,736788628728,600488106,1,1,"(0.46459200978279114, 0.30063682794570923)","(0.5027194619178772, 0.28840649127960205)",1,1,2.7591552734375,2.698944091796875,"(-50.31709289550781, 47.59320831298828, 613.66845703125)","(13.683673858642578, 43.00236892700195, 611.9193725585938)","(-13.854012489318848, 145.2449951171875, 42.223087310791016)","(-0.679999589920044, 147.47872924804688, 43.03601837158203)"
5,14,736788645396,600504773,1,1,"(0.4437410831451416, 0.28732627630233765)","(0.4669775366783142, 0.25411003828048706)",1,1,2.77587890625,2.7024688720703125,"(-50.52305603027344, 47.649070739746094, 613.6141967773438)","(13.461883544921875, 43.06011199951172, 611.8241577148438)","(-21.058528900146484, 147.67601013183594, 43.107887268066406)","(-13.029752731323242, 153.7425079345703, 45.31588363647461)"
5,14,736788662064,600521441,1,1,"(0.41869431734085083, 0.298655241727829)","(0.4436747431755066, 0.27746641635894775)",1,1,2.7910919189453125,2.707122802734375,"(-50.73846435546875, 47.75860595703125, 613.6009521484375)","(13.262552261352539, 43.21796798706055, 611.82080078125)","(-29.71282196044922, 145.60691833496094, 42.35480499267578)","(-21.081439971923828, 149.47677612304688, 43.7632942199707)"
5,14,736788678730,600538106,1,1,"(0.4213433265686035, 0.30051466822624207)","(0.4450679421424866, 0.23459658026695251)",1,1,2.77374267578125,2.6739654541015625,"(-50.865325927734375, 47.760440826416016, 613.4019775390625)","(13.117605209350586, 43.21868133544922, 611.4535522460938)","(-28.797521591186523, 145.267333984375, 42.23118591308594)","(-20.600080490112305, 157.306396484375, 46.613037109375)"
5,14,736788695397,600554773,1,1,"(0.4181283116340637, 0.2916831374168396)","(0.45485642552375793, 0.3102279603481293)",1,1,2.7652740478515625,2.753646850585937,"(-50.996646881103516, 47.798362731933594, 613.4224853515625)","(12.986958503723145, 43.33198547363281, 611.6441650390625)","(-29.908403396606445, 146.88027954101562, 42.818260192871094)","(-17.217897415161133, 143.4933319091797, 41.58548355102539)"
5,14,736788712070,600571445,1,1,"(0.4193636178970337, 0.2645553648471832)","(0.4447108805179596, 0.2881232798099518)",1,1,2.7046051025390625,2.7396240234375,"(-51.128482818603516, 47.73503875732422, 613.412109375)","(12.881946563720703, 43.23241424560547, 611.306640625)","(-29.481563568115234, 151.83482360839844, 44.621524810791016)","(-20.723440170288086, 147.5304412841797, 43.054893493652344)"
5,14,736788728737,600588112,1,1,"(0.4140435755252838, 0.24912601709365845)","(0.44322094321250916, 0.27721163630485535)",1,1,2.70977783203125,2.725555419921875,"(-51.199981689453125, 47.660255432128906, 613.357666015625)","(12.792160987854004, 43.22798156738281, 611.5994262695312)","(-31.31977081298828, 154.6527862548828, 45.64719009399414)","(-21.238258361816406, 149.5233154296875, 43.780242919921875)"
5,14,736788745405,600604779,1,1,"(0.42172572016716003, 0.2960951030254364)","(0.45088186860084534, 0.27171388268470764)",1,1,2.765960693359375,2.701889038085937,"(-51.268035888671875, 47.561500549316406, 613.2532958984375)","(12.721046447753906, 43.154136657714844, 611.3848876953125)","(-28.665393829345703, 146.07449340820312, 42.52498245239258)","(-18.591209411621094, 150.5273895263672, 44.145729064941406)"
5,14,736788762073,600621447,1,1,"(0.42632704973220825, 0.30260443687438965)","(0.447579026222229, 0.295698344707489)",1,1,2.759506225585937,2.72576904296875,"(-51.31264114379883, 47.52791213989258, 613.28857421875)","(12.696276664733887, 43.12509536743164, 611.3444213867188)","(-27.07551383972168, 144.88565063476562, 42.09227752685547)","(-19.73243522644043, 146.14695739746094, 42.55136489868164)"
5,14,736788778741,600638114,1,1,"(0.41194623708724976, 0.2849182188510895)","(0.44381317496299744, 0.3192453980445862)",1,1,2.7406005859375,2.7174072265625,"(-51.339317321777344, 47.54859161376953, 613.3687744140625)","(12.678783416748047, 43.15409469604492, 611.344970703125)","(-32.04446029663086, 148.1157989501953, 43.26792907714844)","(-21.03363037109375, 141.8463897705078, 40.986080169677734)"
5,14,736788795408,600654781,1,1,"(0.41253918409347534, 0.27165651321411133)","(0.4369962215423584, 0.26202431321144104)",1,1,2.733154296875,2.688690185546875,"(-51.37336349487305, 47.61433792114258, 613.4146728515625)","(12.64549446105957, 43.21428680419922, 611.48046875)","(-31.839574813842773, 150.53787231445312, 44.1495361328125)","(-23.389060974121094, 152.29705810546875, 44.78982162475586)"
5,14,736788812074,600671447,1,1,"(0.4182360768318176, 0.26542505621910095)","(0.4437099099159241, 0.29488423466682434)",1,1,2.7385406494140625,2.731597900390625,"(-51.390785217285156, 47.723846435546875, 613.2652587890625)","(12.60446834564209, 43.33859634399414, 611.5018920898438)","(-29.871150970458984, 151.67596435546875, 44.563758850097656)","(-21.069299697875977, 146.29563903808594, 42.60547637939453)"
5,14,736788828746,600688118,1,1,"(0.41986438632011414, 0.2845908999443054)","(0.44742056727409363, 0.2949151396751404)",1,1,2.7645263671875,2.704376220703125,"(-51.42231750488281, 47.778846740722656, 613.259521484375)","(12.562151908874512, 43.38316345214844, 611.4520263671875)","(-29.308523178100586, 148.1755828857422, 43.28969192504883)","(-19.787174224853516, 146.2899932861328, 42.60342788696289)"
5,14,736788845411,600704783,1,1,"(0.41843095421791077, 0.29720625281333923)","(0.44782501459121704, 0.2855289876461029)",1,1,2.769195556640625,2.712265014648437,"(-51.444461822509766, 47.80857849121094, 613.297119140625)","(12.541659355163574, 43.39287185668945, 611.46337890625)","(-29.803823471069336, 145.87155151367188, 42.45111846923828)","(-19.647430419921875, 148.0042724609375, 43.22732162475586)"
