participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
5,1,736716557600,528418942,1,1,"(0.41428133845329285, 0.2821492552757263)","(0.44175419211387634, 0.3586393892765045)",1,1,2.699676513671875,2.71044921875,"(-51.681400299072266, 35.30392837524414, 625.3224487304688)","(12.301597595214844, 30.279029846191406, 625.0845336914062)","(-31.237628936767578, 148.62152099609375, 43.45200729370117)","(-21.74505043029785, 134.65159606933594, 38.36738967895508)"
5,1,736716574266,528435608,1,1,"(0.4121388792991638, 0.30874547362327576)","(0.4360082447528839, 0.38403812050819397)",1,1,2.7442626953125,2.7053680419921875,"(-51.749351501464844, 34.992469787597656, 625.3543701171875)","(12.24003791809082, 30.01179313659668, 625.04345703125)","(-31.977890014648438, 143.76409912109375, 41.68402862548828)","(-23.730419158935547, 130.0128631591797, 36.67904281616211)"
5,1,736716590934,528452275,1,1,"(0.4091190695762634, 0.3314470648765564)","(0.4442668557167053, 0.370917409658432)",1,1,2.7877197265625,2.691635131835937,"(-51.875282287597656, 34.54939270019531, 625.4781494140625)","(12.117963790893555, 29.564184188842773, 625.091796875)","(-33.021305084228516, 139.617919921875, 40.17497634887695)","(-20.876863479614258, 132.4091796875, 37.55124282836914)"
5,1,736716607604,528468945,1,1,"(0.41913989186286926, 0.31969597935676575)","(0.44801434874534607, 0.4004144072532654)",1,1,2.755340576171875,2.724853515625,"(-52.04405975341797, 34.14820861816406, 625.67138671875)","(11.97282600402832, 29.16049575805664, 624.9892578125)","(-29.55887222290039, 141.76409912109375, 40.95612716674805)","(-19.582014083862305, 127.0219497680664, 35.59042739868164)"
5,1,736716624272,528485612,1,1,"(0.41927775740623474, 0.3592107594013214)","(0.4312940537929535, 0.3619507849216461)",1,1,2.787200927734375,2.6839141845703125,"(-52.16960525512695, 33.92589569091797, 625.433349609375)","(11.830345153808594, 28.984970092773438, 625.177734375)","(-29.511226654052734, 134.5472412109375, 38.329402923583984)","(-25.359289169311523, 134.04681396484375, 38.14725112915039)"
5,1,736716640938,528502278,1,1,"(0.4061988890171051, 0.32355305552482605)","(0.43846395611763, 0.36443519592285156)",1,1,2.7587432861328125,2.702667236328125,"(-52.323551177978516, 33.95269012451172, 625.5054321289062)","(11.675487518310547, 29.015277862548828, 625.1502075195312)","(-34.03031921386719, 141.05966186523438, 40.69970703125)","(-22.881912231445312, 133.59307861328125, 37.982120513916016)"
5,1,736716657606,528518945,1,1,"(0.4152780771255493, 0.3071768581867218)","(0.43941929936408997, 0.37587833404541016)",1,1,2.750213623046875,2.7213134765625,"(-52.45016860961914, 34.239219665527344, 625.67236328125)","(11.578621864318848, 29.31570816040039, 625.023193359375)","(-30.893224716186523, 144.05056762695312, 41.788333892822266)","(-22.55181312561035, 131.5031280517578, 37.22147750854492)"
5,1,736716674273,528535612,1,1,"(0.41413283348083496, 0.30702054500579834)","(0.4385584592819214, 0.3720681369304657)",1,1,2.7427978515625,2.7061920166015625,"(-52.53130340576172, 34.60298156738281, 625.45947265625)","(11.476449012756348, 29.737674713134766, 625.1556396484375)","(-31.288917541503906, 144.0791015625, 41.7986946105957)","(-22.84926986694336, 132.19903564453125, 37.47471237182617)"
5,1,736716690939,528552278,1,1,"(0.40747830271720886, 0.3350370526313782)","(0.43296271562576294, 0.33714622259140015)",1,1,2.796722412109375,2.6794586181640625,"(-52.60747528076172, 34.95303726196289, 625.4667358398438)","(11.413585662841797, 30.096393585205078, 625.135009765625)","(-33.5882453918457, 138.96226501464844, 39.93634033203125)","(-24.78272819519043, 138.57705688476562, 39.796112060546875)"
5,1,736716707607,528568945,1,1,"(0.4173738360404968, 0.3176990747451782)","(0.4413844645023346, 0.39192384481430054)",1,1,2.748016357421875,2.71728515625,"(-52.70729064941406, 35.21807098388672, 625.6566162109375)","(11.336997985839844, 30.398391723632812, 624.9539794921875)","(-30.169092178344727, 142.1288299560547, 41.08885955810547)","(-21.8728084564209, 128.57264709472656, 36.154788970947266)"
5,1,736716724273,528585611,1,1,"(0.41313809156417847, 0.3322928547859192)","(0.4403696656227112, 0.34490570425987244)",1,1,2.775970458984375,2.6942291259765625,"(-52.808502197265625, 35.3104248046875, 625.4447021484375)","(11.215010643005371, 30.503311157226562, 625.1732788085938)","(-31.632640838623047, 139.46343994140625, 40.118804931640625)","(-22.22344398498535, 137.15988159179688, 39.28034591674805)"
5,1,736716740949,528602286,1,1,"(0.4112513065338135, 0.2544219493865967)","(0.44245678186416626, 0.3656575679779053)",1,1,2.6883087158203125,2.703475952148437,"(-52.94391632080078, 35.21074295043945, 625.57373046875)","(11.080324172973633, 30.442249298095703, 625.015869140625)","(-32.284576416015625, 153.68556213378906, 45.29515838623047)","(-21.502296447753906, 133.3698272705078, 37.9008674621582)"
5,1,736716757616,528618953,1,1,"(0.4117583632469177, 0.3256274163722992)","(0.44156506657600403, 0.3986591696739197)",1,1,2.7742156982421875,2.739959716796875,"(-53.099937438964844, 34.960086822509766, 625.75830078125)","(10.95069694519043, 30.205642700195312, 625.1173095703125)","(-32.109375, 140.68080139160156, 40.561832427978516)","(-21.81039810180664, 127.34252166748047, 35.707096099853516)"
5,1,736716774283,528635619,1,1,"(0.4100152254104614, 0.26809024810791016)","(0.44508621096611023, 0.3659707009792328)",1,1,2.7119903564453125,2.7159881591796875,"(-53.210269927978516, 34.59003829956055, 625.6639404296875)","(10.818117141723633, 29.86516761779785, 625.4569091796875)","(-32.711666107177734, 151.18919372558594, 44.38658142089844)","(-20.59375762939453, 133.31265258789062, 37.88002395629883)"
5,1,736716790950,528652286,1,1,"(0.40887701511383057, 0.321664959192276)","(0.43898507952690125, 0.38561615347862244)",1,1,2.766082763671875,2.7258758544921875,"(-53.3162841796875, 34.305328369140625, 625.9338989257812)","(10.739007949829102, 29.55829620361328, 625.2969970703125)","(-33.10494613647461, 141.4044952392578, 40.82522964477539)","(-22.70185089111328, 129.7246551513672, 36.574127197265625)"
5,1,736716807617,528668952,1,1,"(0.4099664092063904, 0.32998108863830566)","(0.449629545211792, 0.39191317558288574)",1,1,2.761810302734375,2.755722045898437,"(-53.363319396972656, 34.13978576660156, 625.9705200195312)","(10.678129196166992, 29.417905807495117, 625.537353515625)","(-32.728546142578125, 139.8856658935547, 40.272430419921875)","(-19.023914337158203, 128.5745849609375, 36.1555290222168)"
5,1,736716824284,528685619,1,1,"(0.40973567962646484, 0.31410354375839233)","(0.44831767678260803, 0.3682214021682739)",1,1,2.766220092773437,2.73468017578125,"(-53.399906158447266, 34.182708740234375, 625.96240234375)","(10.62740421295166, 29.460386276245117, 625.635986328125)","(-32.80826187133789, 142.7854766845703, 41.3278923034668)","(-19.477210998535156, 132.90159606933594, 37.730384826660156)"
5,1,736716840952,528702286,1,1,"(0.4174184203147888, 0.33914583921432495)","(0.4326527416706085, 0.3416011929512024)",1,1,2.7963409423828125,2.7262115478515625,"(-53.42669677734375, 34.42689895629883, 625.9259033203125)","(10.614873886108398, 29.693702697753906, 625.6796875)","(-30.153675079345703, 138.2118377685547, 39.66318893432617)","(-24.889835357666016, 137.763427734375, 39.49995040893555)"
