participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
7,24,1925415301962,1835138640,1,1,"(0.5809310078620911, 1.0015207529067993)","(0.5037887692451477, 0.823265552520752)",1,1,2.6934967041015625,2.8930206298828125,"(-58.60263442993164, -15.217985153198242, 620.794921875)","(1.0164997577667236, -17.264324188232422, 629.2095947265625)","(26.34405517578125, 17.237844467163086, -4.367739677429199)","(-0.3105308711528778, 49.79376983642578, 7.4816412925720215)"
7,24,1925415318630,1835155307,1,1,"(0.5275788903236389, 0.9869563579559326)","(0.48592647910118103, 0.8280805945396423)",1,1,2.76513671875,2.895126342773437,"(-58.4044189453125, -15.638437271118164, 621.03857421875)","(1.215428113937378, -17.687854766845703, 629.36279296875)","(7.909556865692139, 19.897823333740234, -3.3995659351348877)","(-6.4824066162109375, 48.91438293457031, 7.161588668823242)"
7,24,1925415335304,1835171981,1,1,"(0.5749019980430603, 1.0091861486434937)","(0.48677194118499756, 0.8747127652168274)",1,1,2.64837646484375,2.890655517578125,"(-58.20960235595703, -15.96307373046875, 621.1727294921875)","(1.4129431247711182, -17.967823028564453, 629.5283813476562)","(24.260866165161133, 15.837848663330078, -4.87730073928833)","(-6.190274715423584, 40.397613525390625, 4.061781406402588)"
7,24,1925415351971,1835188648,1,1,"(0.5234386324882507, 0.9618934392929077)","(0.5032994747161865, 0.8445841670036316)",1,1,2.7621307373046875,2.90838623046875,"(-58.028263092041016, -16.145217895507812, 621.6065063476562)","(1.5881733894348145, -18.14981460571289, 629.9442138671875)","(6.478977680206299, 24.475229263305664, -1.7335309982299805)","(-0.47960224747657776, 45.90022277832031, 6.064530849456787)"
7,24,1925415368639,1835205315,0,1,"(nan, nan)","(0.5044717788696289, 0.8652571439743042)",0,1,,2.893280029296875,"(nan, nan, nan)","(1.7878611087799072, -18.17858123779297, 630.558349609375)","(nan, nan, nan)","(-0.0745524987578392, 42.124576568603516, 4.690260410308838)"
7,24,1925415385305,1835221981,0,1,"(nan, nan)","(0.5005621910095215, 0.8347047567367554)",0,1,,2.9105377197265625,"(nan, nan, nan)","(1.988558292388916, -18.14859390258789, 630.9305419921875)","(nan, nan, nan)","(-1.425413966178894, 47.704566955566406, 6.721256732940674)"
7,24,1925415401973,1835238648,1,1,"(0.49903884530067444, 0.9799946546554565)","(0.48870280385017395, 0.8422966003417969)",1,1,2.8134002685546875,2.9008331298828125,"(-57.44383239746094, -16.047504425048828, 623.0606079101562)","(2.21090030670166, -18.0871639251709, 631.30224609375)","(-1.9517590999603271, 21.169301986694336, -2.9368135929107666)","(-5.523126125335693, 46.31801986694336, 6.216585159301758)"
7,24,1925415418640,1835255315,1,1,"(0.4956663250923157, 0.9776849150657654)","(0.4844587445259094, 0.850525438785553)",1,1,2.88812255859375,2.9392852783203125,"(-57.24094009399414, -16.01370620727539, 623.4793701171875)","(2.4257850646972656, -18.075885772705078, 631.730712890625)","(-3.1170551776885986, 21.59113121032715, -2.783271074295044)","(-6.98954963684082, 44.81513214111328, 5.669557094573975)"
7,24,1925415435308,1835271982,1,1,"(0.4468614161014557, 0.9681302309036255)","(0.4865719974040985, 0.8544008731842041)",1,1,2.8378143310546875,2.918441772460937,"(-57.04838180541992, -16.0817928314209, 624.0794067382812)","(2.652322292327881, -18.188093185424805, 632.1502685546875)","(-19.98039436340332, 23.336162567138672, -2.148111343383789)","(-6.25937557220459, 44.10733413696289, 5.4119873046875)"
7,24,1925415451974,1835288648,0,1,"(nan, nan)","(0.48216482996940613, 0.839702844619751)",0,1,,2.9139404296875,"(nan, nan, nan)","(2.881072521209717, -18.382568359375, 632.5684814453125)","(nan, nan, nan)","(-7.782166481018066, 46.79172897338867, 6.389017105102539)"
7,24,1925415468643,1835305317,0,1,"(nan, nan)","(0.4817708134651184, 0.8413768410682678)",0,1,,2.93145751953125,"(nan, nan, nan)","(3.109872579574585, -18.60437774658203, 632.721923828125)","(nan, nan, nan)","(-7.918300628662109, 46.48601150512695, 6.277678489685059)"
7,24,1925415485310,1835321983,1,1,"(0.4898751676082611, 0.9903067350387573)","(0.5145124197006226, 0.8376587629318237)",1,1,2.9258575439453125,2.919830322265625,"(-56.2990837097168, -16.5433406829834, 624.9485473632812)","(3.3488173484802246, -18.811677932739258, 632.9747314453125)","(-5.118031024932861, 19.285917282104492, -3.6223084926605225)","(3.394747257232666, 47.165077209472656, 6.524862766265869)"
7,24,1925415501977,1835338650,1,1,"(0.45736128091812134, 0.9730253219604492)","(0.4926678538322449, 0.8303573727607727)",1,1,2.8728179931640625,2.9312286376953125,"(-56.03015899658203, -16.636442184448242, 625.3030395507812)","(3.640165090560913, -18.983638763427734, 633.702392578125)","(-16.35240936279297, 22.442136764526367, -2.473515748977661)","(-4.153090953826904, 48.498531341552734, 7.010258674621582)"
7,24,1925415518643,1835355315,0,1,"(nan, nan)","(0.511325478553772, 0.8668941259384155)",0,1,,2.9378814697265625,"(nan, nan, nan)","(3.913550615310669, -19.047456741333008, 633.6237182617188)","(nan, nan, nan)","(2.2936041355133057, 41.82560729980469, 4.581475257873535)"
7,24,1925415535311,1835371983,0,1,"(nan, nan)","(0.49586382508277893, 0.873339831829071)",0,1,,2.936614990234375,"(nan, nan, nan)","(4.210271835327148, -19.093477249145508, 633.8304443359375)","(nan, nan, nan)","(-3.0488033294677734, 40.648380279541016, 4.153016567230225)"
7,24,1925415551977,1835388648,0,1,"(nan, nan)","(0.48760849237442017, 0.8732215166091919)",0,1,,2.9463043212890625,"(nan, nan, nan)","(4.469520092010498, -19.082199096679688, 634.2494506835938)","(nan, nan, nan)","(-5.901233196258545, 40.66996383666992, 4.160931587219238)"
7,24,1925415568644,1835405315,1,1,"(0.43608346581459045, 0.9973989725112915)","(0.4835715889930725, 0.8156638741493225)",1,1,2.84686279296875,2.9376220703125,"(-55.02566909790039, -16.41455078125, 626.4197387695312)","(4.607885360717773, -19.018951416015625, 634.4691772460938)","(-23.704429626464844, 17.990610122680664, -4.0937180519104)","(-7.296088218688965, 51.18213653564453, 7.986987590789795)"
7,24,1925415585310,1835421981,1,1,"(0.3563544452190399, 0.5283399224281311)","(0.37452587485313416, 0.5158459544181824)",1,1,3.026458740234375,2.9773712158203125,"(-54.93195724487305, -16.00583839416504, 626.5775146484375)","(4.462560653686523, -18.613889694213867, 634.9715576171875)","(-51.25282669067383, 103.6580581665039, 27.08665657043457)","(-44.974143981933594, 105.93990325927734, 27.917173385620117)"
7,24,1925415601986,1835438656,1,1,"(0.32368341088294983, 0.3454788029193878)","(0.34709301590919495, 0.29442286491394043)",1,1,3.00457763671875,2.967391967773437,"(-54.716094970703125, -15.793363571166992, 627.153076171875)","(4.498018741607666, -18.402240753173828, 634.8600463867188)","(-62.54148483276367, 137.0552215576172, 39.242225646972656)","(-54.452877044677734, 146.37989807128906, 42.636146545410156)"
7,24,1925415618651,1835455321,1,1,"(0.3137454092502594, 0.31786298751831055)","(0.3522637188434601, 0.3269464671611786)",1,1,2.9314117431640625,2.984130859375,"(-54.53785705566406, -15.855531692504883, 627.0181884765625)","(4.728287220001221, -18.46743392944336, 635.102294921875)","(-65.9753189086914, 142.09886169433594, 41.07799530029297)","(-52.66627502441406, 140.4398956298828, 40.47413635253906)"
7,24,1925415635318,1835471987,1,1,"(0.3323728144168854, 0.3414824604988098)","(0.3563705384731293, 0.29536738991737366)",1,1,3.015365600585937,2.962158203125,"(-54.39756774902344, -15.985705375671387, 627.240234375)","(4.914139270782471, -18.612899780273438, 635.0771484375)","(-59.53908157348633, 137.7850799560547, 39.50790786743164)","(-51.24727249145508, 146.20741271972656, 42.57334518432617)"
7,24,1925415651985,1835488654,1,1,"(0.2704477608203888, 0.40444546937942505)","(0.36191999912261963, 0.33584922552108765)",1,1,3.029144287109375,2.9774322509765625,"(-54.253746032714844, -16.060283660888672, 627.4307250976562)","(5.1177978515625, -18.674339294433594, 635.2200927734375)","(-80.93575286865234, 126.2857437133789, 35.32243347167969)","(-49.32978439331055, 138.81393432617188, 39.882320404052734)"
7,24,1925415668652,1835505320,1,1,"(0.302717000246048, 0.35424184799194336)","(0.35410916805267334, 0.3384586572647095)",1,1,2.9788818359375,2.98699951171875,"(-54.06855010986328, -16.055435180664062, 627.2637939453125)","(5.2939839363098145, -18.704347610473633, 635.4959716796875)","(-69.78591918945312, 135.4547576904297, 38.65970230102539)","(-52.02861785888672, 138.33734130859375, 39.708919525146484)"
7,24,1925415685319,1835521987,1,1,"(0.3046296536922455, 0.34748339653015137)","(0.3452763855457306, 0.3278413712978363)",1,1,3.023101806640625,3.008087158203125,"(-53.955955505371094, -15.97659683227539, 627.6123046875)","(5.463011264801025, -18.65279197692871, 635.8734130859375)","(-69.12503814697266, 136.68911743164062, 39.10890579223633)","(-55.08057403564453, 140.27645874023438, 40.414649963378906)"
7,24,1925415701986,1835538654,1,1,"(0.33497297763824463, 0.36425769329071045)","(0.34242483973503113, 0.3506248891353607)",1,1,2.990875244140625,3.0008544921875,"(-53.83750915527344, -15.790125846862793, 627.3115844726562)","(5.603178024291992, -18.49570655822754, 635.5452880859375)","(-58.640663146972656, 133.62550354003906, 37.99392318725586)","(-56.06586837768555, 136.11537170410156, 38.90013885498047)"
7,24,1925415718653,1835555320,1,1,"(0.3173837661743164, 0.3712993264198303)","(0.3455944061279297, 0.31680238246917725)",1,1,3.032089233398437,2.977264404296875,"(-53.737144470214844, -15.586151123046875, 627.625732421875)","(5.708095550537109, -18.323867797851562, 635.543212890625)","(-64.7181625366211, 132.3394317626953, 37.52581024169922)","(-54.97068786621094, 142.29257202148438, 41.14847183227539)"
7,24,1925415735325,1835571992,1,1,"(0.30177807807922363, 0.357038676738739)","(0.3428354561328888, 0.3194141983985901)",1,1,3.0609893798828125,3.008056640625,"(-53.66071319580078, -15.401250839233398, 627.3958740234375)","(5.79213285446167, -18.164140701293945, 635.3077392578125)","(-70.11034393310547, 134.9439697265625, 38.473751068115234)","(-55.923980712890625, 141.81556701660156, 40.97481918334961)"
7,24,1925415751993,1835588659,1,1,"(0.3328089714050293, 0.3639560639858246)","(0.3548882007598877, 0.34306463599205017)",1,1,3.0195770263671875,2.9890899658203125,"(-53.628578186035156, -15.321715354919434, 627.3333740234375)","(5.842549800872803, -18.040462493896484, 635.5642700195312)","(-59.38838577270508, 133.68060302734375, 38.01393127441406)","(-51.75944519042969, 137.4961395263672, 39.40268325805664)"
7,24,1925415768661,1835605327,1,1,"(0.3449097275733948, 0.3718174993991852)","(0.36166509985923767, 0.33231616020202637)",1,1,3.01708984375,2.991912841796875,"(-53.629119873046875, -15.33379077911377, 627.2667236328125)","(5.855020046234131, -18.04924774169922, 635.54150390625)","(-55.2072639465332, 132.2447967529297, 37.49140167236328)","(-49.41786575317383, 139.45919799804688, 40.11719512939453)"
7,24,1925415785326,1835621992,1,1,"(0.3142282962799072, 0.33064645528793335)","(0.3570369482040405, 0.31873562932014465)",1,1,3.030548095703125,2.987701416015625,"(-53.65480041503906, -15.40049934387207, 627.2755737304688)","(5.830228328704834, -18.166343688964844, 635.19580078125)","(-65.8084716796875, 139.76416015625, 40.228214263916016)","(-51.016998291015625, 141.93948364257812, 41.01998519897461)"
