participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
7,23,1925381133225,1800970789,1,1,"(0.4745749235153198, 0.5718865990638733)","(0.4156988561153412, 0.4504072368144989)",1,1,2.8501434326171875,3.0170440673828125,"(-61.50682067871094, -10.906983375549316, 605.7330932617188)","(-1.9224389791488647, -7.658750534057617, 613.2252197265625)","(-10.404668807983398, 95.70484161376953, 24.191890716552734)","(-30.747844696044922, 117.89142608642578, 32.267189025878906)"
7,23,1925381149893,1800987456,1,1,"(0.48688918352127075, 0.528300404548645)","(0.43030163645744324, 0.42317861318588257)",1,1,2.8473052978515625,2.9888916015625,"(-61.17759704589844, -10.86564826965332, 605.39306640625)","(-1.5841108560562134, -7.549272537231445, 612.6468505859375)","(-6.149776935577393, 103.66526794433594, 27.08927345275879)","(-25.702199935913086, 122.86438751220703, 34.07716369628906)"
7,23,1925381166560,1801004123,1,1,"(0.4528227150440216, 0.5457539558410645)","(0.4202382564544678, 0.42353206872940063)",1,1,2.866683959960937,3.028305053710937,"(-60.8236083984375, -10.460575103759766, 605.06640625)","(-1.203102469444275, -7.1146979331970215, 612.2745361328125)","(-17.920597076416016, 100.47760772705078, 25.929079055786133)","(-29.179363250732422, 122.7998275756836, 34.05365753173828)"
7,23,1925381183227,1801020789,1,1,"(0.4975021779537201, 0.5383947491645813)","(0.41137775778770447, 0.40714070200920105)",1,1,2.855865478515625,3.011993408203125,"(-60.40707778930664, -9.858846664428711, 604.72021484375)","(-0.7831150889396667, -6.499670028686523, 611.892333984375)","(-2.482696771621704, 101.82166290283203, 26.418231964111328)","(-32.24087142944336, 125.79348754882812, 35.14329147338867)"
7,23,1925381199894,1801037456,1,1,"(0.4761596620082855, 0.6413760781288147)","(0.4210703372955322, 0.406885027885437)",1,1,2.811492919921875,2.9867095947265625,"(-59.93103790283203, -9.199054718017578, 604.21142578125)","(-0.3071444034576416, -5.89621114730835, 611.3861694335938)","(-9.857093811035156, 83.01350402832031, 19.572622299194336)","(-28.891847610473633, 125.84017944335938, 35.1602783203125)"
7,23,1925381216562,1801054123,1,1,"(0.545225203037262, 0.6067042350769043)","(0.42473629117012024, 0.41279852390289307)",1,1,2.6812896728515625,3.000396728515625,"(-59.46357727050781, -8.657979965209961, 604.0480346679688)","(0.1743081957101822, -5.458837509155273, 610.9729614257812)","(14.006779670715332, 89.34585571289062, 21.877424240112305)","(-27.625181198120117, 124.7601547241211, 34.76718521118164)"
7,23,1925381233228,1801070789,1,1,"(0.5829597115516663, 0.6843744516372681)","(0.42193612456321716, 0.4253575801849365)",1,1,2.542709350585937,2.997528076171875,"(-58.965232849121094, -8.343189239501953, 603.791015625)","(0.7041487693786621, -5.315864562988281, 610.726318359375)","(27.04502296447754, 75.16039276123047, 16.714353561401367)","(-28.59269142150879, 122.4664077758789, 33.93232727050781)"
7,23,1925381249899,1801087460,1,1,"(0.4782406985759735, 0.7093210220336914)","(0.42243173718452454, 0.4123667776584625)",1,1,2.732879638671875,2.98480224609375,"(-58.4153938293457, -8.318229675292969, 603.531005859375)","(1.2522705793380737, -5.509786605834961, 610.4785766601562)","(-9.138045310974121, 70.60424041748047, 15.056046485900879)","(-28.421459197998047, 124.8390121459961, 34.79588317871094)"
7,23,1925381266567,1801104127,1,1,"(0.5790800452232361, 0.7387810349464417)","(0.42075178027153015, 0.4321783185005188)",1,1,2.500106811523437,3.001220703125,"(-57.84868621826172, -8.54118537902832, 603.276611328125)","(1.8119937181472778, -5.96063232421875, 610.4057006835938)","(25.704504013061523, 65.22374725341797, 13.09771728515625)","(-29.00191879272461, 121.22071075439453, 33.47889709472656)"
7,23,1925381283233,1801120793,0,1,"(nan, nan)","(0.4225739538669586, 0.4477531909942627)",0,1,,3.028564453125,"(nan, nan, nan)","(2.332285165786743, -6.558907508850098, 610.2908935546875)","(nan, nan, nan)","(-28.3723201751709, 118.37615203857422, 32.4436149597168)"
7,23,1925381299901,1801137460,0,1,"(nan, nan)","(0.4275037944316864, 0.42913761734962463)",0,1,,3.002182006835937,"(nan, nan, nan)","(2.7269883155822754, -7.137585639953613, 610.2682495117188)","(nan, nan, nan)","(-26.668926239013672, 121.77603149414062, 33.68106460571289)"
7,23,1925381316568,1801154127,0,1,"(nan, nan)","(0.4067758619785309, 0.42792800068855286)",0,1,,2.9807586669921875,"(nan, nan, nan)","(3.025390148162842, -7.4515204429626465, 610.3591918945312)","(nan, nan, nan)","(-33.83095169067383, 121.99696350097656, 33.76145553588867)"
7,23,1925381333235,1801170793,0,1,"(nan, nan)","(0.414058119058609, 0.4229307174682617)",0,1,,3.0091552734375,"(nan, nan, nan)","(3.2307119369506836, -7.542877197265625, 610.3372802734375)","(nan, nan, nan)","(-31.314748764038086, 122.9096450805664, 34.093666076660156)"
7,23,1925381349902,1801187460,1,1,"(0.4066218137741089, 0.48176199197769165)","(0.41396865248680115, 0.41885727643966675)",1,1,3.098739624023437,3.0007781982421875,"(-56.29928207397461, -8.597454071044922, 603.2554931640625)","(3.4015936851501465, -7.471630573272705, 610.4071655273438)","(-33.88418960571289, 112.16490173339844, 30.182886123657227)","(-31.34565544128418, 123.65359497070312, 34.364444732666016)"
