participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
11,2,6359635446333,677232407,1,1,"(0.5993269681930542, 0.26104679703712463)","(0.5966036319732666, 0.2988608181476593)",1,1,3.13116455078125,3.08026123046875,"(-27.15761375427246, 3.104196548461914, 557.5946044921875)","(31.743804931640625, 6.976390838623047, 558.8765869140625)","(32.7003288269043, 152.47561645507812, 44.8547477722168)","(31.75933837890625, 145.5693817138672, 42.341094970703125)"
11,2,6359635463005,677249079,1,1,"(0.6015236377716064, 0.2625811994075775)","(0.5965607166290283, 0.30007147789001465)",1,1,3.121078491210937,3.0773468017578125,"(-27.1068058013916, 3.1808173656463623, 557.68505859375)","(31.800254821777344, 7.028683662414551, 558.818603515625)","(33.45933532714844, 152.1953582763672, 44.7528076171875)","(31.744516372680664, 145.3482666015625, 42.26063537597656)"
11,2,6359635479673,677265746,1,1,"(0.5976574420928955, 0.25775444507598877)","(0.5976621508598328, 0.2982061803340912)",1,1,3.1197967529296875,3.0895233154296875,"(-27.03548240661621, 3.2412729263305664, 557.3973999023438)","(31.872989654541016, 7.07305908203125, 558.8987426757812)","(32.12345886230469, 153.07691955566406, 45.073612213134766)","(32.125083923339844, 145.68894958496094, 42.38460922241211)"
11,2,6359635496340,677282413,1,1,"(0.6002843379974365, 0.2604677677154541)","(0.5935536026954651, 0.3016081154346466)",1,1,3.098297119140625,3.0896453857421875,"(-26.973953247070312, 3.3432207107543945, 557.3330078125)","(31.939197540283203, 7.137726783752441, 558.68359375)","(33.031131744384766, 152.5813751220703, 44.89322280883789)","(30.705469131469727, 145.06759643554688, 42.15854263305664)"
11,2,6359635513007,677299079,1,1,"(0.5941348671913147, 0.2694248855113983)","(0.5894743204116821, 0.2983621656894684)",1,1,3.1121063232421875,3.0692138671875,"(-26.92430877685547, 3.3970131874084473, 557.4923095703125)","(31.971599578857422, 7.1764750480651855, 558.38671875)","(30.906328201293945, 150.9454345703125, 44.29791259765625)","(29.29597282409668, 145.66043090820312, 42.374305725097656)"
11,2,6359635529674,677315746,1,1,"(0.5131202340126038, 0.24333317577838898)","(0.5320557355880737, 0.24472329020500183)",1,1,3.115219116210937,3.0941162109375,"(-27.009963989257812, 3.4909439086914062, 557.0706787109375)","(31.804969787597656, 7.236130714416504, 558.489501953125)","(2.91372013092041, 155.7107696533203, 46.03226852416992)","(9.456428527832031, 155.45687866210938, 45.93988037109375)"
11,2,6359635546342,677332413,1,1,"(0.5246514081954956, 0.20219963788986206)","(0.5095496773719788, 0.252655565738678)",1,1,3.100677490234375,3.0841522216796875,"(-27.05392074584961, 3.4875903129577637, 557.465087890625)","(31.82343101501465, 7.236333847045898, 558.3134765625)","(6.898028373718262, 163.2232666015625, 48.7665901184082)","(1.6800081729888916, 154.00814819335938, 45.412601470947266)"
11,2,6359635563008,677349079,1,1,"(0.5356208086013794, 0.1932845562696457)","(0.5107594728469849, 0.25668397545814514)",1,1,3.116424560546875,3.0614166259765625,"(-27.01197052001953, 3.453824520111084, 557.5379638671875)","(31.93307876586914, 7.224369049072266, 558.3558349609375)","(10.688224792480469, 164.85147094726562, 49.35926055908203)","(2.0980284214019775, 153.27243041992188, 45.14475631713867)"
11,2,6359635579675,677365746,1,1,"(0.543411910533905, 0.1941574215888977)","(0.508540153503418, 0.2551671862602234)",1,1,3.086288452148437,3.0740203857421875,"(-26.982606887817383, 3.465053081512451, 557.9383544921875)","(32.01488494873047, 7.217365741729736, 558.365478515625)","(13.380254745483398, 164.69207763671875, 49.30117416381836)","(1.3311982154846191, 153.5494384765625, 45.245635986328125)"
11,2,6359635596347,677382417,1,1,"(0.5386009216308594, 0.19364529848098755)","(0.5086377859115601, 0.25994205474853516)",1,1,3.0812530517578125,3.0763702392578125,"(-26.912220001220703, 3.486241340637207, 557.736572265625)","(32.08794403076172, 7.221209526062012, 558.3933715820312)","(11.71794605255127, 164.7855987548828, 49.33524703979492)","(1.3649183511734009, 152.6773681640625, 44.92823028564453)"
11,2,6359635613013,677399083,1,1,"(0.5332119464874268, 0.19714954495429993)","(0.5124228000640869, 0.24925564229488373)",1,1,3.0834197998046875,3.0553131103515625,"(-26.840988159179688, 3.5038812160491943, 557.448486328125)","(32.14662170410156, 7.241823196411133, 558.318359375)","(9.855915069580078, 164.14559936523438, 49.10230255126953)","(2.672729969024658, 154.62911987304688, 45.638553619384766)"
11,2,6359635629681,677415750,1,1,"(0.5324758291244507, 0.19378402829170227)","(0.5148875713348389, 0.2467469573020935)",1,1,3.081939697265625,3.0507965087890625,"(-26.780376434326172, 3.5356955528259277, 557.4705810546875)","(32.19667434692383, 7.282154083251953, 558.2444458007812)","(9.601560592651367, 164.76025390625, 49.326053619384766)","(3.5243608951568604, 155.0872802734375, 45.805362701416016)"
11,2,6359635646348,677432417,1,1,"(0.5282230377197266, 0.20164836943149567)","(0.5169531106948853, 0.24760150909423828)",1,1,3.08233642578125,3.056060791015625,"(-26.71468734741211, 3.5560765266418457, 557.2509765625)","(32.25091552734375, 7.311119079589844, 558.187255859375)","(8.13212776184082, 163.3239288330078, 48.80329132080078)","(4.238088607788086, 154.93121337890625, 45.74854278564453)"
11,2,6359635663015,677449083,1,1,"(0.5276898741722107, 0.2036149650812149)","(0.5217157006263733, 0.24154020845890045)",1,1,3.0777587890625,3.0527801513671875,"(-26.65156364440918, 3.597865581512451, 557.1531982421875)","(32.30219650268555, 7.339593410491943, 558.251708984375)","(7.947885036468506, 162.96478271484375, 48.672489166259766)","(5.883661270141602, 156.03823852539062, 46.15143966674805)"
11,2,6359635679682,677465750,1,1,"(0.5221234560012817, 0.21356140077114105)","(0.5157827734947205, 0.24048013985157013)",1,1,3.08843994140625,3.05999755859375,"(-26.58138656616211, 3.612487316131592, 556.95166015625)","(32.35606384277344, 7.340357780456543, 557.9173583984375)","(6.0245537757873535, 161.148193359375, 48.01132583618164)","(3.8336987495422363, 156.23184204101562, 46.22191619873047)"
11,2,6359635696349,677482417,1,1,"(0.5234498977661133, 0.21803683042526245)","(0.5223462581634521, 0.23962797224521637)",1,1,3.0911407470703125,3.057403564453125,"(-26.52615737915039, 3.630186080932617, 556.90478515625)","(32.42367172241211, 7.35239315032959, 558.1187744140625)","(6.482875823974609, 160.33079528808594, 47.7138786315918)","(6.101551055908203, 156.38748168945312, 46.27855682373047)"
11,2,6359635713021,677499088,1,1,"(0.527427613735199, 0.19518177211284637)","(0.5189613699913025, 0.23957759141921997)",1,1,3.0892486572265625,3.04071044921875,"(-26.473148345947266, 3.632232189178467, 556.9957275390625)","(32.48561096191406, 7.348318099975586, 557.85302734375)","(7.857275009155273, 164.50498962402344, 49.233089447021484)","(4.931971549987793, 156.39666748046875, 46.28194046020508)"
11,2,6359635729688,677515755,1,1,"(0.5326551198959351, 0.19495518505573273)","(0.5181569457054138, 0.24047118425369263)",1,1,3.0789794921875,3.051605224609375,"(-26.430904388427734, 3.6490325927734375, 557.0853271484375)","(32.54450225830078, 7.348341464996338, 557.7258911132812)","(9.663516998291016, 164.54637145996094, 49.248165130615234)","(4.6540398597717285, 156.2334747314453, 46.22251892089844)"
11,2,6359635746355,677532421,1,1,"(0.5333889126777649, 0.20867371559143066)","(0.5230470299720764, 0.23802103102207184)",1,1,3.0714111328125,3.0465240478515625,"(-26.362220764160156, 3.677553653717041, 557.0736694335938)","(32.62034225463867, 7.373351573944092, 557.995849609375)","(9.917047500610352, 162.0408477783203, 48.33627700805664)","(6.343676567077637, 156.6809539794922, 46.385414123535156)"
11,2,6359635763022,677549088,1,1,"(0.5294911861419678, 0.20302170515060425)","(0.5153339505195618, 0.24594464898109436)",1,1,3.0773468017578125,3.0419464111328125,"(-26.294605255126953, 3.692749500274658, 556.992919921875)","(32.67378234863281, 7.396772861480713, 557.6962890625)","(8.570294380187988, 163.07313537597656, 48.7119255065918)","(3.678612470626831, 155.23382568359375, 45.8586540222168)"
11,2,6359635779690,677565755,1,1,"(0.5312401652336121, 0.19302451610565186)","(0.5185580849647522, 0.24346394836902618)",1,1,3.0592803955078125,3.025985717773437,"(-26.240209579467773, 3.723884344100952, 557.031494140625)","(32.7362174987793, 7.4359588623046875, 557.690185546875)","(9.174627304077148, 164.8989715576172, 49.376529693603516)","(4.792632579803467, 155.68687438964844, 46.02361297607422)"
11,2,6359635796357,677582422,1,1,"(0.5357812643051147, 0.19235025346279144)","(0.5177062153816223, 0.24297572672367096)",1,1,3.050506591796875,3.021728515625,"(-26.19388198852539, 3.781550407409668, 556.9666748046875)","(32.79443359375, 7.487820625305176, 557.6671142578125)","(10.743668556213379, 165.02212524414062, 49.42133331298828)","(4.498297691345215, 155.77606201171875, 46.05600357055664)"
11,2,6359635813024,677599088,1,1,"(0.5306833386421204, 0.20361173152923584)","(0.5198104381561279, 0.23833400011062622)",1,1,3.058807373046875,3.01434326171875,"(-26.117679595947266, 3.8382606506347656, 556.8865966796875)","(32.8447380065918, 7.508862495422363, 557.52392578125)","(8.982221603393555, 162.96536254882812, 48.67273712158203)","(5.225342273712158, 156.623779296875, 46.364646911621094)"
11,2,6359635829691,677615755,1,1,"(0.4928898215293884, 0.2203318178653717)","(0.4939814805984497, 0.22682255506515503)",1,1,3.055206298828125,3.0047149658203125,"(-26.171314239501953, 3.882854461669922, 556.2095947265625)","(32.749359130859375, 7.564249038696289, 557.273681640625)","(-4.076400279998779, 159.9116668701172, 47.561256408691406)","(-3.699200391769409, 158.72621154785156, 47.129817962646484)"
11,2,6359635846360,677632424,1,1,"(0.39250484108924866, 0.2048892080783844)","(0.39672988653182983, 0.18423353135585785)",1,1,3.05560302734375,3.026229858398437,"(-26.40749740600586, 3.8733110427856445, 556.3623046875)","(32.47432327270508, 7.520823955535889, 557.5944213867188)","(-38.76194763183594, 162.73204040527344, 48.58783721923828)","(-37.30209732055664, 166.50454711914062, 49.96086120605469)"
11,2,6359635863028,677649091,1,1,"(0.30743417143821716, 0.19252465665340424)","(0.29446515440940857, 0.1963547319173813)",1,1,2.9923553466796875,3.0375518798828125,"(-26.71773910522461, 3.8116579055786133, 556.456787109375)","(32.095123291015625, 7.470607757568359, 557.3536376953125)","(-68.15602111816406, 164.99026489257812, 49.409759521484375)","(-72.63713836669922, 164.29075622558594, 49.155147552490234)"
11,2,6359635879694,677665757,1,1,"(0.3034379780292511, 0.18523845076560974)","(0.30852675437927246, 0.18443863093852997)",1,1,2.9860076904296875,3.0347137451171875,"(-26.713909149169922, 3.753023624420166, 556.1295166015625)","(32.176876068115234, 7.451009750366211, 558.2978515625)","(-69.53680419921875, 166.3209991455078, 49.89409255981445)","(-67.77850341796875, 166.46707153320312, 49.947265625)"
11,2,6359635896362,677682424,1,1,"(0.3075272738933563, 0.18873396515846252)","(0.30579981207847595, 0.18009471893310547)",1,1,2.99200439453125,3.018783569335937,"(-26.693328857421875, 3.708591938018799, 555.92578125)","(32.172607421875, 7.35704231262207, 557.6573486328125)","(-68.12384796142578, 165.68258666992188, 49.66173553466797)","(-68.7207260131836, 167.2604217529297, 50.23604202270508)"
