participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
11,12,6359440017793,481808950,1,1,"(0.5120328068733215, 0.5275769233703613)","(0.48135244846343994, 0.5555992722511292)",1,1,2.9402008056640625,2.970947265625,"(-13.685970306396484, -7.192098617553711, 534.6192626953125)","(45.081764221191406, -5.075267314910889, 528.555419921875)","(2.5379798412323, 103.79740142822266, 27.13736915588379)","(-8.06285572052002, 98.67950439453125, 25.274568557739258)"
11,12,6359440034460,481825617,1,1,"(0.5133408308029175, 0.5298925638198853)","(0.4825068712234497, 0.5570048093795776)",1,1,2.916900634765625,2.95416259765625,"(-13.649198532104492, -7.1950507164001465, 534.5584716796875)","(45.11712646484375, -5.081333160400391, 528.4879760742188)","(2.989922046661377, 103.37447357177734, 26.983455657958984)","(-7.663964748382568, 98.42278289794922, 25.181180953979492)"
11,12,6359440051127,481842283,1,1,"(0.5133931040763855, 0.5233579874038696)","(0.48548054695129395, 0.5699909925460815)",1,1,2.9611968994140625,2.9646148681640625,"(-13.61883544921875, -7.212441444396973, 534.5914306640625)","(45.13739013671875, -5.09604549407959, 528.37548828125)","(3.007997512817383, 104.56793975830078, 27.417814254760742)","(-6.6364850997924805, 96.05103302001953, 24.317901611328125)"
11,12,6359440067794,481858950,1,1,"(0.5124737620353699, 0.5182250738143921)","(0.4845127761363983, 0.5591182112693787)",1,1,2.9318084716796875,2.94854736328125,"(-13.589778900146484, -7.213466644287109, 534.5928955078125)","(45.16900634765625, -5.104386329650879, 528.4339599609375)","(2.69034743309021, 105.5053939819336, 27.759035110473633)","(-6.970888614654541, 98.03680419921875, 25.040672302246094)"
11,12,6359440084462,481875617,1,1,"(0.5040596723556519, 0.518619954586029)","(0.4812888205051422, 0.565534770488739)",1,1,2.9241943359375,2.950302124023437,"(-13.563457489013672, -7.224956035614014, 534.5777587890625)","(45.191349029541016, -5.127201557159424, 528.430908203125)","(-0.21693125367164612, 105.43326568603516, 27.732799530029297)","(-8.084845542907715, 96.86489868164062, 24.61416244506836)"
11,12,6359440101128,481892283,1,1,"(0.5079092979431152, 0.5253523588180542)","(0.4799390733242035, 0.5606544613838196)",1,1,2.922149658203125,2.952178955078125,"(-13.548164367675781, -7.2248921394348145, 534.54638671875)","(45.20638656616211, -5.146517753601074, 528.3662109375)","(1.113199234008789, 104.20368194580078, 27.285276412963867)","(-8.551216125488281, 97.7562255859375, 24.938562393188477)"
11,12,6359440117795,481908950,1,1,"(0.5122007727622986, 0.5264489054679871)","(0.48312821984291077, 0.5530120134353638)",1,1,2.9134521484375,2.9396209716796875,"(-13.522993087768555, -7.237135887145996, 534.4050903320312)","(45.24297332763672, -5.165918827056885, 528.470703125)","(2.5960257053375244, 104.00341033935547, 27.212390899658203)","(-7.449283599853516, 99.15201568603516, 25.44660758972168)"
11,12,6359440134463,481925617,1,1,"(0.5190005898475647, 0.5268364548683167)","(0.4822658598423004, 0.557869553565979)",1,1,2.9329376220703125,2.942352294921875,"(-13.503466606140137, -7.258568286895752, 534.3265380859375)","(45.26062774658203, -5.190794944763184, 528.436767578125)","(4.945521831512451, 103.9326400756836, 27.186574935913086)","(-7.747254371643066, 98.26484680175781, 25.123703002929688)"
11,12,6359440151135,481942289,1,1,"(0.5134866833686829, 0.523491382598877)","(0.47878459095954895, 0.5453218221664429)",1,1,2.92449951171875,2.9088287353515625,"(-13.48554801940918, -7.284762382507324, 534.35888671875)","(45.2794189453125, -5.216914176940918, 528.3560180664062)","(3.040329694747925, 104.5435562133789, 27.408987045288086)","(-8.950118064880371, 100.5565414428711, 25.957740783691406)"
11,12,6359440167803,481958956,1,1,"(0.5134541392326355, 0.5145543217658997)","(0.4803367257118225, 0.5522047281265259)",1,1,2.93402099609375,2.914047241210937,"(-13.465731620788574, -7.337287902832031, 534.486572265625)","(45.30024719238281, -5.258905410766602, 528.27490234375)","(3.0291056632995605, 106.1758041381836, 28.003063201904297)","(-8.413816452026367, 99.2994384765625, 25.500303268432617)"
11,12,6359440184470,481975623,1,1,"(0.5158582329750061, 0.5124577879905701)","(0.4782446324825287, 0.5494271516799927)",1,1,2.904647827148437,2.9228973388671875,"(-13.46092414855957, -7.375197410583496, 534.5034790039062)","(45.33429718017578, -5.296774387359619, 528.4581298828125)","(3.8597757816314697, 106.55872344970703, 28.142396926879883)","(-9.136683464050293, 99.80674743652344, 25.684890747070312)"
11,12,6359440201137,481992289,1,1,"(0.5162131190299988, 0.5194239020347595)","(0.4799007177352905, 0.5579835176467896)",1,1,2.9054412841796875,2.9472198486328125,"(-13.43227767944336, -7.391895294189453, 534.3462524414062)","(45.354286193847656, -5.330954551696777, 528.4395751953125)","(3.9823946952819824, 105.28642272949219, 27.679380416870117)","(-8.56446361541748, 98.24403381347656, 25.116113662719727)"
11,12,6359440217804,482008956,1,1,"(0.5237658619880676, 0.5382140278816223)","(0.4820997714996338, 0.5502223372459412)",1,1,2.91619873046875,2.9248809814453125,"(-13.41278076171875, -7.396491050720215, 534.2679443359375)","(45.380672454833984, -5.3560638427734375, 528.43603515625)","(6.592040061950684, 101.85468292236328, 26.43024444580078)","(-7.8046393394470215, 99.6615219116211, 25.63202476501465)"
11,12,6359440234471,482025623,1,1,"(0.5260049104690552, 0.5414671301841736)","(0.47643163800239563, 0.5491661429405212)",1,1,2.9415435791015625,2.942291259765625,"(-13.393376350402832, -7.398220062255859, 534.237060546875)","(45.412620544433594, -5.368889808654785, 528.5099487304688)","(7.365703582763672, 101.26052856445312, 26.214073181152344)","(-9.7631196975708, 99.85441589355469, 25.70224380493164)"
11,12,6359440251138,482042289,1,1,"(0.523173987865448, 0.5359764695167542)","(0.47688359022140503, 0.5486465692520142)",1,1,2.916534423828125,2.9271240234375,"(-13.383086204528809, -7.409582138061523, 534.2847900390625)","(45.42945861816406, -5.377054214477539, 528.5386962890625)","(6.38754940032959, 102.2633285522461, 26.579030990600586)","(-9.606961250305176, 99.94932556152344, 25.736740112304688)"
11,12,6359440267805,482058956,1,1,"(0.526590883731842, 0.5328131914138794)","(0.4759576618671417, 0.5498846173286438)",1,1,2.896591186523437,2.9430084228515625,"(-13.37336540222168, -7.429589748382568, 534.26953125)","(45.4525146484375, -5.395970344543457, 528.6767578125)","(7.568157196044922, 102.84107208251953, 26.78927230834961)","(-9.926888465881348, 99.72319793701172, 25.65448760986328)"
11,12,6359440284478,482075628,1,1,"(0.5333516001701355, 0.5388017892837524)","(0.47589582204818726, 0.5541439652442932)",1,1,2.923568725585937,2.941741943359375,"(-13.358759880065918, -7.466316223144531, 534.2222900390625)","(45.4760856628418, -5.419227600097656, 528.7362670898438)","(9.90417194366455, 101.74732208251953, 26.391237258911133)","(-9.948262214660645, 98.9452896118164, 25.371322631835938)"
11,12,6359440301144,482092294,1,1,"(0.5352160930633545, 0.5449758768081665)","(0.47219061851501465, 0.5557546019554138)",1,1,2.9332275390625,2.94659423828125,"(-13.334558486938477, -7.505167007446289, 534.2083740234375)","(45.508575439453125, -5.451020240783691, 528.73193359375)","(10.548379898071289, 100.61972045898438, 25.980777740478516)","(-11.228495597839355, 98.65110778808594, 25.264324188232422)"
11,12,6359440317811,482108961,1,1,"(0.5251373052597046, 0.5136011242866516)","(0.48261961340904236, 0.5418705344200134)",1,1,2.936279296875,2.936370849609375,"(-13.33842658996582, -7.488214015960693, 534.4617919921875)","(45.485618591308594, -5.377530097961426, 529.016845703125)","(7.065922737121582, 106.34989166259766, 28.066415786743164)","(-7.625015735626221, 101.1868667602539, 26.187211990356445)"
11,12,6359440334479,482125628,1,1,"(0.4735400080680847, 0.36647385358810425)","(0.4678499698638916, 0.3575992286205292)",1,1,2.9677886962890625,2.9671630859375,"(-13.260009765625, -7.16419792175293, 535.1934204101562)","(45.42076873779297, -5.140720367431641, 528.93115234375)","(-10.762259483337402, 133.22073364257812, 37.846614837646484)","(-12.728301048278809, 134.84156799316406, 38.436553955078125)"
