participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
12,6,7637829649310,491125729,1,1,"(0.37321150302886963, 0.44831719994544983)","(0.3590826988220215, 0.4365905821323395)",1,1,3.5428924560546875,3.4105224609375,"(-52.060813903808594, -19.171161651611328, 566.9030151367188)","(11.636836051940918, -17.910743713378906, 571.416748046875)","(-45.42828369140625, 118.27313232421875, 32.40611267089844)","(-50.31015396118164, 120.41484832763672, 33.18565368652344)"
12,6,7637829665977,491142396,1,1,"(0.379549503326416, 0.4397949278354645)","(0.36076879501342773, 0.43158721923828125)",1,1,3.5387115478515625,3.3944854736328125,"(-52.08013153076172, -19.18829345703125, 566.8908081054688)","(11.62900447845459, -17.92593765258789, 571.47119140625)","(-43.23835372924805, 119.82962799072266, 32.972618103027344)","(-49.72755813598633, 121.32865142822266, 33.518218994140625)"
12,6,7637829682645,491159063,1,1,"(0.3651581108570099, 0.43569859862327576)","(0.35787433385849, 0.4197220802307129)",1,1,3.544708251953125,3.412460327148437,"(-52.09197998046875, -19.194866180419922, 566.888671875)","(11.618431091308594, -17.931928634643555, 571.5621337890625)","(-48.2109375, 120.5777587890625, 33.244937896728516)","(-50.727664947509766, 123.49568939208984, 34.30691909790039)"
12,6,7637829699311,491175729,1,1,"(0.3677949011325836, 0.4414163827896118)","(0.36299458146095276, 0.4352540969848633)",1,1,3.539031982421875,3.409164428710937,"(-52.095115661621094, -19.189922332763672, 566.9241333007812)","(11.623863220214844, -17.926603317260742, 571.5889892578125)","(-47.299861907958984, 119.53349304199219, 32.86481475830078)","(-48.958499908447266, 120.6589584350586, 33.274471282958984)"
12,6,7637829715979,491192396,1,1,"(0.3735910654067993, 0.4495025873184204)","(0.36790594458580017, 0.4378364384174347)",1,1,3.556549072265625,3.3923797607421875,"(-52.092411041259766, -19.183191299438477, 566.978759765625)","(11.63321590423584, -17.924341201782227, 571.6065063476562)","(-45.29712677001953, 118.05664825439453, 32.327327728271484)","(-47.2614860534668, 120.18730926513672, 33.102813720703125)"
12,6,7637829732646,491209063,1,1,"(0.37955978512763977, 0.4439184069633484)","(0.3619203567504883, 0.410527765750885)",1,1,3.5419464111328125,3.39349365234375,"(-52.07493591308594, -19.160552978515625, 566.98193359375)","(11.653965950012207, -17.910839080810547, 571.5880126953125)","(-43.23478698730469, 119.07650756835938, 32.69854736328125)","(-49.329654693603516, 125.17487335205078, 34.91813659667969)"
12,6,7637829749313,491225729,1,1,"(0.3759654462337494, 0.4481654763221741)","(0.37093615531921387, 0.42210841178894043)",1,1,3.5595245361328125,3.3990936279296875,"(-52.05229949951172, -19.13084602355957, 567.0322265625)","(11.679230690002441, -17.89077377319336, 571.59619140625)","(-44.47671890258789, 118.30084228515625, 32.416229248046875)","(-46.2144775390625, 123.05982971191406, 34.14833450317383)"
12,6,7637829765985,491242401,1,1,"(0.38343700766563416, 0.45660167932510376)","(0.36967572569847107, 0.42765167355537415)",1,1,3.55712890625,3.38262939453125,"(-52.01908874511719, -19.107975006103516, 567.1175537109375)","(11.706949234008789, -17.877981185913086, 571.6226806640625)","(-41.89512252807617, 116.76010131835938, 31.85540771484375)","(-46.64998245239258, 122.04742431640625, 33.77983474731445)"
12,6,7637829782653,491259068,1,1,"(0.37787511944770813, 0.44122180342674255)","(0.36777064204216003, 0.4202066659927368)",1,1,3.54693603515625,3.4059295654296875,"(-51.995033264160156, -19.10894775390625, 567.2478637695312)","(11.746147155761719, -17.887725830078125, 571.6392822265625)","(-43.81688690185547, 119.56902313232422, 32.87776184082031)","(-47.3082389831543, 123.40715789794922, 34.27473449707031)"
12,6,7637829799319,491275734,1,1,"(0.38367900252342224, 0.40392234921455383)","(0.37740978598594666, 0.4276053309440613)",1,1,3.5345001220703125,3.3688507080078125,"(-51.915531158447266, -19.08840560913086, 567.0255126953125)","(11.792844772338867, -17.864595413208008, 571.7556762695312)","(-41.81150436401367, 126.38127899169922, 35.35722351074219)","(-43.97767639160156, 122.0558853149414, 33.782928466796875)"
