participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
13,32,4888617784640,30248515580459,1,1,"(0.5170055031776428, 0.31559062004089355)","(0.5192082524299622, 0.3161248564720154)",1,1,2.019149780273437,2.3343048095703125,"(-35.1146240234375, -9.855329513549805, 696.7757568359375)","(31.261581420898438, -6.514418601989746, 690.5994873046875)","(8.901113510131836, 224.73741149902344, 71.15596008300781)","(10.036730766296387, 224.57566833496094, 71.09709930419922)"
13,32,4888617792973,30248515588792,1,1,"(0.5183382630348206, 0.314820259809494)","(0.521697998046875, 0.3188949227333069)",1,1,2.0353240966796875,2.34033203125,"(-35.10517883300781, -9.83733081817627, 696.7769775390625)","(31.26528549194336, -6.506137847900391, 690.6524658203125)","(9.588203430175781, 224.97067260742188, 71.24083709716797)","(11.320274353027344, 223.73696899414062, 70.79180145263672)"
13,32,4888617801312,30248515597132,1,1,"(0.5141651630401611, 0.3140486180782318)","(0.5236069560050964, 0.30841153860092163)",1,1,2.0296630859375,2.31341552734375,"(-35.09975814819336, -9.847526550292969, 696.8446655273438)","(31.270524978637695, -6.518032550811768, 690.6644287109375)","(7.436849117279053, 225.2042999267578, 71.32587432861328)","(12.304360389709473, 226.91107177734375, 71.94710540771484)"
13,32,4888617809645,30248515605465,1,1,"(0.5142579674720764, 0.31935739517211914)","(0.5202116370201111, 0.31808528304100037)",1,1,2.062255859375,2.3197784423828125,"(-35.099761962890625, -9.788833618164062, 696.8446655273438)","(31.259347915649414, -6.45601224899292, 690.8138427734375)","(7.4846906661987305, 223.59695434570312, 70.74085235595703)","(10.553994178771973, 223.98211669921875, 70.88098907470703)"
13,32,4888617817979,30248515613799,1,1,"(0.4970334470272064, 0.24908167123794556)","(0.5015480518341064, 0.26377105712890625)",1,1,2.04840087890625,2.3782196044921875,"(-35.15141296386719, -9.704545974731445, 697.2013549804688)","(31.18079376220703, -6.348247051239014, 691.0169677734375)","(-1.3950538635253906, 244.8746795654297, 78.48524475097656)","(0.9323713183403015, 240.42709350585938, 76.86647033691406)"
13,32,4888617826312,30248515622132,1,1,"(0.48032471537590027, 0.230062797665596)","(0.4904722571372986, 0.2300182580947876)",1,1,2.0592193603515625,2.365081787109375,"(-35.1732177734375, -9.622447967529297, 697.024658203125)","(31.09367561340332, -6.2776689529418945, 691.171142578125)","(-10.008902549743652, 250.63307189941406, 80.58121490478516)","(-4.777553081512451, 250.64657592773438, 80.5860824584961)"
13,32,4888617834645,30248515630465,1,1,"(0.4768238663673401, 0.2211868017911911)","(0.48710551857948303, 0.22626714408397675)",1,1,2.0643768310546875,2.3802032470703125,"(-35.20396423339844, -9.54525375366211, 697.1959228515625)","(31.032894134521484, -6.192087650299072, 691.311767578125)","(-11.813701629638672, 253.3205108642578, 81.55934143066406)","(-6.513195991516113, 251.78231811523438, 80.99946594238281)"
13,32,4888617842979,30248515638799,1,1,"(0.472130686044693, 0.20151105523109436)","(0.4781917929649353, 0.2001975029706955)",1,1,2.077545166015625,2.3781280517578125,"(-35.23252868652344, -9.497368812561035, 696.8818969726562)","(31.014453887939453, -6.146181583404541, 691.5506591796875)","(-14.233159065246582, 259.27783203125, 83.72760009765625)","(-11.108480453491211, 259.675537109375, 83.87239074707031)"
13,32,4888617851312,30248515647132,1,1,"(0.4746626913547516, 0.19826292991638184)","(0.47271835803985596, 0.1996026188135147)",1,1,2.079452514648437,2.398056030273437,"(-35.26868438720703, -9.498342514038086, 696.6754150390625)","(30.979503631591797, -6.136404991149902, 691.434814453125)","(-12.927850723266602, 260.2612609863281, 84.0855712890625)","(-13.930224418640137, 259.85565185546875, 83.93791198730469)"
13,32,4888617859644,30248515655465,1,1,"(0.4785875082015991, 0.20384925603866577)","(0.4765898585319519, 0.20109663903713226)",1,1,2.082000732421875,2.4050445556640625,"(-35.32197570800781, -9.496030807495117, 696.7637939453125)","(30.939617156982422, -6.122773170471191, 691.3182373046875)","(-10.904481887817383, 258.56988525390625, 83.46992492675781)","(-11.93433666229248, 259.4033203125, 83.77326965332031)"
