participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
13,8,4887915223709,30247813007360,1,1,"(0.4740353226661682, 0.41674983501434326)","(0.47958531975746155, 0.45418256521224976)",1,1,1.9959259033203125,2.3429107666015625,"(-31.279544830322266, 6.15902853012085, 707.7720336914062)","(35.216060638427734, 6.813036918640137, 707.1231079101562)","(-13.251276016235352, 194.10897827148438, 60.00807189941406)","(-10.39007568359375, 182.77529907226562, 55.882965087890625)"
13,8,4887915232042,30247813015693,1,1,"(0.46709144115448, 0.42325103282928467)","(0.47741860151290894, 0.44768837094306946)",1,1,1.9980926513671875,2.325668334960937,"(-31.27130126953125, 6.157682418823242, 707.7727661132812)","(35.22943878173828, 6.81535005569458, 707.232666015625)","(-16.831056594848633, 192.14056396484375, 59.29167938232422)","(-11.507094383239746, 184.74156188964844, 56.598655700683594)"
13,8,4887915240376,30247813024027,1,1,"(0.47351643443107605, 0.41856369376182556)","(0.4790988564491272, 0.46273723244667053)",1,1,1.9949493408203125,2.366607666015625,"(-31.264301300048828, 6.150628566741943, 707.8291625976562)","(35.237525939941406, 6.813088893890381, 707.287353515625)","(-13.518783569335938, 193.55978393554688, 59.80815505981445)","(-10.640867233276367, 180.1851348876953, 54.940242767333984)"
13,8,4887915248712,30247813032363,1,1,"(0.47260186076164246, 0.4178675413131714)","(0.4756179451942444, 0.46915915608406067)",1,1,1.99700927734375,2.389266967773437,"(-31.26374053955078, 6.16739559173584, 707.9404296875)","(35.245704650878906, 6.819685935974121, 707.3834838867188)","(-13.990272521972656, 193.77056884765625, 59.88490295410156)","(-12.435397148132324, 178.2407684326172, 54.23252487182617)"
13,8,4887915257046,30247813040697,1,1,"(0.46931442618370056, 0.4219725430011749)","(0.47442102432250977, 0.45944690704345703)",1,1,1.9793548583984373,2.346038818359375,"(-31.259769439697266, 6.159912586212158, 707.9271240234375)","(35.2457275390625, 6.81745719909668, 707.4251708984375)","(-15.685030937194824, 192.52767944335938, 59.432533264160156)","(-13.052422523498535, 181.18136596679688, 55.302852630615234)"
13,8,4887915265379,30247813049031,1,1,"(0.47267815470695496, 0.42105942964553833)","(0.4740568995475769, 0.46662700176239014)",1,1,1.99139404296875,2.36328125,"(-31.261985778808594, 6.15571403503418, 707.99609375)","(35.244441986083984, 6.812174320220947, 707.4254760742188)","(-13.950948715209961, 192.8041229248047, 59.53319549560547)","(-13.24014949798584, 179.0074462890625, 54.51154708862305)"
13,8,4887915273712,30247813057364,1,1,"(0.46893593668937683, 0.4229242503643036)","(0.47693705558776855, 0.4241477847099304)",1,1,2.0037994384765625,2.2503814697265625,"(-31.265735626220703, 6.161749839782715, 708.0791015625)","(35.240318298339844, 6.814728260040283, 707.46728515625)","(-15.880159378051758, 192.23951721191406, 59.32765197753906)","(-11.755330085754395, 191.8690643310547, 59.19281768798828)"
13,8,4887915282045,30247813065697,1,1,"(0.4683689773082733, 0.429873526096344)","(0.4752086400985718, 0.45850658416748047)",1,1,2.022369384765625,2.3545074462890625,"(-31.26803207397461, 6.182478904724121, 708.1483154296875)","(35.23634338378906, 6.819681167602539, 707.481689453125)","(-16.17243003845215, 190.1354522705078, 58.56184387207031)","(-12.646388053894043, 181.46609497070312, 55.406455993652344)"
13,8,4887915290378,30247813074030,1,1,"(0.4650726616382599, 0.41403728723526)","(0.4786786437034607, 0.4452793002128601)",1,1,1.969757080078125,2.3077850341796875,"(-31.266420364379883, 6.183781623840332, 708.203857421875)","(35.237815856933594, 6.819988250732422, 707.5645751953125)","(-17.871797561645508, 194.93026733398438, 60.30703353881836)","(-10.8574857711792, 185.47096252441406, 56.8641357421875)"
13,8,4887915298711,30247813082363,1,1,"(0.470847487449646, 0.42654404044151306)","(0.4773094058036804, 0.4544540345668793)",1,1,1.99334716796875,2.31787109375,"(-31.258214950561523, 6.21330451965332, 708.232666015625)","(35.24580001831055, 6.83564567565918, 707.6613159179688)","(-14.89470386505127, 191.1435546875, 58.92873764038086)","(-11.56338882446289, 182.69309997558594, 55.85304641723633)"
13,8,4887915307045,30247813090697,1,1,"(0.47319430112838745, 0.4364916682243347)","(0.47265565395355225, 0.4565332531929016)",1,1,1.9955596923828125,2.3414764404296875,"(-31.244403839111328, 6.242313385009766, 708.2898559570312)","(35.26615905761719, 6.8485002517700195, 707.8252563476562)","(-13.684835433959961, 188.1316375732422, 57.83253479003906)","(-13.96253776550293, 182.06356811523438, 55.623905181884766)"
13,8,4887915315378,30247813099031,1,1,"(0.4676125943660736, 0.4307268559932709)","(0.47305983304977417, 0.4479251205921173)",1,1,1.981658935546875,2.335189819335937,"(-31.22770118713379, 6.254166603088379, 708.416748046875)","(35.289241790771484, 6.8533525466918945, 707.9478759765625)","(-16.562389373779297, 189.87709045410156, 58.467796325683594)","(-13.75417709350586, 184.6698760986328, 56.572540283203125)"
13,8,4887915323711,30247813107364,1,1,"(0.46870484948158264, 0.4269222319126129)","(0.4692346453666687, 0.4550221860408783)",1,1,1.97674560546875,2.332733154296875,"(-31.210811614990234, 6.272845268249512, 708.5579223632812)","(35.31812286376953, 6.8759541511535645, 708.027587890625)","(-15.999281883239746, 191.02903747558594, 58.887054443359375)","(-15.72616195678711, 182.5210723876953, 55.790428161621094)"
13,8,4887915332044,30247813115697,1,1,"(0.472491592168808, 0.4220399856567383)","(0.47754424810409546, 0.4456544816493988)",1,1,1.99542236328125,2.332504272460937,"(-31.181493759155273, 6.280852317810059, 708.79736328125)","(35.35249328613281, 6.879755973815918, 708.1629028320312)","(-14.047114372253418, 192.5072479248047, 59.42512893676758)","(-11.442323684692383, 185.35739135742188, 56.82276916503906)"
13,8,4887915340377,30247813124030,1,1,"(0.46295619010925293, 0.4225083887577057)","(0.4727424681186676, 0.4420510530471802)",1,1,1.9700927734375,2.310638427734375,"(-31.160585403442383, 6.297301769256592, 708.9664306640625)","(35.36762619018555, 6.895573616027832, 708.2159423828125)","(-18.962900161743164, 192.3654327392578, 59.373497009277344)","(-13.91778564453125, 186.4484100341797, 57.219871520996094)"
13,8,4887915348711,30247813132364,1,1,"(0.4523102343082428, 0.42037075757980347)","(0.4619734585285187, 0.45435547828674316)",1,1,1.9989776611328125,2.332000732421875,"(-31.140811920166016, 6.309596061706543, 709.0244140625)","(35.375694274902344, 6.910061836242676, 708.2847900390625)","(-24.45121192932129, 193.0126495361328, 59.60905075073242)","(-19.469524383544922, 182.72293090820312, 55.8639030456543)"
13,8,4887915357044,30247813140697,1,1,"(0.45566537976264954, 0.4187901020050049)","(0.46371927857398987, 0.4332412779331207)",1,1,1.997406005859375,2.2948760986328125,"(-31.10210418701172, 6.306375026702881, 708.9166870117188)","(35.39350128173828, 6.909161567687988, 708.2412109375)","(-22.721525192260742, 193.49124145507812, 59.78325271606445)","(-18.56951141357422, 189.11578369140625, 58.190738677978516)"
13,8,4887915365378,30247813149031,1,1,"(0.45001935958862305, 0.4194421172142029)","(0.4611307978630066, 0.4591757357120514)",1,1,1.9817962646484373,2.3354949951171875,"(-31.050514221191406, 6.3138322830200195, 708.7687377929688)","(35.434322357177734, 6.925777912139893, 708.2507934570312)","(-25.632225036621094, 193.29380798339844, 59.71141052246094)","(-19.903942108154297, 181.26348876953125, 55.33269119262695)"
13,8,4887915373713,30247813157367,1,1,"(0.4469720125198364, 0.41669517755508423)","(0.45762884616851807, 0.47330760955810547)",1,1,1.9831390380859373,2.3570709228515625,"(-31.014453887939453, 6.332363128662109, 708.9535522460938)","(35.484554290771484, 6.933300018310547, 708.3427734375)","(-27.203216552734375, 194.1255340576172, 60.01409149169922)","(-21.709304809570312, 176.98471069335938, 53.77535629272461)"
13,8,4887915382047,30247813165701,1,1,"(0.4459852874279022, 0.4153295159339905)","(0.4607093334197998, 0.4031524658203125)",1,1,1.9888458251953125,2.2058868408203125,"(-30.98224449157715, 6.343438148498535, 709.068359375)","(35.51986312866211, 6.932680130004883, 708.436279296875)","(-27.71189308166504, 194.53903198242188, 60.16456604003906)","(-20.121212005615234, 198.22592163085938, 61.50651168823242)"
13,8,4887915390380,30247813174034,1,1,"(0.4515579044818878, 0.4083734154701233)","(0.45788899064064026, 0.4550960958003998)",1,1,1.9564208984375,2.30401611328125,"(-30.962032318115234, 6.37858247756958, 709.1815185546875)","(35.54440689086914, 6.964204788208008, 708.4473876953125)","(-24.83905601501465, 196.64515686035156, 60.93115234375)","(-21.575206756591797, 182.49871826171875, 55.78228759765625)"
13,8,4887915398714,30247813182368,1,1,"(0.45420509576797485, 0.4140353500843048)","(0.4598638117313385, 0.45320290327072144)",1,1,1.9721832275390625,2.3003387451171875,"(-30.948692321777344, 6.407692909240723, 709.3359375)","(35.56623077392578, 6.975592136383057, 708.5011596679688)","(-23.474346160888672, 194.9308624267578, 60.30721664428711)","(-20.55710792541504, 183.0718994140625, 55.99095916748047)"
13,8,4887915407047,30247813190701,1,1,"(0.4557983875274658, 0.4311301112174988)","(0.46193161606788635, 0.44860681891441345)",1,1,2.0012664794921875,2.261566162109375,"(-30.936180114746094, 6.439666748046875, 709.3790893554688)","(35.57716369628906, 6.992617607116699, 708.5411987304688)","(-22.6529541015625, 189.7550048828125, 58.4233512878418)","(-19.4910831451416, 184.46348571777344, 56.497440338134766)"
13,8,4887915415380,30247813199034,1,1,"(0.4536556601524353, 0.43568310141563416)","(0.45999571681022644, 0.455139696598053)",1,1,2.009613037109375,2.300140380859375,"(-30.931190490722656, 6.492568016052246, 709.5469970703125)","(35.594932556152344, 7.029090881347656, 708.6932373046875)","(-23.75758934020996, 188.37644958496094, 57.921634674072266)","(-20.489107131958008, 182.4854736328125, 55.77751922607422)"
13,8,4887915423713,30247813207367,1,1,"(0.45672664046287537, 0.4339844286441803)","(0.45920780301094055, 0.43850934505462646)",1,1,1.99554443359375,2.2578887939453125,"(-30.920074462890625, 6.518069267272949, 709.5619506835938)","(35.60053253173828, 7.044612884521484, 708.7205810546875)","(-22.174407958984375, 188.89077758789062, 58.10878372192383)","(-20.895309448242188, 187.520751953125, 57.61015319824219)"
13,8,4887915432047,30247813215701,1,1,"(0.45115718245506287, 0.4351300895214081)","(0.4628806412220001, 0.4098570942878723)",1,1,1.9738006591796875,2.18963623046875,"(-30.911602020263672, 6.527970790863037, 709.61865234375)","(35.60737991333008, 7.051424980163574, 708.7756958007812)","(-25.045635223388672, 188.54388427734375, 57.98255920410156)","(-19.001850128173828, 196.19593811035156, 60.76765823364258)"
13,8,4887915440381,30247813224035,1,1,"(0.4593902826309204, 0.4219166338443756)","(0.4632122814655304, 0.4571543335914612)",1,1,1.955902099609375,2.3383331298828125,"(-30.89444923400879, 6.547905921936035, 709.550537109375)","(35.60868453979492, 7.065415859222412, 708.705810546875)","(-20.80122947692871, 192.5446014404297, 59.43871307373047)","(-18.830875396728516, 181.87551879882812, 55.55548858642578)"
13,8,4887915448712,30247813232367,1,1,"(0.456997811794281, 0.41686293482780457)","(0.4644688367843628, 0.4228980243206024)",1,1,1.981231689453125,2.2421112060546875,"(-30.87226104736328, 6.55167293548584, 709.6226806640625)","(35.626190185546875, 7.0703277587890625, 708.801513671875)","(-22.034629821777344, 194.07473754882812, 59.99561309814453)","(-18.183090209960938, 192.24746704101562, 59.330543518066406)"
13,8,4887915457046,30247813240701,1,1,"(0.45013654232025146, 0.4213864803314209)","(0.46445074677467346, 0.43177399039268494)",1,1,1.98480224609375,2.251007080078125,"(-30.83085060119629, 6.554495811462402, 709.62646484375)","(35.660011291503906, 7.079124927520752, 708.9788818359375)","(-25.571792602539062, 192.7051239013672, 59.497135162353516)","(-18.192405700683594, 189.56005859375, 58.352413177490234)"
