participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
14,4,5147254479923,30507157749097,1,1,"(0.45872288942337036, 0.5071383118629456)","(0.44539573788642883, 0.4779655933380127)",1,1,2.519866943359375,2.44891357421875,"(-49.59950637817383, 44.81582260131836, 629.7882690429688)","(6.45268440246582, 45.67449188232422, 633.4929809570312)","(-21.145286560058594, 166.74163818359375, 50.04719543457031)","(-28.015838623046875, 175.57440185546875, 53.26203536987305)"
14,4,5147254488257,30507157757431,1,1,"(0.45572328567504883, 0.5006097555160522)","(0.4473429322242737, 0.47085705399513245)",1,1,2.5004119873046875,2.451873779296875,"(-49.65053176879883, 44.82918167114258, 629.7913818359375)","(6.399564743041992, 45.701873779296875, 633.44921875)","(-22.69167137145996, 168.71829223632812, 50.766639709472656)","(-27.012014389038086, 177.72666931152344, 54.04542922973633)"
14,4,5147254496590,30507157765764,1,1,"(0.45289841294288635, 0.48629504442214966)","(0.4418175518512726, 0.4884304702281952)",1,1,2.467254638671875,2.46771240234375,"(-49.715824127197266, 44.82809066772461, 629.84716796875)","(6.354390621185303, 45.71612548828125, 633.5050659179688)","(-24.14797592163086, 173.0524444580078, 52.344139099121094)","(-29.86050033569336, 172.4058837890625, 52.10881423950195)"
14,4,5147254504923,30507157774097,1,1,"(0.4613465964794159, 0.501611590385437)","(0.4407714605331421, 0.43755292892456055)",1,1,2.5120849609375,2.374664306640625,"(-49.76369857788086, 44.820980072021484, 629.772216796875)","(6.310610771179199, 45.728946685791016, 633.5169067382812)","(-19.792688369750977, 168.41497802734375, 50.656253814697266)","(-30.3997802734375, 187.81031799316406, 57.71555709838867)"
14,4,5147254513256,30507157782431,1,1,"(0.45418110489845276, 0.49511703848838806)","(0.44643813371658325, 0.49033764004707336)",1,1,2.4673309326171875,2.47503662109375,"(-49.814292907714844, 44.82543182373047, 629.7638549804688)","(6.250085353851318, 45.75065612792969, 633.52880859375)","(-23.486722946166992, 170.38137817382812, 51.37194061279297)","(-27.478445053100586, 171.82843017578125, 51.89866256713867)"
14,4,5147254521589,30507157790764,1,1,"(0.4517323970794678, 0.5049649477005005)","(0.4477352499961853, 0.4789881706237793)",1,1,2.4944305419921875,2.456787109375,"(-49.869300842285156, 44.81996154785156, 629.7882080078125)","(6.196619987487793, 45.74732208251953, 633.4627685546875)","(-24.749103546142578, 167.39967346191406, 50.28670120239258)","(-26.809734344482422, 175.26478576660156, 53.14936065673828)"
14,4,5147254529922,30507157799097,1,1,"(0.4574128985404968, 0.47912684082984924)","(0.4427073299884796, 0.5003712773323059)",1,1,2.4320526123046875,2.4947662353515625,"(-49.927120208740234, 44.81486511230469, 629.7240600585938)","(6.150769233703613, 45.75503921508789, 633.4197998046875)","(-21.820636749267578, 175.22280883789062, 53.13407897949219)","(-29.401782989501953, 168.79052734375, 50.79291915893555)"
14,4,5147254538256,30507157807431,1,1,"(0.45839691162109375, 0.5088734030723572)","(0.446396142244339, 0.4878907799720764)",1,1,2.4974822998046875,2.480438232421875,"(-49.978858947753906, 44.809532165527344, 629.7149658203125)","(6.101195335388184, 45.76918411254883, 633.464111328125)","(-21.31332778930664, 166.21627807617188, 49.85597229003906)","(-27.50009536743164, 172.5692901611328, 52.168277740478516)"
14,4,5147254546589,30507157815764,1,1,"(0.4499281644821167, 0.4881324768066406)","(0.4434182047843933, 0.4939529001712799)",1,1,2.4503936767578125,2.49481201171875,"(-50.02666091918945, 44.808982849121094, 629.685791015625)","(6.038543701171875, 45.788394927978516, 633.487548828125)","(-25.679235458374023, 172.49610900878906, 52.14164352416992)","(-29.035316467285156, 170.7338409423828, 51.5002326965332)"
14,4,5147254554922,30507157824097,1,1,"(0.45106494426727295, 0.4909071922302246)","(0.44790399074554443, 0.4914875030517578)",1,1,2.471054077148437,2.4919586181640625,"(-50.08926773071289, 44.81995391845703, 629.78564453125)","(5.981828212738037, 45.79041290283203, 633.388427734375)","(-25.09318733215332, 171.65599060058594, 51.83588790893555)","(-26.72275733947754, 171.4803009033203, 51.77192687988281)"
14,4,5147254563256,30507157832431,1,1,"(0.4554883539676666, 0.5042346119880676)","(0.44419580698013306, 0.5016722083091736)",1,1,2.47747802734375,2.5169677734375,"(-50.14598083496094, 44.81480026245117, 629.7315673828125)","(5.934058666229248, 45.802886962890625, 633.3892822265625)","(-22.81279182434082, 167.62078857421875, 50.36717224121094)","(-28.634422302246094, 168.39663696289062, 50.649559020996094)"
14,4,5147254571588,30507157840764,1,1,"(0.45231595635414124, 0.5081664323806763)","(0.44234007596969604, 0.46292269229888916)",1,1,2.4971160888671875,2.439559936523437,"(-50.200992584228516, 44.817691802978516, 629.7001342773438)","(5.8835344314575195, 45.822662353515625, 633.4227905273438)","(-24.44825553894043, 166.43035888671875, 49.93389129638672)","(-29.59113311767578, 180.12901306152344, 54.919776916503906)"
14,4,5147254579924,30507157849100,1,1,"(0.4533737003803253, 0.49548712372779846)","(0.44892674684524536, 0.45221826434135437)",1,1,2.46905517578125,2.420074462890625,"(-50.25898742675781, 44.81105041503906, 629.7461547851562)","(5.815967559814453, 45.81733322143555, 633.34619140625)","(-23.9029541015625, 170.26931762695312, 51.331153869628906)","(-26.195476531982422, 183.37002563476562, 56.099449157714844)"
14,4,5147254588258,30507157857434,1,1,"(0.45097196102142334, 0.49913907051086426)","(0.44511401653289795, 0.49951228499412537)",1,1,2.476104736328125,2.52850341796875,"(-50.32111358642578, 44.801422119140625, 629.7138061523438)","(5.760048866271973, 45.81587600708008, 633.258056640625)","(-25.141124725341797, 169.16358947753906, 50.92873001098633)","(-28.16107177734375, 169.0506134033203, 50.887569427490234)"
14,4,5147254596591,30507157865767,1,1,"(0.4551005959510803, 0.4818403422832489)","(0.43726280331611633, 0.4860004186630249)",1,1,2.439208984375,2.484481811523437,"(-50.37490463256836, 44.79551315307617, 629.6385498046875)","(5.713982105255127, 45.838775634765625, 633.325439453125)","(-23.012699127197266, 174.40122985839844, 52.835060119628906)","(-32.2086181640625, 173.14166259765625, 52.376583099365234)"
14,4,5147254604924,30507157874100,1,1,"(0.45091208815574646, 0.5075734257698059)","(0.44644200801849365, 0.4694792330265045)",1,1,2.498519897460937,2.4643096923828125,"(-50.429229736328125, 44.77479934692383, 629.685302734375)","(5.659509181976318, 45.84006118774414, 633.4147338867188)","(-25.171981811523438, 166.60986328125, 49.999267578125)","(-27.47646141052246, 178.14385986328125, 54.197265625)"
14,4,5147254613258,30507157882434,1,1,"(0.4540198743343353, 0.4684532582759857)","(0.450598806142807, 0.4244692921638489)",1,1,2.412338256835937,2.372100830078125,"(-50.48786163330078, 44.774375915527344, 629.75390625)","(5.601154327392578, 45.83951950073242, 633.3265380859375)","(-23.569843292236328, 178.4544677734375, 54.310340881347656)","(-25.333494186401367, 191.771728515625, 59.15738296508789)"
14,4,5147254621590,30507157890767,1,1,"(0.4523726999759674, 0.49463334679603577)","(0.4483448266983032, 0.4924514889717102)",1,1,2.46246337890625,2.4910125732421875,"(-50.53667449951172, 44.76008224487305, 629.6679077148438)","(5.550985813140869, 45.83906555175781, 633.2498779296875)","(-24.419004440307617, 170.52781677246094, 51.42524337768555)","(-26.495498657226562, 171.1884307861328, 51.66569900512695)"
14,4,5147254629923,30507157899100,1,1,"(0.453360915184021, 0.4895538091659546)","(0.4397795498371124, 0.4546476900577545)",1,1,2.457122802734375,2.43212890625,"(-50.592742919921875, 44.749481201171875, 629.691162109375)","(5.510756969451904, 45.841064453125, 633.2725830078125)","(-23.9095401763916, 172.0657501220703, 51.98501968383789)","(-30.91114044189453, 182.63446044921875, 55.83169937133789)"
14,4,5147254638265,30507157907442,1,1,"(0.4502362608909607, 0.4780379831790924)","(0.4454837143421173, 0.44608762860298157)",1,1,2.434173583984375,2.432113647460937,"(-50.63206481933594, 44.746299743652344, 629.6736450195312)","(5.469020843505859, 45.85236740112305, 633.2947998046875)","(-25.52040672302246, 175.55247497558594, 53.25408172607422)","(-27.970476150512695, 185.2262420654297, 56.775028228759766)"
14,4,5147254646590,30507157915767,1,1,"(0.4454690217971802, 0.48788657784461975)","(0.44108280539512634, 0.4576581120491028)",1,1,2.457183837890625,2.4456329345703125,"(-50.67972183227539, 44.75708770751953, 629.7435302734375)","(5.421384811401367, 45.863182067871094, 633.240234375)","(-27.97806167602539, 172.57054138183594, 52.168792724609375)","(-30.239276885986328, 181.72299194335938, 55.49993133544922)"
14,4,5147254654923,30507157924100,1,1,"(0.45331838726997375, 0.47287485003471375)","(0.44864389300346375, 0.462174654006958)",1,1,2.4571990966796875,2.434295654296875,"(-50.71629333496094, 44.754005432128906, 629.6482543945312)","(5.379088401794434, 45.86933135986328, 633.2301025390625)","(-23.931459426879883, 177.11573791503906, 53.82304382324219)","(-26.341306686401367, 180.35548400878906, 55.002262115478516)"
