participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
15,26,5234892453845,30594797559482,1,1,"(0.4883247911930084, 0.34720924496650696)","(0.4352823793888092, 0.3947722315788269)",1,1,1.856475830078125,1.8128204345703125,"(6.6066436767578125, 94.1140365600586, 633.2989501953125)","(71.65400695800781, 96.59134674072266, 632.653076171875)","(-5.884610652923584, 215.16409301757812, 67.6715316772461)","(-33.22957229614258, 200.76324462890625, 62.430057525634766)"
15,26,5234892462179,30594797567816,1,1,"(0.4940745532512665, 0.338963121175766)","(0.44411972165107727, 0.40267813205718994)",1,1,1.851165771484375,1.8128509521484373,"(6.517354965209961, 94.19088745117188, 633.5777587890625)","(71.56697845458984, 96.61286163330078, 632.8101196289062)","(-2.9204578399658203, 217.6608123779297, 68.58026123046875)","(-28.673669815063477, 198.3695526123047, 61.55881118774414)"
15,26,5234892470512,30594797576149,1,1,"(0.4900083839893341, 0.3309742510318756)","(0.4318179786205292, 0.39355310797691345)",1,1,1.8363189697265625,1.8302459716796875,"(6.403391361236572, 94.1783447265625, 633.3897705078125)","(71.4687728881836, 96.62926483154297, 632.8455810546875)","(-5.016673564910889, 220.0796356201172, 69.46066284179688)","(-35.01556396484375, 201.13233947753906, 62.56436538696289)"
15,26,5234892478844,30594797584482,1,1,"(0.48869428038597107, 0.3361770212650299)","(0.43777167797088623, 0.3961908221244812)",1,1,1.857666015625,1.7955169677734375,"(6.283088684082031, 94.23990631103516, 633.55859375)","(71.32132720947266, 96.62889099121094, 632.7056884765625)","(-5.694144248962402, 218.50439453125, 68.88729858398438)","(-31.94626235961914, 200.33370971679688, 62.27373123168945)"
15,26,5234892487178,30594797592816,1,1,"(0.4909442663192749, 0.3516118824481964)","(0.4417373538017273, 0.4017660915851593)",1,1,1.8737335205078125,1.8387451171875,"(6.141231536865234, 94.29667663574219, 633.8153686523438)","(71.18534851074219, 96.64788818359375, 632.7591552734375)","(-4.5342230796813965, 213.8311004638672, 67.18634796142578)","(-29.901838302612305, 198.6456756591797, 61.6593017578125)"
15,26,5234892495511,30594797601149,1,1,"(0.489270955324173, 0.32894694805145264)","(0.4403482973575592, 0.3964553773403168)",1,1,1.856201171875,1.8312225341796875,"(5.996795654296875, 94.34051513671875, 633.8621826171875)","(71.04417419433594, 96.69259643554688, 632.892822265625)","(-5.396847248077393, 220.6934814453125, 69.68405151367188)","(-30.617918014526367, 200.2536163330078, 62.244544982910156)"
15,26,5234892503844,30594797609482,0,1,"(nan, nan)","(0.4401019811630249, 0.3984681963920593)",0,1,,1.8456878662109373,"(nan, nan, nan)","(70.89701843261719, 96.76048278808594, 633.11767578125)","(nan, nan, nan)","(-30.74492073059082, 199.64419555664062, 62.02274703979492)"
15,26,5234892512178,30594797617816,1,1,"(0.48539042472839355, 0.3529776632785797)","(0.4420820474624634, 0.4048284590244293)",1,1,1.8748016357421875,1.8393096923828125,"(5.67247200012207, 94.39537048339844, 633.99853515625)","(70.7232894897461, 96.79442596435547, 633.1564331054688)","(-7.397382736206055, 213.41758728027344, 67.03582763671875)","(-29.72412109375, 197.71844482421875, 61.32183837890625)"
15,26,5234892520511,30594797626149,1,1,"(0.48930057883262634, 0.3391767740249634)","(0.44243165850639343, 0.4058533012866974)",1,1,1.845123291015625,1.816314697265625,"(5.489101409912109, 94.42973327636719, 634.08935546875)","(70.54145050048828, 96.83353424072266, 633.1976318359375)","(-5.381575584411621, 217.59613037109375, 68.55670928955078)","(-29.543903350830078, 197.40817260742188, 61.20890808105469)"
15,26,5234892528844,30594797634482,1,1,"(0.4938572347164154, 0.3421368896961212)","(0.4438125789165497, 0.40147149562835693)",1,1,1.8789825439453125,1.877899169921875,"(5.303789138793945, 94.4606704711914, 634.247314453125)","(70.35750579833984, 96.87432098388672, 633.270751953125)","(-3.0324759483337402, 216.6998748779297, 68.23052215576172)","(-28.832008361816406, 198.73486328125, 61.691802978515625)"
15,26,5234892537177,30594797642816,1,1,"(0.4884597957134247, 0.345044881105423)","(0.44499242305755615, 0.4005705416202545)",1,1,1.8733673095703125,1.8260498046875,"(5.116681098937988, 94.51148986816406, 634.4154663085938)","(70.17440032958984, 96.93217468261719, 633.33349609375)","(-5.815038681030273, 215.8194122314453, 67.9100341796875)","(-28.223756790161133, 199.00765991210938, 61.79107666015625)"
15,26,5234892545513,30594797651152,1,1,"(0.4882391095161438, 0.36062851548194885)","(0.43780964612960815, 0.4067070186138153)",1,1,1.8891448974609373,1.84588623046875,"(4.926955699920654, 94.52815246582031, 634.505859375)","(70.00035858154297, 96.97894287109375, 633.4727783203125)","(-5.928800106048584, 211.10107421875, 66.19273376464844)","(-31.926679611206055, 197.14968872070312, 61.11482238769531)"
15,26,5234892553846,30594797659485,1,1,"(0.4906850755214691, 0.3368337154388428)","(0.4367133677005768, 0.4069044291973114)",1,1,1.8841552734375,1.84246826171875,"(4.7386322021484375, 94.55923461914062, 634.5632934570312)","(69.80402374267578, 97.03741455078125, 633.5372314453125)","(-4.667832851409912, 218.30557250976562, 68.81492614746094)","(-32.491851806640625, 197.0899200439453, 61.09305191040039)"
15,26,5234892562180,30594797667819,1,1,"(0.4813724458217621, 0.3523532748222351)","(0.435012549161911, 0.3902036249637604)",1,1,1.887176513671875,1.8442535400390625,"(4.554286003112793, 94.59957122802734, 634.7430419921875)","(69.61448669433594, 97.10218811035156, 633.705078125)","(-9.46876335144043, 213.60662841796875, 67.10467529296875)","(-33.36868667602539, 202.14651489257812, 62.933502197265625)"
15,26,5234892570513,30594797676152,1,1,"(0.4865815341472626, 0.346381276845932)","(0.43696174025535583, 0.4027715027332306)",1,1,1.8742218017578125,1.850189208984375,"(4.360775947570801, 94.63420104980469, 634.9346923828125)","(69.42053985595703, 97.1563949584961, 633.861572265625)","(-6.783314228057861, 215.414794921875, 67.76276397705078)","(-32.36381530761719, 198.34127807617188, 61.54848861694336)"
15,26,5234892578846,30594797684485,1,1,"(0.48457929491996765, 0.3361576199531555)","(0.44464316964149475, 0.39733484387397766)",1,1,1.8822784423828125,1.85308837890625,"(4.156447887420654, 94.65470886230469, 634.9912109375)","(69.22891235351562, 97.21591186523438, 633.9822998046875)","(-7.8155341148376465, 218.51026916503906, 68.88943481445312)","(-28.403804779052734, 199.98733520507812, 62.14765930175781)"
15,26,5234892587180,30594797692819,1,1,"(0.4857386648654938, 0.3379755914211273)","(0.44160890579223633, 0.4027528166770935)",1,1,1.8765716552734373,1.8403778076171875,"(3.9485182762145996, 94.68080139160156, 635.1484375)","(69.01106262207031, 97.24116516113281, 633.9495239257812)","(-7.217859745025635, 217.9598388671875, 68.68907928466797)","(-29.96805191040039, 198.34693908691406, 61.550567626953125)"
15,26,5234892595512,30594797701152,1,1,"(0.4878701865673065, 0.3328067362308502)","(0.4419809579849243, 0.3895963430404663)",1,1,1.880645751953125,1.8517303466796875,"(3.7467703819274902, 94.6902084350586, 635.216796875)","(68.79515838623047, 97.28275299072266, 633.9967651367188)","(-6.118995189666748, 219.5248260498047, 69.2586898803711)","(-29.776243209838867, 202.33035278320312, 63.000431060791016)"
15,26,5234892603845,30594797709485,1,1,"(0.49086645245552063, 0.342551052570343)","(0.43464916944503784, 0.3972220718860626)",1,1,1.876953125,1.841156005859375,"(3.531750202178955, 94.73441314697266, 635.4632568359375)","(68.596435546875, 97.35243225097656, 634.18603515625)","(-4.574333190917969, 216.57449340820312, 68.18486785888672)","(-33.556026458740234, 200.02151489257812, 62.16006088256836)"
15,26,5234892612179,30594797717819,1,1,"(0.49328044056892395, 0.3366469740867615)","(0.44510650634765625, 0.4014853239059448)",1,1,1.8719024658203125,1.8554534912109373,"(3.316584825515747, 94.74576568603516, 635.6082763671875)","(68.37240600585938, 97.38692474365234, 634.212890625)","(-3.329838991165161, 218.3621063232422, 68.83548736572266)","(-28.164945602416992, 198.7306671142578, 61.69025421142578)"
15,26,5234892620512,30594797726152,1,1,"(0.49003443121910095, 0.3369159400463104)","(0.43665748834609985, 0.40737271308898926)",1,1,1.8737945556640625,1.851837158203125,"(3.1042721271514893, 94.70770263671875, 635.4761962890625)","(68.14700317382812, 97.41149139404297, 634.22607421875)","(-5.003243446350098, 218.28067016601562, 68.8058853149414)","(-32.520660400390625, 196.94810485839844, 61.041439056396484)"
15,26,5234892628845,30594797734485,1,1,"(0.4906580448150635, 0.3333880305290222)","(0.4317411184310913, 0.40618711709976196)",1,1,1.8700714111328125,1.8462677001953125,"(2.8816068172454834, 94.739013671875, 635.666259765625)","(67.92046356201172, 97.45638275146484, 634.2855834960938)","(-4.681759834289551, 219.34881591796875, 69.19464111328125)","(-35.055198669433594, 197.30709838867188, 61.17210388183594)"
15,26,5234892637179,30594797742819,1,1,"(0.4925789535045624, 0.3460750877857208)","(0.44055283069610596, 0.40578484535217285)",1,1,1.88177490234375,1.86065673828125,"(2.6530611515045166, 94.78572082519531, 635.957275390625)","(67.701904296875, 97.51323699951172, 634.447265625)","(-3.6914803981781006, 215.5075225830078, 67.79649353027344)","(-30.512483596801758, 197.4288787841797, 61.216434478759766)"
15,26,5234892645512,30594797751152,1,1,"(0.4837683439254761, 0.3487888276576996)","(0.4354187250137329, 0.40287038683891296)",1,1,1.8932952880859373,1.8538665771484373,"(2.4213271141052246, 94.77131652832031, 635.9577026367188)","(67.46858978271484, 97.55082702636719, 634.571044921875)","(-8.233613014221191, 214.68585205078125, 67.4974594116211)","(-33.15928649902344, 198.3113250732422, 61.53764724731445)"
15,26,5234892653844,30594797759485,1,1,"(0.487720787525177, 0.3456990718841553)","(0.44026535749435425, 0.39776965975761414)",1,1,1.8929290771484373,1.841888427734375,"(2.189840793609619, 94.768798828125, 636.0018920898438)","(67.23332214355469, 97.60601806640625, 634.7383422851562)","(-6.196004390716553, 215.621337890625, 67.83797454833984)","(-30.660703659057617, 199.85569763183594, 62.09972381591797)"
15,26,5234892662178,30594797767819,1,1,"(0.4878622591495514, 0.34834304451942444)","(0.43977293372154236, 0.3987673819065094)",1,1,1.890777587890625,1.8502349853515625,"(1.9458370208740234, 94.80274963378906, 636.2156982421875)","(66.9875259399414, 97.66596984863281, 634.8562622070312)","(-6.1230854988098145, 214.82083129882812, 67.54657745361328)","(-30.914575576782227, 199.5536346435547, 61.98976135253906)"
15,26,5234892670511,30594797776152,1,1,"(0.49100038409233093, 0.3412577509880066)","(0.43527254462242126, 0.40227916836738586)",1,1,1.8702545166015625,1.882598876953125,"(1.6835768222808838, 94.84437561035156, 636.495361328125)","(66.75353240966797, 97.73934936523438, 635.1094970703125)","(-4.505288124084473, 216.966064453125, 68.32740020751953)","(-33.23464584350586, 198.49034118652344, 61.60274124145508)"
