participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
15,25,5235105807216,30595010916479,1,1,"(0.8185880184173584, 0.18167616426944733)","(0.7965317964553833, 0.271146297454834)",1,1,2.0174713134765625,1.9684906005859373,"(6.338070392608643, 91.68708801269531, 626.35302734375)","(70.72940826416016, 101.09719848632812, 621.7091064453125)","(164.3759002685547, 265.2833251953125, 85.91344451904297)","(153.0052490234375, 238.19403076171875, 76.05375671386719)"
15,25,5235105815549,30595010924812,1,1,"(0.8210229873657227, 0.18405938148498535)","(0.790717601776123, 0.28018492460250854)",1,1,2.0190582275390625,1.9648895263671875,"(6.388160705566406, 91.68617248535156, 626.3953857421875)","(70.78346252441406, 101.07295227050781, 621.740234375)","(165.6312255859375, 264.561767578125, 85.65079498291016)","(150.00790405273438, 235.45738220214844, 75.05765533447266)"
15,25,5235105823883,30595010933146,1,1,"(0.8166257739067078, 0.18600808084011078)","(0.7952733039855957, 0.27157193422317505)",1,1,2.0157470703125,1.9818115234375,"(6.433374404907227, 91.67372131347656, 626.3942260742188)","(70.83097076416016, 101.04840850830078, 621.7755737304688)","(163.36431884765625, 263.97174072265625, 85.4360580444336)","(152.3564910888672, 238.065185546875, 76.00682067871094)"
15,25,5235105832216,30595010941479,0,1,"(nan, nan)","(0.7944549322128296, 0.2854146361351013)",0,1,,1.9763946533203125,"(6.471469402313232, 91.65654754638672, 626.3836059570312)","(70.87687683105469, 101.02360534667969, 621.80859375)","(nan, nan, nan)","(151.93458557128906, 233.8739776611328, 74.4813232421875)"
15,25,5235105840549,30595010949812,1,1,"(0.8192227482795715, 0.1782311648130417)","(0.795265257358551, 0.2746206820011139)",1,1,2.0156402587890625,1.9493408203125,"(6.514876365661621, 91.65971374511719, 626.4364013671875)","(70.91998291015625, 101.00668334960938, 621.8104248046875)","(164.70314025878906, 266.3263854980469, 86.2930908203125)","(152.35235595703125, 237.14208984375, 75.67085266113281)"
15,25,5235105848883,30595010958146,1,1,"(0.8193230032920837, 0.17888495326042175)","(0.797853410243988, 0.26884737610816956)",1,1,1.9990997314453125,1.9724884033203125,"(6.555663585662842, 91.63823699951172, 626.4149169921875)","(70.9572982788086, 100.9630126953125, 621.7794189453125)","(164.75482177734375, 266.1284484863281, 86.2210464477539)","(153.6865997314453, 238.89010620117188, 76.30706787109375)"
15,25,5235105857216,30595010966479,0,1,"(nan, nan)","(0.8003513813018799, 0.27605849504470825)",0,1,,1.9739227294921875,"(nan, nan, nan)","(70.97927856445312, 100.91850280761719, 621.7081298828125)","(nan, nan, nan)","(154.97439575195312, 236.70675659179688, 75.51239776611328)"
15,25,5235105865548,30595010974812,0,1,"(nan, nan)","(0.7942276000976562, 0.27089688181877136)",0,1,,1.965667724609375,"(nan, nan, nan)","(71.00592041015625, 100.90524291992188, 621.691650390625)","(nan, nan, nan)","(151.8173828125, 238.26954650878906, 76.08121490478516)"
15,25,5235105873882,30595010983146,1,1,"(0.824295699596405, 0.18169546127319336)","(0.7971037030220032, 0.2699986398220062)",1,1,2.008636474609375,1.9571685791015625,"(6.6295247077941895, 91.6379165649414, 626.47900390625)","(71.02332305908203, 100.89651489257812, 621.7228393554688)","(167.31837463378906, 265.2774963378906, 85.91131591796875)","(153.3001251220703, 238.54153442382812, 76.18019104003906)"
15,25,5235105882215,30595010991479,0,1,"(nan, nan)","(0.7793232202529907, 0.26909109950065613)",0,1,,1.9559478759765625,"(nan, nan, nan)","(70.96222686767578, 100.92631530761719, 621.8446044921875)","(nan, nan, nan)","(144.1337432861328, 238.81629943847656, 76.28022766113281)"
15,25,5235105890548,30595010999812,1,1,"(0.7758885622024536, 0.19017022848129272)","(0.7412297129631042, 0.26664355397224426)",1,1,1.991973876953125,1.9756011962890625,"(6.462088584899902, 91.64022827148438, 626.44873046875)","(70.84513854980469, 100.93717193603516, 621.826416015625)","(142.36306762695312, 262.7115478515625, 84.97740936279297)","(124.49539184570312, 239.557373046875, 76.5499496459961)"
15,25,5235105898882,30595011008146,1,1,"(0.758203387260437, 0.1767486333847046)","(0.7232649922370911, 0.26469361782073975)",1,1,2.00433349609375,1.966644287109375,"(6.4078192710876465, 91.63787841796875, 626.4931640625)","(70.78048706054688, 100.9195556640625, 621.8277587890625)","(133.245849609375, 266.7752685546875, 86.45645904541016)","(115.23406219482422, 240.14776611328125, 76.76480865478516)"
15,25,5235105907215,30595011016479,1,1,"(0.7553197741508484, 0.17682556807994843)","(0.7192514538764954, 0.2557034492492676)",1,1,1.99176025390625,1.971710205078125,"(6.4183759689331055, 91.640625, 626.4820556640625)","(70.783203125, 100.93215942382812, 621.9384155273438)","(131.75926208496094, 266.7519836425781, 86.44796752929688)","(113.16494750976562, 242.8697509765625, 77.75554656982422)"
