participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
15,15,5233846996633,30593752083326,1,1,"(0.5750108957290649, 0.30792421102523804)","(0.4926501512527466, 0.33706986904144287)",1,1,2.025421142578125,1.97967529296875,"(-0.2816387414932251, 70.89234161376953, 716.7178955078125)","(64.31875610351562, 75.911865234375, 717.639404296875)","(38.80462646484375, 227.05860900878906, 72.00081634521484)","(-3.6547787189483643, 218.2340545654297, 68.78888702392578)"
15,15,5233847004966,30593752091659,1,1,"(0.5535889267921448, 0.3103484809398651)","(0.4633011519908905, 0.3829634487628937)",1,1,1.93255615234375,1.9690704345703125,"(-0.33649611473083496, 70.76553344726562, 716.6470947265625)","(64.20803833007812, 75.81893920898438, 717.7929077148438)","(27.760971069335938, 226.32460021972656, 71.73362731933594)","(-18.785070419311523, 204.33865356445312, 63.73137283325195)"
15,15,5233847013300,30593752099993,1,1,"(0.5414192080497742, 0.35421890020370483)","(0.4495674669742584, 0.41347506642341614)",1,1,1.938018798828125,1.963897705078125,"(-0.35018497705459595, 70.72618103027344, 716.8170166015625)","(64.10159301757812, 75.71649169921875, 717.7109985351562)","(21.487150192260742, 213.04176330566406, 66.89907836914062)","(-25.86517333984375, 195.1005096435547, 60.36894226074219)"
15,15,5233847021633,30593752108326,1,1,"(0.530587375164032, 0.37080374360084534)","(0.4561152160167694, 0.4350331127643585)",1,1,1.9340972900390625,1.9465789794921875,"(-0.38122519850730896, 70.70828247070312, 716.8314208984375)","(64.08187103271484, 75.69102478027344, 717.700439453125)","(15.902995109558105, 208.02027893066406, 65.07140350341797)","(-22.4896183013916, 188.57325744628906, 57.99324417114258)"
15,15,5233847029966,30593752116659,1,1,"(0.5398553013801575, 0.3808310925960541)","(0.4611145555973053, 0.42511409521102905)",1,1,1.9639434814453125,1.9657745361328125,"(-0.439314603805542, 70.69053649902344, 716.8026123046875)","(64.08390045166016, 75.69441986083984, 717.7569580078125)","(20.680879592895508, 204.9842529296875, 63.966373443603516)","(-19.912328720092773, 191.5764923095703, 59.08636474609375)"
15,15,5233847038300,30593752124993,1,1,"(0.5559090375900269, 0.38446348905563354)","(0.45104360580444336, 0.4435737729072571)",1,1,1.9497528076171875,1.952728271484375,"(-0.29609113931655884, 70.6796646118164, 716.7418823242188)","(64.06754302978516, 75.707763671875, 717.8621826171875)","(28.957101821899414, 203.88449096679688, 63.56603240966797)","(-25.104183197021484, 185.98736572265625, 57.052059173583984)"
15,15,5233847046632,30593752133326,1,1,"(0.5630391836166382, 0.3606168031692505)","(0.4516269564628601, 0.4147857427597046)",1,1,1.9091033935546875,1.900970458984375,"(-0.32626378536224365, 70.66516876220703, 716.6279296875)","(64.0357666015625, 75.6985855102539, 717.8253784179688)","(32.632850646972656, 211.10464477539062, 66.19400024414062)","(-24.803455352783203, 194.7036590576172, 60.224544525146484)"
15,15,5233847054965,30593752141659,0,1,"(nan, nan)","(0.45597708225250244, 0.4008728861808777)",0,1,,1.88983154296875,"(nan, nan, nan)","(63.9970703125, 75.67996978759766, 717.8197021484375)","(nan, nan, nan)","(-22.560836791992188, 198.91612243652344, 61.757747650146484)"
15,15,5233847063299,30593752149993,1,1,"(0.5584486126899719, 0.3424447178840637)","(0.45514070987701416, 0.40074923634529114)",1,1,1.873687744140625,1.902587890625,"(-0.3941957950592041, 70.64588928222656, 716.6563110351562)","(63.95838165283203, 75.6739730834961, 717.8115844726562)","(30.266273498535156, 216.606689453125, 68.19657897949219)","(-22.992013931274414, 198.95355224609375, 61.77136993408203)"
15,15,5233847071632,30593752158326,1,1,"(0.5547603964805603, 0.3523787260055542)","(0.45548000931739807, 0.4056120216846466)",1,1,1.9081878662109373,1.88525390625,"(-0.437211811542511, 70.6254653930664, 716.6836547851562)","(63.927940368652344, 75.66506958007812, 717.8762817382812)","(28.36490821838379, 213.59893798828125, 67.10183715820312)","(-22.817106246948242, 197.48121643066406, 61.23548889160156)"
