participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
16,10,5319867609361,30679774507686,1,1,"(0.5302230715751648, 0.45458194613456726)","(0.5287294387817383, 0.4644329249858856)",1,1,2.2600555419921875,2.2021484375,"(-37.432945251464844, -25.638816833496094, 682.9366455078125)","(27.082843780517578, -25.57588005065918, 684.5445556640625)","(15.715185165405273, 182.6543731689453, 55.83893966674805)","(14.945155143737793, 179.67173767089844, 54.75337219238281)"
16,10,5319867617694,30679774516019,1,1,"(0.5349763035774231, 0.44936200976371765)","(0.532910168170929, 0.47749775648117065)",1,1,2.263153076171875,2.197250366210937,"(-37.4431266784668, -25.64027976989746, 682.8828735351562)","(27.076141357421875, -25.570079803466797, 684.558349609375)","(18.16564178466797, 184.23484802246094, 56.4141845703125)","(17.100488662719727, 175.71604919433594, 53.3136100769043)"
16,10,5319867626028,30679774524353,1,1,"(0.5286497473716736, 0.5037413835525513)","(0.5306299924850464, 0.45203453302383423)",1,1,2.3646392822265625,2.166961669921875,"(-37.45225524902344, -25.635845184326172, 682.8305053710938)","(27.069223403930664, -25.565711975097656, 684.5850830078125)","(14.904081344604492, 167.77015686035156, 50.42150115966797)","(15.924980163574219, 183.4256591796875, 56.11965560913086)"
16,10,5319867634361,30679774532686,1,1,"(0.5273628830909729, 0.44968676567077637)","(0.527274489402771, 0.46368783712387085)",1,1,2.2262115478515625,2.160995483398437,"(-37.46522521972656, -25.624725341796875, 682.8031005859375)","(27.055160522460938, -25.546354293823242, 684.5601806640625)","(14.24068832397461, 184.13650512695312, 56.378379821777344)","(14.195106506347656, 179.89732360839844, 54.835506439208984)"
16,10,5319867642694,30679774541019,1,1,"(0.5285958647727966, 0.47724947333335876)","(0.5100739002227783, 0.459709107875824)",1,1,2.356109619140625,2.188934326171875,"(-37.503501892089844, -25.61806297302246, 682.8372802734375)","(27.00357437133789, -25.530838012695312, 684.4607543945312)","(14.876293182373047, 175.7912139892578, 53.34098434448242)","(5.327659606933594, 181.1020050048828, 55.27391815185547)"
16,10,5319867651028,30679774549353,1,1,"(0.5127323269844055, 0.48978111147880554)","(0.511455774307251, 0.4653823673725128)",1,1,2.348602294921875,2.162811279296875,"(-37.52595520019531, -25.602813720703125, 682.8472900390625)","(26.95583152770996, -25.512449264526367, 684.37353515625)","(6.6981611251831055, 171.99696350097656, 51.95996856689453)","(6.040093898773193, 179.38426208496094, 54.64875030517578)"
16,10,5319867659360,30679774557686,1,1,"(0.5200109481811523, 0.3947300314903259)","(0.5137498378753662, 0.48278874158859253)",1,1,2.15496826171875,2.206771850585937,"(-37.542076110839844, -25.601171493530273, 682.9232177734375)","(26.943836212158203, -25.506975173950195, 684.387451171875)","(10.450530052185059, 200.77603149414062, 62.43466567993164)","(7.2227582931518555, 174.11407470703125, 52.730525970458984)"
16,10,5319867667693,30679774566019,1,1,"(0.5080240368843079, 0.40505126118659973)","(0.5154452919960022, 0.4687621295452118)",1,1,2.2108612060546875,2.161895751953125,"(-37.55268859863281, -25.59827423095703, 682.9866943359375)","(26.930910110473633, -25.499698638916016, 684.36328125)","(4.270914077758789, 197.6510009765625, 61.29730987548828)","(8.096813201904297, 178.36097717285156, 54.276283264160156)"
16,10,5319867676027,30679774574353,1,1,"(0.5136693120002747, 0.49268537759780884)","(0.5180277228355408, 0.4735415279865265)",1,1,2.284042358398437,2.18560791015625,"(-37.56745529174805, -25.58991241455078, 683.0487670898438)","(26.917774200439453, -25.487497329711914, 684.36376953125)","(7.181249618530273, 171.11758422851562, 51.6399040222168)","(9.428123474121094, 176.9138946533203, 53.749576568603516)"
16,10,5319867684360,30679774582686,1,1,"(0.5188769698143005, 0.47740957140922546)","(0.5263264775276184, 0.46480846405029297)",1,1,2.291778564453125,2.173583984375,"(-37.583656311035156, -25.580074310302734, 683.16455078125)","(26.897686004638672, -25.46774673461914, 684.404541015625)","(9.865936279296875, 175.74273681640625, 53.323299407958984)","(13.706377029418945, 179.55804443359375, 54.711936950683594)"
16,10,5319867692693,30679774591019,1,1,"(0.5156387686729431, 0.47260767221450806)","(0.5270376801490784, 0.47238796949386597)",1,1,2.29119873046875,2.169708251953125,"(-37.60224533081055, -25.575313568115234, 683.279052734375)","(26.884716033935547, -25.45639419555664, 684.4830322265625)","(8.196545600891113, 177.19664001464844, 53.85249328613281)","(14.073050498962402, 177.26315307617188, 53.876705169677734)"
16,10,5319867701027,30679774599353,1,1,"(0.5211513042449951, 0.48134174942970276)","(0.5257457494735718, 0.47846782207489014)",1,1,2.309234619140625,2.1573028564453125,"(-37.61021041870117, -25.568050384521484, 683.3165283203125)","(26.87396240234375, -25.447444915771484, 684.4968872070312)","(11.038415908813477, 174.5521697998047, 52.89002227783203)","(13.40699291229248, 175.42233276367188, 53.20670700073242)"
16,10,5319867709359,30679774607686,1,1,"(0.5185816884040833, 0.4498090147972107)","(0.5301780104637146, 0.4676032066345215)",1,1,2.24365234375,2.1690673828125,"(-37.61804962158203, -25.557706832885742, 683.341796875)","(26.87407112121582, -25.441913604736328, 684.6005859375)","(9.713726997375488, 184.0994873046875, 56.364933013916016)","(15.691971778869629, 178.7118377685547, 54.40399932861328)"
16,10,5319867717692,30679774616019,1,1,"(0.517133355140686, 0.4280925691127777)","(0.5217264294624329, 0.46159088611602783)",1,1,2.193954467773437,2.1561737060546875,"(-37.620758056640625, -25.546934127807617, 683.3543701171875)","(26.870914459228516, -25.434823989868164, 684.6395263671875)","(8.96702766418457, 190.67466735839844, 58.758113861083984)","(11.334905624389648, 180.53225708007812, 55.06656265258789)"
16,10,5319867726026,30679774624353,1,1,"(0.526204526424408, 0.49376875162124634)","(0.5204851031303406, 0.4668356478214264)",1,1,2.3466033935546875,2.18115234375,"(-37.62223815917969, -25.544147491455078, 683.3931884765625)","(26.870737075805664, -25.43230438232422, 684.653076171875)","(13.643511772155762, 170.78958129882812, 51.5205078125)","(10.694969177246094, 178.94427490234375, 54.48856735229492)"
16,10,5319867734359,30679774632686,1,1,"(0.529642641544342, 0.4490708112716675)","(0.5277723670005798, 0.4621681869029999)",1,1,2.1936492919921875,2.1687469482421875,"(-37.61713409423828, -25.534385681152344, 683.4066162109375)","(26.874290466308594, -25.427066802978516, 684.6781005859375)","(15.415948867797852, 184.32302856445312, 56.4462776184082)","(14.451769828796387, 180.35745239257812, 55.00292205810547)"
16,10,5319867742697,30679774641024,1,1,"(0.5123586654663086, 0.42523643374443054)","(0.5190308094024658, 0.4626118540763855)",1,1,2.201141357421875,2.1268768310546875,"(-37.61452865600586, -25.515655517578125, 683.4331665039062)","(26.882387161254883, -25.416297912597656, 684.7685546875)","(6.50553035736084, 191.53944396972656, 59.072853088378906)","(9.945260047912598, 180.22312927246094, 54.95402908325195)"
16,10,5319867751031,30679774649358,1,1,"(0.5137758255004883, 0.4392102360725403)","(0.5156341195106506, 0.46938785910606384)",1,1,2.1894683837890625,2.15045166015625,"(-37.60383224487305, -25.517627716064453, 683.3565673828125)","(26.886734008789062, -25.418041229248047, 684.7420654296875)","(7.236139297485352, 187.30853271484375, 57.53290557861328)","(8.19416618347168, 178.1715087890625, 54.20732116699219)"
16,10,5319867759363,30679774657691,1,1,"(0.5170354247093201, 0.4315626621246338)","(0.518855094909668, 0.46209555864334106)",1,1,2.171112060546875,2.1539764404296875,"(-37.594642639160156, -25.501829147338867, 683.3575439453125)","(26.896846771240234, -25.407798767089844, 684.7802124023438)","(8.916572570800781, 189.6240234375, 58.375701904296875)","(9.854640007019043, 180.3794403076172, 55.010921478271484)"
16,10,5319867767696,30679774666024,1,1,"(0.5255721211433411, 0.4723415970802307)","(0.5296803116798401, 0.4619823694229126)",1,1,2.2987518310546875,2.1103515625,"(-37.58675003051758, -25.488262176513672, 683.33251953125)","(26.908283233642578, -25.39623260498047, 684.818359375)","(13.317481994628906, 177.27719116210938, 53.88179397583008)","(15.43537712097168, 180.4136962890625, 55.02342987060547)"
16,10,5319867776030,30679774674358,1,1,"(0.5214494466781616, 0.47424694895744324)","(0.5228716731071472, 0.4526193141937256)",1,1,2.2637939453125,2.115142822265625,"(-37.57606506347656, -25.48479652404785, 683.2559814453125)","(26.920604705810547, -25.398347854614258, 684.7784423828125)","(11.192122459411621, 176.70030212402344, 53.67183303833008)","(11.925324440002441, 183.2486114501953, 56.05522918701172)"
16,10,5319867784363,30679774682691,1,1,"(0.511067807674408, 0.42952606081962585)","(0.5187996029853821, 0.45842593908309937)",1,1,2.1421661376953125,2.130706787109375,"(-37.561317443847656, -25.46986961364746, 683.2056884765625)","(26.935897827148438, -25.381290435791016, 684.8296508789062)","(5.840089797973633, 190.24066162109375, 58.600120544433594)","(9.826034545898438, 181.49050903320312, 55.415340423583984)"
16,10,5319867792696,30679774691024,1,1,"(0.51779705286026, 0.41649410128593445)","(0.5190311670303345, 0.4626862108707428)",1,1,2.125244140625,2.1232147216796875,"(-37.54655456542969, -25.45489501953125, 683.1295776367188)","(26.951595306396484, -25.372451782226562, 684.8409423828125)","(9.309208869934082, 194.18641662597656, 60.03624725341797)","(9.945415496826172, 180.2006072998047, 54.94584274291992)"
16,10,5319867801030,30679774699358,1,1,"(0.5190809369087219, 0.4199846386909485)","(0.5194340944290161, 0.4583389461040497)",1,1,2.1357421875,2.141021728515625,"(-37.53596115112305, -25.45391082763672, 683.092041015625)","(26.968761444091797, -25.372257232666016, 684.8397216796875)","(9.97110366821289, 193.1295623779297, 59.65159606933594)","(10.153131484985352, 181.516845703125, 55.42491149902344)"
16,10,5319867809363,30679774707691,1,1,"(0.5230261087417603, 0.48451244831085205)","(0.5142130255699158, 0.45877161622047424)",1,1,2.3039703369140625,2.119354248046875,"(-37.52260971069336, -25.437631607055664, 683.0548706054688)","(26.982433319091797, -25.357187271118164, 684.798828125)","(12.004945755004883, 173.59217834472656, 52.540550231933594)","(7.461523532867432, 181.38584899902344, 55.37721252441406)"
