participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
17,27,5416885472021,30776794413707,1,1,"(0.5183200240135193, 0.5914793610572815)","(0.4613685607910156, 0.5830028057098389)",1,1,2.2980194091796875,2.354400634765625,"(-41.29640197753906, 21.615398406982422, 676.205078125)","(20.170921325683594, 16.913333892822266, 680.1671142578125)","(9.578798294067383, 141.2052764892578, 40.75274658203125)","(-19.7813777923584, 143.7718048095703, 41.68682861328125)"
17,27,5416885480354,30776794422040,1,1,"(0.5098972320556641, 0.5769736170768738)","(0.4681223928928375, 0.5707689523696899)",1,1,2.3022003173828125,2.348480224609375,"(-41.30933380126953, 21.631420135498047, 676.330810546875)","(20.167112350463867, 16.92646598815918, 680.1673583984375)","(5.236602306365967, 145.59727478027344, 42.35125732421875)","(-16.299583435058594, 147.47589111328125, 43.03505325317383)"
17,27,5416885488687,30776794430374,1,1,"(0.5051640272140503, 0.568591833114624)","(0.469230055809021, 0.5719155073165894)",1,1,2.2552490234375,2.3532257080078125,"(-41.3164176940918, 21.63847541809082, 676.393798828125)","(20.16140365600586, 16.933006286621094, 680.244873046875)","(2.796501874923706, 148.13507080078125, 43.27497482299805)","(-15.728533744812012, 147.1287384033203, 42.90867614746094)"
17,27,5416885497020,30776794438707,1,1,"(0.5119138360023499, 0.5720660090446472)","(0.4594336152076721, 0.5719890594482422)",1,1,2.289703369140625,2.343658447265625,"(-41.319236755371094, 21.648942947387695, 676.4188232421875)","(20.16100311279297, 16.946290969848633, 680.2572631835938)","(6.276211738586426, 147.08314514160156, 42.89211654663086)","(-20.778888702392578, 147.10647583007812, 42.90058135986328)"
17,27,5416885505353,30776794447040,1,1,"(0.5136820673942566, 0.597994327545166)","(0.46602076292037964, 0.5633488297462463)",1,1,2.325912475585937,2.328887939453125,"(-41.32342529296875, 21.674945831298828, 676.4439697265625)","(20.15674591064453, 16.969388961791992, 680.334228515625)","(7.187791347503662, 139.2327117919922, 40.03473663330078)","(-17.383010864257812, 149.72251892089844, 43.85272216796875)"
17,27,5416885513687,30776794455374,1,1,"(0.51250821352005, 0.6413437724113464)","(0.4648312032222748, 0.5683757066726685)",1,1,2.414169311523437,2.332977294921875,"(-41.32213592529297, 21.68273162841797, 676.456787109375)","(20.156774520874023, 16.976688385009766, 680.385498046875)","(6.582629680633545, 126.10761260986328, 35.257598876953125)","(-17.996261596679688, 148.2005157470703, 43.298736572265625)"
17,27,5416885522020,30776794463707,1,1,"(0.510054886341095, 0.6212497353553772)","(0.46297022700309753, 0.5607923269271851)",1,1,2.4074249267578125,2.336822509765625,"(-41.32799530029297, 21.699012756347656, 676.532470703125)","(20.15645980834961, 16.98910903930664, 680.4623413085938)","(5.3178815841674805, 132.19154357910156, 37.47201919555664)","(-18.95567512512207, 150.49656677246094, 44.13447570800781)"
17,27,5416885530353,30776794472040,1,1,"(0.5144128799438477, 0.5932207703590393)","(0.46749892830848694, 0.5615811347961426)",1,1,2.2832183837890625,2.3695068359375,"(-41.33128356933594, 21.727506637573242, 676.6075439453125)","(20.15060806274414, 17.019607543945312, 680.4371948242188)","(7.564574718475342, 140.67803955078125, 40.560829162597656)","(-16.620990753173828, 150.25770568847656, 44.04755783081055)"
17,27,5416885538687,30776794480374,1,1,"(0.5085303783416748, 0.6004980802536011)","(0.4653296172618866, 0.5670409202575684)",1,1,2.310211181640625,2.3450469970703125,"(-41.32901382446289, 21.732004165649414, 676.6339111328125)","(20.152515411376953, 17.0321102142334, 680.4625244140625)","(4.531953811645508, 138.47463989257812, 39.758907318115234)","(-17.73931884765625, 148.6046600341797, 43.44585418701172)"
17,27,5416885547019,30776794488707,1,1,"(0.5098752379417419, 0.5576934814453125)","(0.46774759888648987, 0.5601420998573303)",1,1,2.23687744140625,2.329681396484375,"(-41.3238525390625, 21.746498107910156, 676.6336669921875)","(20.151304244995117, 17.065509796142578, 680.513671875)","(5.225271224975586, 151.434814453125, 44.475955963134766)","(-16.492786407470703, 150.6934051513672, 44.20610427856445)"
17,27,5416885555352,30776794497040,1,1,"(0.5120829343795776, 0.5887039303779602)","(0.46630629897117615, 0.5629818439483643)",1,1,2.3208465576171875,2.348983764648437,"(-41.32182693481445, 21.76272964477539, 676.684326171875)","(20.157365798950195, 17.097618103027344, 680.5902099609375)","(6.363415718078613, 142.0456085205078, 41.05855941772461)","(-17.235816955566406, 149.8336181640625, 43.8931770324707)"
17,27,5416885563686,30776794505374,1,1,"(0.5091245174407959, 0.5700667500495911)","(0.4604027271270752, 0.5723555088043213)",1,1,2.2827911376953125,2.3188934326171875,"(-41.313018798828125, 21.785938262939453, 676.709228515625)","(20.162939071655273, 17.133033752441406, 680.5770263671875)","(4.838257789611816, 147.68850708007812, 43.112388610839844)","(-20.279285430908203, 146.99551391601562, 42.86017608642578)"
17,27,5416885572019,30776794513707,1,1,"(0.5033879280090332, 0.5940941572189331)","(0.4636315107345581, 0.5561621785163879)",1,1,2.3289794921875,2.3161163330078125,"(-41.31352996826172, 21.79705238342285, 676.761474609375)","(20.16342544555664, 17.14136505126953, 680.5514526367188)","(1.880888819694519, 140.41360473632812, 40.464576721191406)","(-18.614755630493164, 151.89845275878906, 44.64469528198242)"
17,27,5416885580352,30776794522040,1,1,"(0.5087921023368835, 0.5698164701461792)","(0.46589937806129456, 0.5610374808311462)",1,1,2.28369140625,2.3203887939453125,"(-41.31427764892578, 21.829357147216797, 676.850830078125)","(20.168529510498047, 17.17051124572754, 680.6150512695312)","(4.666872978210449, 147.76426696777344, 43.139984130859375)","(-17.445592880249023, 150.4223175048828, 44.10740661621094)"
17,27,5416885588690,30776794530378,1,1,"(0.5091099143028259, 0.6221108436584473)","(0.47027507424354553, 0.5632551312446594)",1,1,2.4223175048828125,2.347259521484375,"(-41.31356430053711, 21.85411262512207, 676.9149169921875)","(20.170856475830078, 17.190698623657227, 680.6922607421875)","(4.830729961395264, 131.93084716796875, 37.37709045410156)","(-15.189781188964844, 149.75086975097656, 43.863075256347656)"
