participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
18,30,5506310971554,30866221801703,1,1,"(0.49299517273902893, 0.34419727325439453)","(0.5023522973060608, 0.37058648467063904)",1,1,2.9488067626953125,2.8452301025390625,"(-9.044830322265625, 6.204080581665039, 666.517822265625)","(53.477447509765625, 4.284468650817871, 665.2058715820312)","(-3.4769062995910645, 216.0760498046875, 68.00345611572266)","(1.3469735383987427, 208.0860595703125, 65.09534454345703)"
18,30,5506310979887,30866221810036,1,1,"(0.4851163327693939, 0.34500744938850403)","(0.5041449666023254, 0.36774691939353943)",1,1,2.930816650390625,2.833358764648437,"(-8.996978759765625, 6.2111358642578125, 666.7894287109375)","(53.518001556396484, 4.275212287902832, 665.1007080078125)","(-7.538689136505127, 215.83074951171875, 67.91417694091797)","(2.2711501121520996, 208.94581604003906, 65.40826416015625)"
18,30,5506310988221,30866221818370,1,1,"(0.48322319984436035, 0.3475933074951172)","(0.505190908908844, 0.37972491979599)",1,1,2.934539794921875,2.8365631103515625,"(-8.943704605102539, 6.21619987487793, 666.7664794921875)","(53.53266906738281, 4.279711723327637, 664.9248046875)","(-8.514642715454102, 215.04782104492188, 67.62921905517578)","(2.8103513717651367, 205.31918334960938, 64.0882568359375)"
18,30,5506310996557,30866221826707,1,1,"(0.49058690667152405, 0.3421865403652191)","(0.5087108612060547, 0.37581440806388855)",1,1,2.9219207763671875,2.83880615234375,"(-8.905377388000488, 6.216669082641602, 666.6818237304688)","(53.56934356689453, 4.275696754455566, 664.9312744140625)","(-4.718441486358643, 216.68484497070312, 68.22503662109375)","(4.625000476837158, 206.50318908691406, 64.51921844482422)"
18,30,5506311004890,30866221835040,1,1,"(0.4882706105709076, 0.34230440855026245)","(0.5025689601898193, 0.37125179171562195)",1,1,2.940658569335937,2.84991455078125,"(-8.871053695678711, 6.214010715484619, 666.5230712890625)","(53.61920928955078, 4.2719902992248535, 664.9097290039062)","(-5.91256046295166, 216.64918518066406, 68.21202087402344)","(1.4586715698242188, 207.88462829589844, 65.02200317382812)"
18,30,5506311013223,30866221843373,1,1,"(0.49281883239746094, 0.33959370851516724)","(0.502650797367096, 0.38258373737335205)",1,1,2.9228057861328125,2.8345947265625,"(-8.835561752319336, 6.217302322387695, 666.4873657226562)","(53.67851257324219, 4.281744003295898, 665.09814453125)","(-3.567819356918335, 217.46990966796875, 68.51078033447266)","(1.5008662939071655, 204.45361328125, 63.773216247558594)"
18,30,5506311021556,30866221851706,1,1,"(0.48935139179229736, 0.35119500756263733)","(0.5034386515617371, 0.3714052438735962)",1,1,2.9626922607421875,2.822601318359375,"(-8.797738075256348, 6.220656394958496, 666.6485595703125)","(53.727386474609375, 4.277890205383301, 665.1643676757812)","(-5.3553853034973145, 213.9573211669922, 67.23229217529297)","(1.9070098400115967, 207.83816528320312, 65.00513458251953)"
18,30,5506311029890,30866221860040,1,1,"(0.4846949875354767, 0.3379920721054077)","(0.5056819915771484, 0.3692048490047455)",1,1,2.9344635009765625,2.838348388671875,"(-8.762564659118652, 6.230145454406738, 666.7845458984375)","(53.74726867675781, 4.277030944824219, 665.0374145507812)","(-7.7559003829956055, 217.954833984375, 68.6872787475586)","(3.063533067703247, 208.50439453125, 65.24758911132812)"
18,30,5506311038223,30866221868373,1,1,"(0.4884414076805115, 0.3417176902294159)","(0.5035411715507507, 0.3776208460330963)",1,1,2.9259185791015625,2.826446533203125,"(-8.726927757263184, 6.2338643074035645, 666.7855224609375)","(53.767852783203125, 4.274415969848633, 665.021240234375)","(-5.82451868057251, 216.82681274414062, 68.27672576904297)","(1.9598838090896606, 205.9562530517578, 64.32012939453125)"
18,30,5506311046557,30866221876707,1,1,"(0.4926767647266388, 0.33787301182746887)","(0.5044089555740356, 0.3779648244380951)",1,1,2.9152069091796875,2.828216552734375,"(-8.698486328125, 6.230815887451172, 666.6757202148438)","(53.796226501464844, 4.276181221008301, 665.02880859375)","(-3.64104962348938, 217.99087524414062, 68.70037841796875)","(2.407212972640991, 205.8520965576172, 64.2822265625)"
