participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
18,19,5505853264609,30865764086634,1,1,"(0.5433076024055481, 0.4813567101955414)","(0.5551757216453552, 0.45700180530548096)",1,1,3.110458374023437,2.9074249267578125,"(6.792879104614258, 8.540124893188477, 641.7994995117188)","(69.22418212890625, 7.7363505363464355, 639.6861572265625)","(22.460641860961914, 174.54763793945312, 52.888362884521484)","(28.579021453857422, 181.92169189453125, 55.572296142578125)"
18,19,5505853272943,30865764094968,1,1,"(0.5433987379074097, 0.5016876459121704)","(0.549500048160553, 0.46633076667785645)",1,1,3.145233154296875,2.890380859375,"(6.81401252746582, 8.550740242004395, 641.9131469726562)","(69.25498962402344, 7.739232540130615, 639.78271484375)","(22.50762939453125, 168.39195251464844, 50.647850036621094)","(25.65306854248047, 179.09710693359375, 54.54423522949219)"
18,19,5505853281281,30865764103306,1,1,"(0.5427065491676331, 0.4916416108608246)","(0.5508649349212646, 0.46084946393966675)",1,1,3.1349639892578125,2.8891754150390625,"(6.835596084594727, 8.558551788330078, 642.094970703125)","(69.2818603515625, 7.741497039794922, 639.857666015625)","(22.150787353515625, 171.4336395263672, 51.754947662353516)","(26.356678009033203, 180.75672912597656, 55.14826965332031)"
18,19,5505853289613,30865764111638,1,1,"(0.5390394926071167, 0.4758293032646179)","(0.5540271997451782, 0.45910629630088806)",1,1,3.068450927734375,2.875228881835937,"(6.859906196594238, 8.574836730957031, 642.2535400390625)","(69.31063842773438, 7.7460527420043945, 639.921142578125)","(20.260332107543945, 176.22119140625, 53.49751281738281)","(27.986902236938477, 181.28451538085938, 55.340362548828125)"
18,19,5505853297948,30865764119973,1,1,"(0.541792631149292, 0.476288765668869)","(0.5488512516021729, 0.4560823142528534)",1,1,3.0706329345703125,2.8883514404296875,"(6.889797687530518, 8.593194961547852, 642.572509765625)","(69.34477996826172, 7.757475852966309, 640.0409545898438)","(21.679624557495117, 176.0820770263672, 53.446861267089844)","(25.318546295166016, 182.20010375976562, 55.6735725402832)"
18,19,5505853306281,30865764128306,1,1,"(0.5408763289451599, 0.47697150707244873)","(0.5519260764122009, 0.45706596970558167)",1,1,3.0817108154296875,2.8892974853515625,"(6.914991855621338, 8.6031494140625, 642.7318115234375)","(69.3900146484375, 7.76285982131958, 640.2047119140625)","(21.20724868774414, 175.87538146972656, 53.37158966064453)","(26.90372657775879, 181.90228271484375, 55.56521224975586)"
18,19,5505853314612,30865764136638,1,1,"(0.5391373634338379, 0.46865805983543396)","(0.5520904064178467, 0.4603707194328308)",1,1,3.0432281494140625,2.887069702148437,"(6.945533275604248, 8.619832992553711, 642.8458251953125)","(69.42031860351562, 7.769896507263184, 640.2674560546875)","(20.310773849487305, 178.39248657226562, 54.28773880004883)","(26.98845863342285, 180.9016876220703, 55.20101547241211)"
18,19,5505853322946,30865764144972,1,1,"(0.5456503033638, 0.4813840389251709)","(0.5545752644538879, 0.4494638442993164)",1,1,3.113143920898437,2.8936004638671875,"(6.966282367706299, 8.623628616333008, 642.6741943359375)","(69.43080139160156, 7.775308132171631, 640.2069091796875)","(23.668405532836914, 174.5393829345703, 52.88533401489258)","(28.269500732421875, 184.20401000976562, 56.4029541015625)"
18,19,5505853331279,30865764153305,1,1,"(0.5421483516693115, 0.47116631269454956)","(0.5537570714950562, 0.45176053047180176)",1,1,3.09747314453125,2.872772216796875,"(6.991753578186035, 8.625991821289062, 642.4910888671875)","(69.45790100097656, 7.7828450202941895, 640.271240234375)","(21.863008499145508, 177.633056640625, 54.011329650878906)","(27.847679138183594, 183.50863647460938, 56.149871826171875)"
18,19,5505853339612,30865764161638,1,1,"(0.5441974997520447, 0.47205427289009094)","(0.5509440302848816, 0.4603060185909271)",1,1,3.0801544189453125,2.880859375,"(7.026369571685791, 8.642120361328125, 642.501708984375)","(69.48530578613281, 7.791428565979004, 640.32275390625)","(22.919416427612305, 177.3641815185547, 53.91349411010742)","(26.397445678710938, 180.9212646484375, 55.208168029785156)"
18,19,5505853347946,30865764169972,1,1,"(0.5423232913017273, 0.4571496248245239)","(0.551986575126648, 0.4578409194946289)",1,1,3.0559539794921875,2.871795654296875,"(7.0518717765808105, 8.675471305847168, 642.7173461914062)","(69.50970458984375, 7.818495750427246, 640.3970947265625)","(21.95319938659668, 181.87693786621094, 55.55597686767578)","(26.93494415283203, 181.66763305664062, 55.479820251464844)"
