participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
18,13,5505592060824,30865502878006,1,1,"(0.3891742527484894, 0.41021132469177246)","(0.41449984908103943, 0.41882580518722534)",1,1,2.843963623046875,2.7476806640625,"(-16.64401626586914, 10.519433975219727, 635.9901733398438)","(45.67970275878906, 10.662439346313477, 631.6468505859375)","(-56.99969482421875, 196.0886688232422, 60.72864532470703)","(-43.94358825683594, 193.48040771484375, 59.77934265136719)"
18,13,5505592069158,30865502886340,1,1,"(0.3734933137893677, 0.32617923617362976)","(0.3977401554584503, 0.36028411984443665)",1,1,2.87896728515625,2.834716796875,"(-16.679914474487305, 10.703011512756348, 636.30078125)","(45.56333923339844, 10.839044570922852, 631.6077270507812)","(-65.08368682861328, 221.53146362304688, 69.98906707763672)","(-52.58369827270508, 211.2053680419922, 66.23064422607422)"
18,13,5505592077491,30865502894673,1,1,"(0.35392656922340393, 0.2762777507305145)","(0.3733524978160858, 0.3085630238056183)",1,1,2.918197631835937,2.873153686523437,"(-16.745649337768555, 10.796630859375, 636.3177490234375)","(45.4463996887207, 10.95150375366211, 631.8346557617188)","(-75.17092895507812, 236.640380859375, 75.4882583618164)","(-65.15626525878906, 226.86520385742188, 71.93035125732422)"
18,13,5505592085824,30865502903007,1,1,"(0.3231221139431, 0.2252373844385147)","(0.331255167722702, 0.2505689263343811)",1,1,2.9341583251953125,2.9141998291015625,"(-16.814014434814453, 10.948593139648438, 636.5845947265625)","(45.349952697753906, 11.07369613647461, 632.1726684570312)","(-91.0515365600586, 252.09410095214844, 81.11293029785156)","(-86.85868835449219, 244.42434692382812, 78.32140350341797)"
18,13,5505592094158,30865502911341,1,1,"(0.30212733149528503, 0.17987515032291412)","(0.31647828221321106, 0.19951917231082916)",1,1,2.94598388671875,2.917266845703125,"(-16.88287353515625, 10.991959571838379, 636.4894409179688)","(45.186180114746094, 11.107903480529785, 631.97216796875)","(-101.8749771118164, 265.8286437988281, 86.11188507080078)","(-94.47663116455078, 259.8809509277344, 83.94712829589844)"
18,13,5505592102491,30865502919674,1,1,"(0.2957109212875366, 0.16434346139431)","(0.29979437589645386, 0.19638213515281677)",1,1,2.9480438232421875,2.959564208984375,"(-16.92925453186035, 11.01552963256836, 636.36279296875)","(45.13135528564453, 11.145153045654297, 631.91357421875)","(-105.18281555175781, 270.53125, 87.82350158691406)","(-103.07768249511719, 260.83074951171875, 84.29280853271484)"
18,13,5505592110824,30865502928007,1,1,"(0.29991409182548523, 0.17100365459918976)","(0.3060951828956604, 0.2108735591173172)",1,1,2.9621734619140625,2.948486328125,"(-16.962738037109375, 10.998174667358398, 636.3721313476562)","(45.13444519042969, 11.136787414550781, 631.901123046875)","(-103.01596069335938, 268.5146789550781, 87.08956146240234)","(-99.82942199707031, 256.443115234375, 82.69585418701172)"
18,13,5505592119157,30865502936340,1,1,"(0.29387715458869934, 0.16445192694664001)","(0.2966102659702301, 0.18837738037109375)",1,1,2.958358764648437,2.9659423828125,"(-16.974990844726562, 10.973069190979004, 636.4063110351562)","(45.14204406738281, 11.107645034790039, 631.8555297851562)","(-106.12818908691406, 270.4984130859375, 87.81155395507812)","(-104.71919250488281, 263.25439453125, 85.17497253417969)"
18,13,5505592127491,30865502944674,1,1,"(0.29577773809432983, 0.1659138947725296)","(0.3007270395755768, 0.18974308669567108)",1,1,2.96966552734375,2.9561309814453125,"(-16.990516662597656, 10.96955394744873, 636.4620361328125)","(45.14231491088867, 11.10122013092041, 631.877685546875)","(-105.14836120605469, 270.05572509765625, 87.65045166015625)","(-102.59685516357422, 262.8409118652344, 85.02442932128906)"
18,13,5505592135823,30865502953007,1,1,"(0.29107800126075745, 0.16055001318454742)","(0.3010222315788269, 0.19070933759212494)",1,1,2.985382080078125,2.963851928710937,"(-17.010656356811523, 10.963376998901367, 636.539306640625)","(45.130653381347656, 11.097221374511719, 631.74560546875)","(-107.57121276855469, 271.6797790527344, 88.2415771484375)","(-102.44468688964844, 262.5483093261719, 84.91799926757812)"
