participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
19,20,5842170192057,31202088017388,1,1,"(0.5232549905776978, 0.3747730255126953)","(0.5132633447647095, 0.3351763188838959)",1,1,3.674392700195313,3.5228729248046875,"(-19.992046356201172, 18.756946563720703, 703.521484375)","(41.0088005065918, 16.29171371459961, 701.9989013671875)","(12.12294864654541, 206.81849670410156, 64.63398742675781)","(6.971957206726074, 218.80738830566406, 68.99752044677734)"
19,20,5842170200390,31202088025721,1,1,"(0.5242087841033936, 0.37627580761909485)","(0.5147788524627686, 0.3209703266620636)",1,1,3.674530029296875,3.472900390625,"(-19.97596549987793, 18.764806747436523, 703.522705078125)","(41.026432037353516, 16.305152893066406, 702.0235595703125)","(12.614639282226562, 206.36349487304688, 64.46836853027344)","(7.753236770629883, 223.1085968017578, 70.56307983398438)"
19,20,5842170208723,31202088034054,1,1,"(0.517564058303833, 0.34832698106765747)","(0.5132957100868225, 0.32892584800720215)",1,1,3.6227874755859375,3.505645751953125,"(-19.96329689025879, 18.773778915405273, 703.551025390625)","(41.04046630859375, 16.31024169921875, 702.07763671875)","(9.18909740447998, 214.82569885253906, 67.54833984375)","(6.988614559173584, 220.69984436035156, 69.6864013671875)"
19,20,5842170217057,31202088042388,1,1,"(0.5235273241996765, 0.3585485517978668)","(0.5123938322067261, 0.322828084230423)",1,1,3.6329498291015625,3.492416381835937,"(-19.95272445678711, 18.781452178955078, 703.5519409179688)","(41.05012512207031, 16.323078155517578, 702.1171875)","(12.263322830200195, 211.73085021972656, 66.42192840576172)","(6.523680210113525, 222.54611206054688, 70.35834503173828)"
19,20,5842170225392,31202088050723,1,1,"(0.5221049189567566, 0.36676445603370667)","(0.5114846229553223, 0.32569795846939087)",1,1,3.6647796630859375,3.487701416015625,"(-19.944866180419922, 18.79656219482422, 703.5521240234375)","(41.06104278564453, 16.34962272644043, 702.15673828125)","(11.53004264831543, 209.24330139160156, 65.51649475097656)","(6.054946422576904, 221.6772003173828, 70.0420913696289)"
19,20,5842170233723,31202088059054,1,1,"(0.5206315517425537, 0.3591015040874481)","(0.510968804359436, 0.3214494585990906)",1,1,3.624908447265625,3.4808807373046875,"(-19.938743591308594, 18.803579330444336, 703.5249633789062)","(41.07354736328125, 16.36992835998535, 702.210205078125)","(10.77048397064209, 211.56344604492188, 66.36101531982422)","(5.789010524749756, 222.96353149414062, 70.5102767944336)"
19,20,5842170242056,31202088067388,1,1,"(0.5192605257034302, 0.3603944182395935)","(0.5114979147911072, 0.34135717153549194)",1,1,3.634353637695313,3.5213165283203125,"(-19.925220489501953, 18.81524085998535, 703.470703125)","(41.089256286621094, 16.39667510986328, 702.3177490234375)","(10.063672065734863, 211.17196655273438, 66.2185287475586)","(6.061825275421143, 216.93597412109375, 68.31640625)"
19,20,5842170250391,31202088075723,1,1,"(0.5159153342247009, 0.3657224774360657)","(0.5139755606651306, 0.333744615316391)",1,1,3.658843994140625,3.5066680908203125,"(-19.914457321166992, 18.82836151123047, 703.4027099609375)","(41.09741973876953, 16.414268493652344, 702.3306884765625)","(8.339138984680176, 209.5587615966797, 65.63136291503906)","(7.339102268218994, 219.24085998535156, 69.15538024902344)"
19,20,5842170258724,31202088084056,1,1,"(0.5205614566802979, 0.35401514172554016)","(0.5156461000442505, 0.3353573977947235)",1,1,3.644989013671875,3.492431640625,"(-19.905305862426758, 18.8480281829834, 703.4437255859375)","(41.10833740234375, 16.429973602294922, 702.356201171875)","(10.734312057495117, 213.1034393310547, 66.9215087890625)","(8.200304985046387, 218.75253295898438, 68.97760009765625)"
19,20,5842170267058,31202088092390,1,1,"(0.5175820589065552, 0.3566475212574005)","(0.5146172046661377, 0.3431091010570526)",1,1,3.627593994140625,3.5022735595703125,"(-19.89641571044922, 18.866962432861328, 703.4711303710938)","(41.116363525390625, 16.440763473510742, 702.3417358398438)","(9.19837474822998, 212.30642700195312, 66.6314468383789)","(7.6698899269104, 216.40554809570312, 68.12335968017578)"
19,20,5842170275391,31202088100723,1,1,"(0.5223122239112854, 0.32901012897491455)","(0.5171685218811035, 0.33714205026626587)",1,1,3.5940704345703125,3.494049072265625,"(-19.887298583984375, 18.88178253173828, 703.4443359375)","(41.1245002746582, 16.452064514160156, 702.3405151367188)","(11.636898040771484, 220.67434692382812, 69.67709350585938)","(8.985179901123047, 218.2122039794922, 68.78092193603516)"
19,20,5842170283724,31202088109056,1,1,"(0.5178529024124146, 0.359121710062027)","(0.515358567237854, 0.33124205470085144)",1,1,3.6468658447265625,3.4840545654296875,"(-19.878429412841797, 18.896522521972656, 703.47265625)","(41.1294059753418, 16.459285736083984, 702.2720947265625)","(9.338004112243652, 211.5573272705078, 66.35875701904297)","(8.052114486694336, 219.99855041503906, 69.43112182617188)"
19,20,5842170292058,31202088117390,1,1,"(0.5189797282218933, 0.36054494976997375)","(0.5192475318908691, 0.33714696764945984)",1,1,3.640167236328125,3.510986328125,"(-19.870656967163086, 18.904380798339844, 703.4453125)","(41.13721466064453, 16.463420867919922, 702.24267578125)","(9.918912887573242, 211.1263885498047, 66.20193481445312)","(10.056981086730957, 218.21070861816406, 68.7803955078125)"
19,20,5842170300388,31202088125721,1,1,"(0.5206950306892395, 0.3333815336227417)","(0.5175961852073669, 0.3362239599227905)",1,1,3.5745391845703125,3.5133514404296875,"(-19.861148834228516, 18.912370681762695, 703.4459228515625)","(41.14359664916992, 16.46776580810547, 702.2012329101562)","(10.803226470947266, 219.3507843017578, 69.19535827636719)","(9.20566177368164, 218.49017333984375, 68.88212585449219)"
19,20,5842170308723,31202088134056,1,1,"(0.5187131762504578, 0.34607359766960144)","(0.5162143707275391, 0.33841899037361145)",1,1,3.6214447021484375,3.5014801025390625,"(-19.853883743286133, 18.916170120239258, 703.4598999023438)","(41.150001525878906, 16.465476989746094, 702.145263671875)","(9.78149127960205, 215.50794982910156, 67.79668426513672)","(8.493274688720703, 217.8255615234375, 68.64022827148438)"
19,20,5842170317060,31202088142393,1,1,"(0.5171186327934265, 0.3337434232234955)","(0.5173687934875488, 0.3396590054035187)",1,1,3.5496368408203125,3.507049560546875,"(-19.843469619750977, 18.914045333862305, 703.4332885742188)","(41.153160095214844, 16.462486267089844, 702.035400390625)","(8.959458351135254, 219.2412109375, 69.15550231933594)","(9.088421821594238, 217.45013427734375, 68.5035629272461)"
19,20,5842170325391,31202088150724,1,1,"(0.5231437683105469, 0.35600587725639343)","(0.5178893804550171, 0.3350272476673126)",1,1,3.624801635742188,3.49383544921875,"(-19.833656311035156, 18.913183212280273, 703.5027465820312)","(41.16194152832031, 16.457612991333008, 701.9515380859375)","(12.065598487854004, 212.50070190429688, 66.7021484375)","(9.356794357299805, 218.85252380371094, 69.01399993896484)"
19,20,5842170333726,31202088159059,1,1,"(0.5231995582580566, 0.3580860495567322)","(0.5154185891151428, 0.3331461548805237)",1,1,3.641387939453125,3.4952392578125,"(-19.82219123840332, 18.899211883544922, 703.5302124023438)","(41.171993255615234, 16.444976806640625, 701.8550415039062)","(12.094367027282715, 211.8708953857422, 66.47285461425781)","(8.083024978637695, 219.42205810546875, 69.22128295898438)"
19,20,5842170342058,31202088167391,1,1,"(0.5217605233192444, 0.3605934679508209)","(0.5192215442657471, 0.3412911593914032)",1,1,3.640594482421875,3.493072509765625,"(-19.804046630859375, 18.89762306213379, 703.545166015625)","(41.181724548339844, 16.435165405273438, 701.7169189453125)","(11.352486610412598, 211.1116943359375, 66.19659423828125)","(10.043590545654297, 216.95594787597656, 68.3237075805664)"
19,20,5842170350393,31202088175726,1,1,"(0.5199058651924133, 0.3638334274291992)","(0.5186182260513306, 0.3481311798095703)",1,1,3.649856567382813,3.522567749023437,"(-19.784982681274414, 18.889419555664062, 703.5601806640625)","(41.20157241821289, 16.42230796813965, 701.6591186523438)","(10.396369934082031, 210.13072204589844, 65.83950805664062)","(9.732563018798828, 214.8849639892578, 67.56993865966797)"
19,20,5842170358725,31202088184059,1,1,"(0.5199917554855347, 0.33660370111465454)","(0.5176470279693604, 0.3298758268356323)",1,1,3.5944366455078125,3.4741668701171875,"(-19.75634765625, 18.859397888183594, 703.576416015625)","(41.23865509033203, 16.404117584228516, 701.7371826171875)","(10.440651893615723, 218.37518310546875, 68.84027099609375)","(9.231856346130371, 220.4122314453125, 69.58168029785156)"
19,20,5842170367059,31202088192393,1,1,"(0.516754686832428, 0.33385464549064636)","(0.5164196491241455, 0.33332884311676025)",1,1,3.5628814697265625,3.488311767578125,"(-19.71669578552246, 18.857624053955078, 703.4962768554688)","(41.29310607910156, 16.4118595123291, 702.004150390625)","(8.771828651428223, 219.20755004882812, 69.14320373535156)","(8.59912109375, 219.3667449951172, 69.201171875)"
19,20,5842170375392,31202088200726,1,1,"(0.519119143486023, 0.33243265748023987)","(0.5174815058708191, 0.3387175500392914)",1,1,3.57861328125,3.4858551025390625,"(-19.677688598632812, 18.834848403930664, 703.4454956054688)","(41.3357048034668, 16.39616584777832, 702.0946044921875)","(9.990795135498047, 219.63807678222656, 69.29994201660156)","(9.146528244018555, 217.73516845703125, 68.60730743408203)"
19,20,5842170383725,31202088209059,1,1,"(0.517875075340271, 0.3556821644306183)","(0.5128801465034485, 0.3353717029094696)",1,1,3.636077880859375,3.490219116210937,"(-19.638214111328125, 18.81853675842285, 703.3253173828125)","(41.37068557739258, 16.36351776123047, 701.912353515625)","(9.349420547485352, 212.59873962402344, 66.73777770996094)","(6.774386405944824, 218.7482147216797, 68.97602844238281)"
19,20,5842170392058,31202088217392,1,1,"(0.5232942700386047, 0.36042916774749756)","(0.5180203318595886, 0.34023669362068176)",1,1,3.6553955078125,3.4902496337890625,"(-19.59793472290039, 18.817787170410156, 703.4512939453125)","(41.39521789550781, 16.33661651611328, 701.5950927734375)","(12.143205642700195, 211.1614532470703, 66.21467590332031)","(9.424296379089355, 217.27523803710938, 68.43990325927734)"
19,20,5842170400390,31202088225724,1,1,"(0.5207760334014893, 0.36027011275291443)","(0.5180443525314331, 0.33588850498199463)",1,1,3.63165283203125,3.48577880859375,"(-19.54867935180664, 18.813753128051758, 703.5098266601562)","(41.443546295166016, 16.314706802368164, 701.5880126953125)","(10.844966888427734, 211.20960998535156, 66.23220825195312)","(9.436705589294434, 218.5917205810547, 68.91911315917969)"
19,20,5842170408723,31202088234057,1,1,"(0.5213422179222107, 0.3673360049724579)","(0.5172221660614014, 0.3283751308917999)",1,1,3.6262054443359375,3.4854278564453125,"(-19.50259017944336, 18.80799102783203, 703.5264282226562)","(41.505001068115234, 16.295631408691406, 701.8536376953125)","(11.136865615844727, 209.0702362060547, 65.45354461669922)","(9.01284408569336, 220.86660766601562, 69.74703979492188)"
19,20,5842170417055,31202088242390,1,1,"(0.5223320722579956, 0.36579254269599915)","(0.5163429975509644, 0.33521515130996704)",1,1,3.638397216796875,3.4891357421875,"(-19.458877563476562, 18.801414489746094, 703.3379516601562)","(41.5540771484375, 16.292526245117188, 702.1075439453125)","(11.647146224975586, 209.5375518798828, 65.6236343383789)","(8.55959701538086, 218.7956085205078, 68.9932861328125)"
19,20,5842170425389,31202088250724,1,1,"(0.522230327129364, 0.3307824432849884)","(0.5149677991867065, 0.3275582790374756)",1,1,3.554473876953125,3.472442626953125,"(-19.42459487915039, 18.790485382080078, 703.299072265625)","(41.591392517089844, 16.269630432128906, 702.0480346679688)","(11.594691276550293, 220.1377410888672, 69.48176574707031)","(7.850646018981934, 221.11392211914062, 69.83708190917969)"
19,20,5842170433722,31202088259057,1,1,"(0.5192036032676697, 0.36594080924987793)","(0.5158539414405823, 0.3380652964115143)",1,1,3.61712646484375,3.495880126953125,"(-19.39212989807129, 18.790538787841797, 703.3418579101562)","(41.60692596435547, 16.255184173583984, 701.7994384765625)","(10.034323692321777, 209.49266052246094, 65.6072998046875)","(8.30748176574707, 217.9326629638672, 68.67919158935547)"
19,20,5842170442055,31202088267390,1,1,"(0.525006890296936, 0.36177465319633484)","(0.5175846815109253, 0.3334728479385376)",1,1,3.6131591796875,3.484237670898437,"(-19.367847442626953, 18.798215866088867, 703.4254760742188)","(41.62125015258789, 16.243633270263672, 701.56494140625)","(13.026080131530762, 210.7540740966797, 66.06636047363281)","(9.199722290039062, 219.32315063476562, 69.18528747558594)"
