participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
19,28,5842875995132,31202793832156,1,1,"(0.5114707350730896, 0.6562026143074036)","(0.4832133650779724, 0.6561565399169922)",1,1,2.83685302734375,2.77069091796875,"(-17.75386619567871, 12.560869216918945, 690.9505615234375)","(42.86109924316406, 5.0908203125, 688.8136596679688)","(6.047787189483643, 121.60874938964844, 33.62014389038086)","(-8.519722938537598, 121.62269592285156, 33.6252326965332)"
19,28,5842876003464,31202793840489,1,1,"(0.5043011903762817, 0.6612719297409058)","(0.48907437920570374, 0.647991955280304)",1,1,2.834442138671875,2.7523651123046875,"(-17.770843505859375, 12.541864395141602, 690.9098510742188)","(42.85631561279297, 5.0776166915893555, 688.8544921875)","(2.351677656173706, 120.0738525390625, 33.061519622802734)","(-5.498191833496094, 124.09471130371094, 34.524986267089844)"
19,28,5842876011797,31202793848822,1,1,"(0.511783242225647, 0.6611429452896118)","(0.48515579104423523, 0.6543850898742676)",1,1,2.8125152587890625,2.7696685791015625,"(-17.788421630859375, 12.530802726745605, 690.9483642578125)","(42.85002517700195, 5.072232246398926, 688.8810424804688)","(6.208916187286377, 120.11293029785156, 33.07572937011719)","(-7.518348217010498, 122.1590347290039, 33.82041931152344)"
19,28,5842876020139,31202793857164,1,1,"(0.5182227492332458, 0.659540593624115)","(0.48221924901008606, 0.6474169492721558)",1,1,2.79901123046875,2.7537841796875,"(-17.804065704345703, 12.517114639282227, 691.0133056640625)","(42.844635009765625, 5.056514739990234, 688.86962890625)","(9.528658866882324, 120.59807586669922, 33.25230026245117)","(-9.032212257385254, 124.26880645751953, 34.58833312988281)"
19,28,5842876028472,31202793865497,1,1,"(0.5081894397735596, 0.672545850276947)","(0.48411232233047485, 0.6574205756187439)",1,1,2.8354034423828125,2.7704620361328125,"(-17.817359924316406, 12.49921989440918, 691.052001953125)","(42.83673858642578, 5.035254955291748, 688.8701171875)","(4.356190204620361, 116.66039276123047, 31.819129943847656)","(-8.056282997131348, 121.23995208740234, 33.48592758178711)"
19,28,5842876036805,31202793873830,1,1,"(0.5129112601280212, 0.6653958559036255)","(0.48454025387763977, 0.6516739726066589)",1,1,2.818206787109375,2.7567291259765625,"(-17.829532623291016, 12.485383987426758, 691.143310546875)","(42.828182220458984, 5.024142265319824, 688.8185424804688)","(6.790441989898682, 118.82523345947266, 32.6070556640625)","(-7.835672378540039, 122.97989654541016, 34.119205474853516)"
19,28,5842876045139,31202793882164,1,1,"(0.5166536569595337, 0.6666395664215088)","(0.4842979311943054, 0.6491708755493164)",1,1,2.8206787109375,2.771148681640625,"(-17.839248657226562, 12.475159645080566, 691.1821899414062)","(42.821868896484375, 5.022928714752197, 688.8458251953125)","(8.719751358032227, 118.44868469238281, 32.4699592590332)","(-7.960580348968506, 123.73776245117188, 34.3950309753418)"
19,28,5842876053472,31202793890497,1,1,"(0.5101523399353027, 0.6502247452735901)","(0.4830971956253052, 0.646942675113678)",1,1,2.80865478515625,2.7783203125,"(-17.84228515625, 12.439860343933105, 691.1683959960938)","(42.82646179199219, 4.999838829040527, 688.8980712890625)","(5.368137836456299, 123.41867065429688, 34.278934478759766)","(-8.57960319519043, 124.41239929199219, 34.640625)"
19,28,5842876061805,31202793898830,1,1,"(0.5137137174606323, 0.6558734178543091)","(0.486186146736145, 0.6569264531135559)",1,1,2.81915283203125,2.7768707275390625,"(-17.842510223388672, 12.433606147766113, 691.155517578125)","(42.828147888183594, 4.997720241546631, 688.93701171875)","(7.2041168212890625, 121.70838928222656, 33.65642547607422)","(-6.987170696258545, 121.38959503173828, 33.5404052734375)"
19,28,5842876070138,31202793907164,1,1,"(0.5198884606361389, 0.6536753177642822)","(0.4855823218822479, 0.6504455208778381)",1,1,2.787811279296875,2.7689971923828125,"(-17.841838836669922, 12.431575775146484, 691.1292724609375)","(42.82929992675781, 4.994441032409668, 688.923828125)","(10.387401580810547, 122.3739242553711, 33.89866256713867)","(-7.2984514236450195, 123.35181427001953, 34.2546272277832)"
