participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
19,18,5842826319318,31202744155531,1,1,"(0.35123664140701294, 0.18997779488563538)","(0.3293174207210541, 0.17689518630504608)",1,1,2.86236572265625,2.8064117431640625,"(-21.17463493347168, 11.486418724060059, 688.4677734375)","(39.458953857421875, 3.584674835205078, 685.37841796875)","(-76.55766296386719, 262.7698059082031, 84.99858093261719)","(-87.85765838623047, 266.7308654785156, 86.44032287597656)"
19,18,5842826327652,31202744163865,1,1,"(0.3502013683319092, 0.1829637587070465)","(0.3336125612258911, 0.17494070529937744)",1,1,2.85919189453125,2.8048095703125,"(-21.174938201904297, 11.470531463623047, 688.5327758789062)","(39.454917907714844, 3.5765509605407715, 685.3527221679688)","(-77.09136199951172, 264.89349365234375, 85.77155303955078)","(-85.64339447021484, 267.3226623535156, 86.65568542480469)"
19,18,5842826335985,31202744172198,1,1,"(0.3471039831638336, 0.18710659444332123)","(0.3323023319244385, 0.1763356477022171)",1,1,2.866928100585937,2.8101043701171875,"(-21.180496215820312, 11.47842788696289, 688.5196533203125)","(39.45310592651367, 3.5747323036193848, 685.28759765625)","(-78.68816375732422, 263.63916015625, 85.3149642944336)","(-86.31884765625, 266.9002990722656, 86.5019760131836)"
19,18,5842826344321,31202744180534,1,1,"(0.3458913564682007, 0.190057635307312)","(0.3313051462173462, 0.17349974811077118)",1,1,2.87420654296875,2.801910400390625,"(-21.197261810302734, 11.466176986694336, 688.4000244140625)","(39.442543029785156, 3.5634262561798096, 685.276123046875)","(-79.31330108642578, 262.7456359863281, 84.98978424072266)","(-86.83293914794922, 267.75897216796875, 86.81446075439453)"
19,18,5842826352655,31202744188868,1,1,"(0.34769880771636963, 0.18673089146614075)","(0.33028772473335266, 0.17558935284614563)",1,1,2.879241943359375,2.803375244140625,"(-21.21270751953125, 11.46126651763916, 688.281494140625)","(39.42658615112305, 3.5650506019592285, 685.2909545898438)","(-78.38150787353516, 263.7528991699219, 85.35638427734375)","(-87.3574447631836, 267.1262512207031, 86.58421325683594)"
19,18,5842826360988,31202744197201,1,1,"(0.34781160950660706, 0.18893754482269287)","(0.3329072594642639, 0.17853739857673645)",1,1,2.861557006835937,2.8064422607421875,"(-21.227001190185547, 11.455007553100586, 688.2147827148438)","(39.41606521606445, 3.563258647918701, 685.2923583984375)","(-78.32335662841797, 263.08477783203125, 85.11318969726562)","(-86.00700378417969, 266.2336730957031, 86.25935363769531)"
19,18,5842826369321,31202744205534,1,1,"(0.34933942556381226, 0.1941821277141571)","(0.3327542543411255, 0.1764848530292511)",1,1,2.8574676513671875,2.8128204345703125,"(-21.238428115844727, 11.448678970336914, 688.2405395507812)","(39.41100311279297, 3.5571208000183105, 685.3320922851562)","(-77.5357437133789, 261.4968566894531, 84.5352554321289)","(-86.08588409423828, 266.8551330566406, 86.48551940917969)"
19,18,5842826377653,31202744213867,1,1,"(0.3478168845176697, 0.18785153329372406)","(0.3321053385734558, 0.17792928218841553)",1,1,2.8673248291015625,2.816436767578125,"(-21.24742889404297, 11.451396942138672, 688.2529296875)","(39.401702880859375, 3.5602540969848633, 685.3070068359375)","(-78.32062530517578, 263.4136047363281, 85.23290252685547)","(-86.42040252685547, 266.41778564453125, 86.32633972167969)"
19,18,5842826385987,31202744222201,1,1,"(0.348972886800766, 0.1911212056875229)","(0.33226871490478516, 0.1824086457490921)",1,1,2.861846923828125,2.8134307861328125,"(-21.253108978271484, 11.44482135772705, 688.2391357421875)","(39.39922332763672, 3.556325912475586, 685.33349609375)","(-77.72467803955078, 262.4236145019531, 84.8725814819336)","(-86.33619689941406, 265.06158447265625, 85.83267974853516)"
19,18,5842826394322,31202744230536,1,1,"(0.3467637002468109, 0.18885229527950287)","(0.33203715085983276, 0.17870058119297028)",1,1,2.885650634765625,2.7897186279296875,"(-21.260177612304688, 11.440727233886719, 688.2780151367188)","(39.39365768432617, 3.549830913543701, 685.2821044921875)","(-78.86359405517578, 263.1105651855469, 85.12264251708984)","(-86.4555892944336, 266.1842956542969, 86.24134826660156)"
