participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
19,16,5841135176343,31201052983269,1,1,"(0.36992040276527405, 0.3065287470817566)","(0.34752747416496277, 0.26953524351119995)",1,1,2.75244140625,2.7667694091796875,"(-32.08442687988281, -0.759621262550354, 716.9775390625)","(28.678024291992188, -0.042251065373420715, 712.978515625)","(-66.92562103271484, 227.4811248779297, 72.15457916259766)","(-78.46984100341797, 238.6818389892578, 76.23128509521484)"
19,16,5841135184677,31201052991603,1,1,"(0.37207362055778503, 0.30570006370544434)","(0.34818029403686523, 0.2822338044643402)",1,1,2.7955322265625,2.795806884765625,"(-32.08184051513672, -0.7605001926422119, 716.9635009765625)","(28.683547973632812, -0.04239753261208534, 712.991943359375)","(-65.81556701660156, 227.73202514648438, 72.245849609375)","(-78.1332778930664, 234.83702087402344, 74.83190155029297)"
19,16,5841135193010,31201052999936,1,1,"(0.3542124629020691, 0.3121832609176636)","(0.34359124302864075, 0.2690848410129547)",1,1,2.8039703369140625,2.752914428710937,"(-32.092323303222656, -0.7610585689544678, 716.8060302734375)","(28.66179656982422, -0.03549566864967346, 712.9940185546875)","(-75.0235366821289, 225.7690887451172, 71.53146362304688)","(-80.49907684326172, 238.81820678710938, 76.28092956542969)"
19,16,5841135201343,31201053008269,1,1,"(0.31888583302497864, 0.3064042031764984)","(0.3149024546146393, 0.25391870737075806)",1,1,2.910858154296875,2.791000366210937,"(-32.21249008178711, -0.7202929258346558, 717.0490112304688)","(28.553348541259766, 0.0027083754539489746, 713.3983154296875)","(-93.2354507446289, 227.5188446044922, 72.16828918457031)","(-95.28900909423828, 243.4101104736328, 77.95226287841797)"
19,16,5841135209676,31201053016603,1,1,"(0.28198397159576416, 0.2488294541835785)","(0.2894440293312073, 0.22922618687152863)",1,1,2.90814208984375,2.821746826171875,"(-32.35285949707031, -0.6422114968299866, 717.4622802734375)","(28.381418228149414, 0.06394413113594055, 713.132568359375)","(-112.25946044921875, 244.95101928710938, 78.51306915283203)","(-108.41358184814453, 250.8863983154297, 80.67335510253906)"
19,16,5841135218009,31201053024936,1,1,"(0.26970887184143066, 0.23342499136924744)","(0.259687215089798, 0.22632136940956116)",1,1,2.933868408203125,2.8599395751953125,"(-32.47209167480469, -0.61859530210495, 717.1788330078125)","(28.242069244384766, 0.12074238061904907, 713.4400634765625)","(-118.58763885498047, 249.6151123046875, 80.21065521240234)","(-123.75410461425781, 251.765869140625, 80.99356079101562)"
19,16,5841135226347,31201053033274,1,1,"(0.23763924837112427, 0.19441644847393036)","(0.23893572390079498, 0.2062382698059082)",1,1,2.8973541259765625,2.8465576171875,"(-32.554115295410156, -0.5976001024246216, 717.5269775390625)","(28.118000030517578, 0.16575834155082703, 713.436279296875)","(-135.12051391601562, 261.4259033203125, 84.50945281982422)","(-134.45213317871094, 257.8465576171875, 83.2066650390625)"
19,16,5841135234681,31201053041608,1,1,"(0.2293163686990738, 0.1923207938671112)","(0.23197738826274872, 0.20473945140838623)",1,1,2.90093994140625,2.85235595703125,"(-32.562705993652344, -0.5921146273612976, 717.282958984375)","(28.070236206054688, 0.17374932765960693, 713.51025390625)","(-139.41119384765625, 262.0604248046875, 84.7403793334961)","(-138.0393524169922, 258.30035400390625, 83.37186431884766)"
19,16,5841135243014,31201053049941,1,1,"(0.23828713595867157, 0.19785822927951813)","(0.2353079468011856, 0.20025092363357544)",1,1,2.8970947265625,2.8260040283203125,"(-32.56744384765625, -0.5949963927268982, 717.4393310546875)","(28.080564498901367, 0.17238330841064453, 713.4530029296875)","(-134.7864990234375, 260.3837890625, 84.13018798828125)","(-136.32235717773438, 259.6593933105469, 83.86646270751953)"
19,16,5841135251347,31201053058274,1,1,"(0.23131872713565826, 0.18320207297801971)","(0.23241084814071655, 0.20428115129470825)",1,1,2.896728515625,2.846466064453125,"(-32.57333755493164, -0.6147820353507996, 717.6104736328125)","(28.09454917907715, 0.14547927677631378, 713.29736328125)","(-138.37892150878906, 264.8212890625, 85.74531555175781)","(-137.81588745117188, 258.4391174316406, 83.42232513427734)"
19,16,5841135259680,31201053066608,1,1,"(0.23563754558563232, 0.18750132620334625)","(0.23040448129177094, 0.19666926562786102)",1,1,2.9219512939453125,2.85650634765625,"(-32.577178955078125, -0.6263498067855835, 717.62451171875)","(28.10368537902832, 0.12379638850688934, 713.2261962890625)","(-136.1524200439453, 263.5196228027344, 85.27147674560547)","(-138.8502197265625, 260.7438049316406, 84.26117706298828)"
19,16,5841135268014,31201053074941,1,1,"(0.23414433002471924, 0.19643431901931763)","(0.23060745000839233, 0.20252445340156555)",1,1,2.9320220947265625,2.8433074951171875,"(-32.57502365112305, -0.6251524686813354, 717.4962768554688)","(28.111225128173828, 0.12051330506801605, 713.1552124023438)","(-136.92222595214844, 260.81494140625, 84.28707122802734)","(-138.74560546875, 258.97100830078125, 83.61590576171875)"
19,16,5841135276347,31201053083274,1,1,"(0.2271343618631363, 0.1932852417230606)","(0.2300693392753601, 0.2040809541940689)",1,1,2.9024658203125,2.876220703125,"(-32.56640625, -0.6429244875907898, 717.2972412109375)","(28.11961555480957, 0.10245255380868912, 713.1547241210938)","(-140.53607177734375, 261.7684326171875, 84.63414764404297)","(-139.0230255126953, 258.499755859375, 83.44438934326172)"
19,16,5841135284681,31201053091608,1,1,"(0.22724716365337372, 0.19364044070243835)","(0.2315249741077423, 0.20650950074195862)",1,1,2.907012939453125,2.86993408203125,"(-32.564064025878906, -0.6572266817092896, 717.2120361328125)","(28.127052307128906, 0.08201930671930313, 713.097900390625)","(-140.47792053222656, 261.6608581542969, 84.5949935913086)","(-138.2725830078125, 257.7644348144531, 83.17677307128906)"
19,16,5841135293014,31201053099941,1,1,"(0.2285250872373581, 0.19381383061408997)","(0.2271728217601776, 0.20311446487903595)",1,1,2.903167724609375,2.841415405273437,"(-32.568450927734375, -0.6652323603630066, 717.1827392578125)","(28.134021759033203, 0.07389870285987854, 713.083251953125)","(-139.81912231445312, 261.6083679199219, 84.57586669921875)","(-140.51625061035156, 258.7923583984375, 83.55094146728516)"
19,16,5841135301346,31201053108274,1,1,"(0.2305392324924469, 0.19364655017852783)","(0.23085138201713562, 0.20441053807735443)",1,1,2.88531494140625,2.8512420654296875,"(-32.56882095336914, -0.674687385559082, 717.1112060546875)","(28.135643005371094, 0.06406432390213013, 713.0689086914062)","(-138.78077697753906, 261.6589660644531, 84.59432983398438)","(-138.6198272705078, 258.3999328613281, 83.40811157226562)"
19,16,5841135309680,31201053116608,1,1,"(0.22676874697208405, 0.2004067748785019)","(0.2258477807044983, 0.21083500981330872)",1,1,2.8819580078125,2.8572235107421875,"(-32.57140350341797, -0.6859279870986938, 717.124755859375)","(28.141239166259766, 0.05405820161104202, 713.054443359375)","(-140.72457885742188, 259.6121826171875, 83.84938049316406)","(-141.19932556152344, 256.45477294921875, 82.70008850097656)"
19,16,5841135318013,31201053124941,1,1,"(0.22849488258361816, 0.20698395371437073)","(0.22847941517829895, 0.20593209564685822)",1,1,2.8984527587890625,2.854522705078125,"(-32.56858825683594, -0.6923477649688721, 717.1107177734375)","(28.144474029541016, 0.045495692640542984, 712.9978637695312)","(-139.83470153808594, 257.62078857421875, 83.12448120117188)","(-139.8426513671875, 257.9392395019531, 83.24040222167969)"
19,16,5841135326346,31201053133274,1,1,"(0.23066821694374084, 0.1948118507862091)","(0.22899959981441498, 0.21038208901882172)",1,1,2.897308349609375,2.8679351806640625,"(-32.56317901611328, -0.6979072690010071, 717.0830078125)","(28.1507511138916, 0.04490130767226219, 713.0394897460938)","(-138.71426391601562, 261.30621337890625, 84.46585845947266)","(-139.57449340820312, 256.5919189453125, 82.75001525878906)"
19,16,5841135334680,31201053141608,1,1,"(0.22783030569553375, 0.21104669570922852)","(0.22821633517742157, 0.2077387571334839)",1,1,2.87994384765625,2.846588134765625,"(-32.56013870239258, -0.7120268940925598, 717.1260375976562)","(28.154022216796875, 0.036476295441389084, 712.9686279296875)","(-140.1772918701172, 256.39068603515625, 82.67677307128906)","(-139.97828674316406, 257.3922424316406, 83.04130554199219)"
19,16,5841135343013,31201053149941,1,1,"(0.23063193261623383, 0.20768551528453827)","(0.233567476272583, 0.20516736805438995)",1,1,2.9048004150390625,2.86676025390625,"(-32.559814453125, -0.7111283540725708, 717.1546630859375)","(28.164653778076172, 0.03979816287755966, 712.9959716796875)","(-138.7329864501953, 257.4083557128906, 83.04716491699219)","(-137.21961975097656, 258.1708068847656, 83.32467651367188)"
19,16,5841135351346,31201053158274,1,1,"(0.23261018097400665, 0.21126990020275116)","(0.23267941176891327, 0.20693042874336243)",1,1,2.911224365234375,2.852020263671875,"(-32.55404281616211, -0.7164428234100342, 717.1842651367188)","(28.176422119140625, 0.038165897130966187, 713.0369873046875)","(-137.713134765625, 256.3231201171875, 82.65216064453125)","(-137.6774444580078, 257.6369934082031, 83.13037872314453)"
19,16,5841135359682,31201053166611,1,1,"(0.22985418140888214, 0.21207894384860992)","(0.23321323096752167, 0.20583857595920563)",1,1,2.895355224609375,2.85296630859375,"(-32.55250930786133, -0.7110555768013, 717.1988525390625)","(28.18307876586914, 0.043724946677684784, 713.064697265625)","(-139.1339569091797, 256.0781555175781, 82.56302642822266)","(-137.40223693847656, 257.96759033203125, 83.25070190429688)"
19,16,5841135368015,31201053174944,1,1,"(0.2292281836271286, 0.2133466750383377)","(0.23444482684135437, 0.21417227387428284)",1,1,2.91680908203125,2.8660430908203125,"(-32.55077362060547, -0.7120080590248108, 717.2562866210938)","(28.195337295532227, 0.04161011427640915, 713.0493774414062)","(-139.45664978027344, 255.69430541992188, 82.42330169677734)","(-136.76731872558594, 255.4443359375, 82.33235168457031)"
19,16,5841135376348,31201053183277,1,1,"(0.22961266338825226, 0.21405090391635895)","(0.23179486393928528, 0.2087741196155548)",1,1,2.9173126220703125,2.869369506835937,"(-32.55052185058594, -0.7169880270957947, 717.2849731445312)","(28.205549240112305, 0.038370531052351, 713.1329345703125)","(-139.25843811035156, 255.4810791015625, 82.34571838378906)","(-138.1334686279297, 257.0787353515625, 82.92727661132812)"
19,16,5841135384682,31201053191611,1,1,"(0.23100905120372772, 0.21167859435081482)","(0.2360350489616394, 0.20848681032657623)",1,1,2.899017333984375,2.8831329345703125,"(-32.547576904296875, -0.7235127091407776, 717.3142700195312)","(28.212448120117188, 0.03196944668889046, 713.1182861328125)","(-138.53855895996094, 256.1993713378906, 82.6071548461914)","(-135.94752502441406, 257.165771484375, 82.95887756347656)"
19,16,5841135393015,31201053199944,1,1,"(0.23599182069301605, 0.21082012355327606)","(0.23413024842739105, 0.2088698297739029)",1,1,2.935043334960937,2.8759307861328125,"(-32.54463195800781, -0.7296936511993408, 717.3431396484375)","(28.22442054748535, 0.02673053741455078, 713.1593017578125)","(-135.9698028564453, 256.45928955078125, 82.70173645019531)","(-136.92947387695312, 257.0497741699219, 82.91667175292969)"
19,16,5841135401348,31201053208277,1,1,"(0.23538053035736084, 0.22144411504268646)","(0.23343679308891296, 0.21798262000083923)",1,1,2.9077606201171875,2.8734283447265625,"(-32.54024887084961, -0.733791708946228, 717.37255859375)","(28.237768173217773, 0.020626498386263847, 713.2001342773438)","(-136.28492736816406, 253.24261474609375, 81.53097534179688)","(-137.2869873046875, 254.29066467285156, 81.9124526977539)"
19,16,5841135409681,31201053216611,1,1,"(0.2403290569782257, 0.22200390696525574)","(0.23246577382087708, 0.20944872498512268)",1,1,2.9211578369140625,2.8675079345703125,"(-32.53325653076172, -0.7390885949134827, 717.4024658203125)","(28.248855590820312, 0.011300576850771904, 713.18505859375)","(-133.7338104248047, 253.0731201171875, 81.46925354003906)","(-137.78758239746094, 256.87451171875, 82.85286712646484)"
19,16,5841135418014,31201053224944,1,1,"(0.25526323914527893, 0.23056866228580475)","(0.24630077183246613, 0.22014263272285461)",1,1,2.957275390625,2.853240966796875,"(-32.45852279663086, -0.8045932054519653, 717.0665893554688)","(28.32099151611328, -0.04798992723226547, 713.1512451171875)","(-126.0348129272461, 250.47994995117188, 80.52542114257812)","(-130.6552276611328, 253.6366729736328, 81.67437744140625)"
19,16,5841135426347,31201053233277,1,1,"(0.29759153723716736, 0.3404817283153534)","(0.2956677973270416, 0.3075750172138214)",1,1,2.836639404296875,2.80999755859375,"(-32.22370910644531, -0.9211722612380981, 717.0198974609375)","(28.467323303222656, -0.21429550647735596, 713.180908203125)","(-104.21333312988281, 217.20101928710938, 68.41294860839844)","(-105.20502471923828, 227.16432189941406, 72.03926086425781)"
19,16,5841135434681,31201053241611,1,1,"(0.33661457896232605, 0.45317384600639343)","(0.34512853622436523, 0.43812885880470276)",1,1,2.849395751953125,2.86676025390625,"(-31.88430404663086, -1.1435729265213013, 716.7285766601562)","(28.65306854248047, -0.42514941096305847, 712.9398193359375)","(-84.09574890136719, 183.08070373535156, 55.994140625)","(-79.70655822753906, 187.63595581054688, 57.65209197998047)"
19,16,5841135443014,31201053249944,1,1,"(0.3766275942325592, 0.5038019418716431)","(0.3639545142650604, 0.5039299726486206)",1,1,2.891448974609375,2.836578369140625,"(-31.639080047607422, -1.3469159603118896, 716.755126953125)","(28.783634185791016, -0.610751211643219, 713.1256713867188)","(-63.46785354614258, 167.75180053710938, 50.414859771728516)","(-70.00120544433594, 167.7130126953125, 50.400787353515625)"
19,16,5841135451347,31201053258277,1,1,"(0.37926197052001953, 0.5116008520126343)","(0.35661694407463074, 0.5315660238265991)",1,1,2.80682373046875,2.8624267578125,"(-31.539207458496094, -1.448458194732666, 716.5665283203125)","(28.804866790771484, -0.7077779769897461, 712.940185546875)","(-62.109764099121094, 165.39048767089844, 49.555423736572266)","(-73.78394317626953, 159.3455352783203, 47.3552360534668)"
19,16,5841135459680,31201053266611,1,1,"(0.3815925717353821, 0.517026424407959)","(0.3708171248435974, 0.5365450382232666)",1,1,2.8276824951171875,2.8634033203125,"(-31.548887252807617, -1.4325807094573975, 716.5795288085938)","(28.83039093017578, -0.7128907442092896, 712.9944458007812)","(-60.90828323364258, 163.7477569580078, 48.95755386352539)","(-66.46333312988281, 157.83802795410156, 46.806522369384766)"
19,16,5841135468013,31201053274944,1,1,"(0.3935777544975281, 0.524276077747345)","(0.369606077671051, 0.5350860357284546)",1,1,2.8360748291015625,2.836166381835937,"(-31.58255386352539, -1.4145584106445312, 716.7754516601562)","(28.852842330932617, -0.7057092189788818, 712.8658447265625)","(-54.72956466674805, 161.55279541015625, 48.1585578918457)","(-67.0876693725586, 158.27976989746094, 46.96731185913086)"
19,16,5841135476346,31201053283277,1,1,"(0.394832968711853, 0.5461789965629578)","(0.36969858407974243, 0.5479045510292053)",1,1,2.8321685791015625,2.8548736572265625,"(-31.575927734375, -1.4071418046951294, 716.705078125)","(28.885496139526367, -0.6957701444625854, 712.8770751953125)","(-54.082427978515625, 154.92108154296875, 45.74488067626953)","(-67.03997802734375, 154.3986358642578, 45.554691314697266)"
19,16,5841135484680,31201053291611,1,1,"(0.39439043402671814, 0.53363436460495)","(0.3637593686580658, 0.547972559928894)",1,1,2.81317138671875,2.849960327148437,"(-31.561466217041016, -1.3994042873382568, 716.5787353515625)","(28.910961151123047, -0.6910431385040283, 712.9591064453125)","(-54.310585021972656, 158.7193145751953, 47.12730026245117)","(-70.1018295288086, 154.37803649902344, 45.54721450805664)"
19,16,5841135493018,31201053299949,1,1,"(0.3862612843513489, 0.5068151354789734)","(0.3643310070037842, 0.544785737991333)",1,1,2.777923583984375,2.8551025390625,"(-31.555156707763672, -1.3927034139633179, 716.4937744140625)","(28.935176849365234, -0.6927107572555542, 713.0133056640625)","(-58.50139617919922, 166.83944702148438, 50.08280944824219)","(-69.80709075927734, 155.3429412841797, 45.898399353027344)"
19,16,5841135501351,31201053308282,1,1,"(0.389480322599411, 0.5168005228042603)","(0.3645619750022888, 0.5538914799690247)",1,1,2.803817749023437,2.8687896728515625,"(-31.560771942138672, -1.3804495334625244, 716.50732421875)","(28.96500587463379, -0.6778712272644043, 713.0811767578125)","(-56.84189987182617, 163.816162109375, 48.98242950439453)","(-69.68804931640625, 152.5859375, 44.89497375488281)"
19,16,5841135509684,31201053316616,1,1,"(0.38854721188545227, 0.5168335437774658)","(0.36432579159736633, 0.5433096885681152)",1,1,2.8115997314453125,2.8407440185546875,"(-31.563678741455078, -1.3739118576049805, 716.4784545898438)","(28.985599517822266, -0.6701326370239258, 713.0939331054688)","(-57.32293701171875, 163.80618286132812, 48.97874069213867)","(-69.80980682373047, 155.7898406982422, 46.061038970947266)"
19,16,5841135518017,31201053324949,1,1,"(0.39490780234336853, 0.5311577916145325)","(0.3670900762081146, 0.5509310960769653)",1,1,2.8478546142578125,2.8551177978515625,"(-31.563522338867188, -1.3649265766143799, 716.506591796875)","(29.00725555419922, -0.6618312001228333, 713.1478271484375)","(-54.04388427734375, 159.4691162109375, 47.4002685546875)","(-68.3847427368164, 153.48228454589844, 45.22118377685547)"
19,16,5841135526350,31201053333282,1,1,"(0.39202162623405457, 0.518243134021759)","(0.36964690685272217, 0.555396318435669)",1,1,2.817413330078125,2.8715057373046875,"(-31.563339233398438, -1.3578360080718994, 716.52099609375)","(29.017574310302734, -0.6567729711532593, 713.090576171875)","(-55.53178405761719, 163.37939453125, 48.823448181152344)","(-67.06661987304688, 152.13031005859375, 44.729095458984375)"
19,16,5841135534684,31201053341616,1,1,"(0.3931012451648712, 0.5354143977165222)","(0.36471104621887207, 0.548086404800415)",1,1,2.8696441650390625,2.8512725830078125,"(-31.56329345703125, -1.3536851406097412, 716.5350341796875)","(29.030628204345703, -0.6572107076644897, 713.0331420898438)","(-54.97520065307617, 158.18035888671875, 46.93114471435547)","(-69.61119842529297, 154.3435821533203, 45.53468322753906)"
19,16,5841135543017,31201053349949,1,1,"(0.3971662223339081, 0.5162556171417236)","(0.3661526143550873, 0.5526351928710938)",1,1,2.8227081298828125,2.8702850341796875,"(-31.558124542236328, -1.348691463470459, 716.4929809570312)","(29.03888702392578, -0.659650444984436, 713.0181884765625)","(-52.87958526611328, 163.98114013671875, 49.04244613647461)","(-68.86802673339844, 152.96630859375, 45.03339767456055)"
19,16,5841135551350,31201053358282,1,1,"(0.3935993015766144, 0.5212072134017944)","(0.3693697452545166, 0.558068573474884)",1,1,2.8401641845703125,2.8800506591796875,"(-31.552488327026367, -1.3514407873153687, 716.5078125)","(29.050819396972656, -0.666797399520874, 713.0736083984375)","(-54.71842575073242, 162.48191833496094, 48.496768951416016)","(-67.2094955444336, 151.32122802734375, 44.434593200683594)"
19,16,5841135559683,31201053366616,1,1,"(0.3956877887248993, 0.5234687924385071)","(0.3679050803184509, 0.5524582266807556)",1,1,2.858871459960937,2.8679962158203125,"(-31.547014236450195, -1.356446623802185, 716.4942626953125)","(29.066862106323242, -0.6771106719970703, 713.0863037109375)","(-53.64176940917969, 161.7971954345703, 48.24755096435547)","(-67.964599609375, 153.01991271972656, 45.052921295166016)"
19,16,5841135568016,31201053374949,1,1,"(0.39555349946022034, 0.5046474933624268)","(0.3687649369239807, 0.5620858073234558)",1,1,2.802108764648437,2.889251708984375,"(-31.53759002685547, -1.3633688688278198, 716.4384765625)","(29.079299926757812, -0.689348578453064, 713.0709838867188)","(-53.71099853515625, 167.4957733154297, 50.3216667175293)","(-67.52129364013672, 150.10491943359375, 43.99193572998047)"
19,16,5841135576349,31201053383282,1,1,"(0.3906380236148834, 0.5234208106994629)","(0.36928483843803406, 0.5547536015510559)",1,1,2.8406524658203125,2.868026733398437,"(-31.530738830566406, -1.3663029670715332, 716.4249267578125)","(29.09249496459961, -0.6982429027557373, 713.11181640625)","(-56.245079040527344, 161.8117218017578, 48.25284194946289)","(-67.25325775146484, 152.32492065429688, 44.79994583129883)"
19,16,5841135584683,31201053391616,1,1,"(0.3943834602832794, 0.5383571982383728)","(0.3683933615684509, 0.5550837516784668)",1,1,2.865875244140625,2.870101928710937,"(-31.527679443359375, -1.370435357093811, 716.4535522460938)","(29.103408813476562, -0.7097702026367188, 713.11083984375)","(-54.314178466796875, 157.2893524169922, 46.60681915283203)","(-67.7128677368164, 152.22496032714844, 44.7635383605957)"
19,16,5841135593016,31201053399949,1,1,"(0.39426785707473755, 0.5255793929100037)","(0.3704729974269867, 0.5508509278297424)",1,1,2.86102294921875,2.877670288085937,"(-31.52358627319336, -1.3735414743423462, 716.4398193359375)","(29.110225677490234, -0.7176864743232727, 713.1105346679688)","(-54.373775482177734, 161.1581268310547, 48.014984130859375)","(-66.64073944091797, 153.5065460205078, 45.230003356933594)"
19,16,5841135601349,31201053408282,1,1,"(0.3919854164123535, 0.5164459347724915)","(0.36607953906059265, 0.546210527420044)",1,1,2.823699951171875,2.873046875,"(-31.52481460571289, -1.3743903636932373, 716.46826171875)","(29.11812400817871, -0.7227954268455505, 713.1519775390625)","(-55.550445556640625, 163.9235076904297, 49.02149963378906)","(-68.90570068359375, 154.9115447998047, 45.741390228271484)"
19,16,5841135609682,31201053416616,1,1,"(0.3913516700267792, 0.5015787482261658)","(0.3635405898094177, 0.5559910535812378)",1,1,2.754730224609375,2.8975372314453125,"(-31.528873443603516, -1.3805965185165405, 716.4962158203125)","(29.12047576904297, -0.7363332509994507, 713.1798095703125)","(-55.877166748046875, 168.4249267578125, 50.65987014770508)","(-70.214599609375, 151.95025634765625, 44.66355895996094)"
19,16,5841135618020,31201053424954,1,1,"(0.39307859539985657, 0.5225877165794373)","(0.36522459983825684, 0.5495207905769348)",1,1,2.79595947265625,2.874267578125,"(-31.535694122314453, -1.384736180305481, 716.5240478515625)","(29.118927001953125, -0.7462612390518188, 713.2080078125)","(-54.98688888549805, 162.06393432617188, 48.3446159362793)","(-69.346435546875, 153.90927124023438, 45.3765754699707)"
19,16,5841135626353,31201053433287,1,1,"(0.3941304385662079, 0.5360507965087891)","(0.3689688444137573, 0.5482595562934875)",1,1,2.8514862060546875,2.856185913085937,"(-31.546085357666016, -1.389542818069458, 716.622314453125)","(29.113588333129883, -0.7550394535064697, 713.194091796875)","(-54.444618225097656, 157.98768615722656, 46.861019134521484)","(-67.41618347167969, 154.2911376953125, 45.51561737060547)"
19,16,5841135634687,31201053441621,1,1,"(0.3878868520259857, 0.5234869718551636)","(0.3690858781337738, 0.5603652596473694)",1,1,2.8223419189453125,2.896697998046875,"(-31.559106826782227, -1.4055566787719727, 716.7493286132812)","(29.10784339904785, -0.7747452855110168, 713.2373657226562)","(-57.66337203979492, 161.7916259765625, 48.24556350708008)","(-67.35584259033203, 150.6258544921875, 44.181514739990234)"
19,16,5841135643020,31201053449954,1,1,"(0.3949888050556183, 0.5460887551307678)","(0.37066036462783813, 0.5519620180130005)",1,1,2.865463256835937,2.9016265869140625,"(-31.569984436035156, -1.4243810176849365, 716.8052368164062)","(29.100814819335938, -0.7937828302383423, 713.2664184570312)","(-54.002113342285156, 154.9484405517578, 45.754783630371094)","(-66.54415130615234, 153.17015075683594, 45.107574462890625)"
19,16,5841135651353,31201053458287,1,1,"(0.39660361409187317, 0.5365971326828003)","(0.36847206950187683, 0.561587393283844)",1,1,2.8442535400390625,2.8960418701171875,"(-31.580829620361328, -1.4359586238861084, 716.8468017578125)","(29.0924072265625, -0.8031963109970093, 713.29541015625)","(-53.16963577270508, 157.82225036621094, 46.80078887939453)","(-67.67228698730469, 150.25582885742188, 44.04682159423828)"
19,16,5841135659687,31201053466621,1,1,"(0.39600178599357605, 0.5505608916282654)","(0.367120623588562, 0.5495733022689819)",1,1,2.8961181640625,2.8836669921875,"(-31.589027404785156, -1.4727671146392822, 716.874267578125)","(29.084163665771484, -0.8287992477416992, 713.2962646484375)","(-53.47988510131836, 153.59437561035156, 45.261962890625)","(-68.36898803710938, 153.8933868408203, 45.370811462402344)"
19,16,5841135668019,31201053474954,1,1,"(0.39486536383628845, 0.5344871282577515)","(0.36546751856803894, 0.5534499287605286)",1,1,2.848846435546875,2.87542724609375,"(-31.59733772277832, -1.5011128187179565, 716.8878173828125)","(29.075969696044922, -0.8433821201324463, 713.310791015625)","(-54.06574249267578, 158.46107482910156, 47.03334426879883)","(-69.22119903564453, 152.7196502685547, 44.943580627441406)"
19,16,5841135676352,31201053483287,1,1,"(0.3926635682582855, 0.5430286526679993)","(0.367766410112381, 0.5546559691429138)",1,1,2.91497802734375,2.8917236328125,"(-31.606918334960938, -1.5163342952728271, 716.88671875)","(29.069751739501953, -0.8474111557006836, 713.3819580078125)","(-55.200843811035156, 155.87493896484375, 46.09199905395508)","(-68.03607177734375, 152.35450744628906, 44.81072235107422)"
19,16,5841135684685,31201053491620,1,1,"(0.38926854729652405, 0.5279495716094971)","(0.3680400550365448, 0.5652474164962769)",1,1,2.8501129150390625,2.898284912109375,"(-31.61792755126953, -1.5488255023956299, 716.9000244140625)","(29.060932159423828, -0.8648532629013062, 713.4532470703125)","(-56.951087951660156, 160.4405059814453, 47.75375747680664)","(-67.8949966430664, 149.14767456054688, 43.64349365234375)"
19,16,5841135693019,31201053499954,1,1,"(0.38795143365859985, 0.5161022543907166)","(0.3688465654850006, 0.5529881715774536)",1,1,2.8448028564453125,2.882110595703125,"(-31.62487030029297, -1.5581622123718262, 716.885498046875)","(29.053878784179688, -0.8716855049133301, 713.481689453125)","(-57.63008499145508, 164.0275421142578, 49.0593376159668)","(-67.47921752929688, 152.8594512939453, 44.99452590942383)"
19,16,5841135701352,31201053508287,1,1,"(0.39540281891822815, 0.5319835543632507)","(0.37077605724334717, 0.5484649538993835)",1,1,2.865081787109375,2.8762969970703125,"(-31.634084701538086, -1.5593652725219727, 716.9696044921875)","(29.045944213867188, -0.865871012210846, 713.5947265625)","(-53.78868865966797, 159.21913146972656, 47.30924987792969)","(-66.4845199584961, 154.22897338867188, 45.49293899536133)"
19,16,5841135709685,31201053516620,1,1,"(0.39073261618614197, 0.5342835187911987)","(0.37144747376441956, 0.5626828074455261)",1,1,2.8844146728515625,2.90679931640625,"(-31.64497947692871, -1.568170189857483, 717.0257568359375)","(29.038969039916992, -0.8739038705825806, 713.6240234375)","(-56.1963005065918, 158.5227508544922, 47.05574035644531)","(-66.13837432861328, 149.92417907714844, 43.926124572753906)"
19,16,5841135718018,31201053524954,1,1,"(0.3856985569000244, 0.5186884999275208)","(0.36942946910858154, 0.5578654408454895)",1,1,2.8479766845703125,2.903350830078125,"(-31.654563903808594, -1.5698918104171753, 717.0819091796875)","(29.029767990112305, -0.8688040971755981, 713.709228515625)","(-58.79151153564453, 163.24453735351562, 48.77433395385742)","(-67.17870330810547, 151.3827362060547, 44.457008361816406)"
19,16,5841135726351,31201053533287,1,1,"(0.3898261487483978, 0.5260947346687317)","(0.36880725622177124, 0.5582955479621887)",1,1,2.8643035888671875,2.8994903564453125,"(-31.6665096282959, -1.5657471418380737, 717.1516723632812)","(29.015869140625, -0.8605155944824219, 713.7247314453125)","(-56.66362380981445, 161.00210571289062, 47.95817947387695)","(-67.49947357177734, 151.2524871826172, 44.40962600708008)"
