participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
21,11,6357514138832,31717442340054,1,1,"(0.5527923107147217, 0.2373100370168686)","(0.5359097719192505, 0.24458159506320953)",1,1,2.1382598876953125,2.1828765869140625,"(-102.3049087524414, -75.13465881347656, 586.2765502929688)","(-39.00663375854492, -82.72334289550781, 596.0601806640625)","(27.350305557250977, 248.4387969970703, 79.78254699707031)","(18.646865844726562, 246.2371368408203, 78.98125457763672)"
21,11,6357514147166,31717442348388,1,1,"(0.5548242330551147, 0.23574236035346985)","(0.5330219864845276, 0.23807552456855774)",1,1,2.1044921875,2.1884918212890625,"(-102.31683349609375, -75.1331787109375, 586.222412109375)","(-39.019554138183594, -82.7327880859375, 596.098388671875)","(28.3978271484375, 248.9134521484375, 79.95530700683594)","(17.158096313476562, 248.20703125, 79.69821166992188)"
21,11,6357514155499,31717442356721,1,1,"(0.5486559867858887, 0.241554394364357)","(0.5334205627441406, 0.2396259754896164)",1,1,2.115585327148437,2.1912841796875,"(-102.32981872558594, -75.12696838378906, 586.1677856445312)","(-39.03434753417969, -82.72764587402344, 596.0672607421875)","(25.217870712280273, 247.15371704101562, 79.31480407714844)","(17.363616943359375, 247.7375946044922, 79.52734375)"
21,11,6357514163832,31717442365054,1,1,"(0.5481573939323425, 0.2508990168571472)","(0.5355960130691528, 0.2445136308670044)",1,1,2.0956573486328125,2.178939819335937,"(-102.35686492919922, -75.13592529296875, 586.1991577148438)","(-39.04331588745117, -82.73065185546875, 596.0755615234375)","(24.96088218688965, 244.3244171142578, 78.2850341796875)","(18.485095977783203, 246.2577362060547, 78.98871612548828)"
21,11,6357514172166,31717442373388,1,1,"(0.5460183620452881, 0.24789710342884064)","(0.5320003032684326, 0.2339993268251419)",1,1,2.132797241210937,2.1686553955078125,"(-102.36323547363281, -75.12747192382812, 586.1669311523438)","(-39.05624771118164, -82.73230743408203, 596.085693359375)","(23.8581485748291, 245.23330688476562, 78.61585998535156)","(16.63141441345215, 249.44117736816406, 80.14739990234375)"
21,11,6357514180504,31717442381726,1,1,"(0.5508981943130493, 0.24548308551311493)","(0.5356980562210083, 0.24449698626995087)",1,1,2.11346435546875,2.18267822265625,"(-102.37940979003906, -75.12628936767578, 586.1612548828125)","(-39.072452545166016, -82.73475646972656, 596.0919189453125)","(26.373825073242188, 245.96420288085938, 78.88188171386719)","(18.53769874572754, 246.26278686523438, 78.99054718017578)"
21,11,6357514188837,31717442390059,1,1,"(0.5507825613021851, 0.24243976175785065)","(0.5352408289909363, 0.24676832556724548)",1,1,2.10784912109375,2.178253173828125,"(-102.394287109375, -75.13744354248047, 586.15576171875)","(-39.086151123046875, -82.74321746826172, 596.0808715820312)","(26.314228057861328, 246.88565063476562, 79.21723937988281)","(18.301982879638672, 245.5750732421875, 78.74024200439453)"
21,11,6357514197170,31717442398393,1,1,"(0.549433171749115, 0.23695260286331177)","(0.533931314945221, 0.23971794545650482)",1,1,2.109954833984375,2.171981811523437,"(-102.41471099853516, -75.128173828125, 586.1600341796875)","(-39.093711853027344, -82.72704315185547, 596.0296020507812)","(25.618566513061523, 248.54701232910156, 79.82194519042969)","(17.62689208984375, 247.70973205566406, 79.51719665527344)"
21,11,6357514205503,31717442406726,1,1,"(0.554623007774353, 0.2431461364030838)","(0.5330774188041687, 0.24072182178497314)",1,1,2.1109161376953125,2.1472625732421875,"(-102.42881774902344, -75.12599182128906, 586.135986328125)","(-39.105987548828125, -82.72015380859375, 595.9886474609375)","(28.29408836364746, 246.67176818847656, 79.13941192626953)","(17.18668556213379, 247.40579223632812, 79.40658569335938)"
21,11,6357514213836,31717442415059,1,1,"(0.549282968044281, 0.2434842586517334)","(0.5333971381187439, 0.24005863070487976)",1,1,2.1051025390625,2.1707916259765625,"(-102.43589782714844, -75.13602447509766, 586.081298828125)","(-39.11671447753906, -82.72576904296875, 595.9089965820312)","(25.5411434173584, 246.5694122314453, 79.10212707519531)","(17.35153579711914, 247.60659790039062, 79.47967529296875)"
21,11,6357514222170,31717442423393,1,1,"(0.5479661226272583, 0.24395623803138733)","(0.5301416516304016, 0.24243751168251038)",1,1,2.1124420166015625,2.1733856201171875,"(-102.47291564941406, -75.13440704345703, 586.1612548828125)","(-39.12413024902344, -82.6982192993164, 595.8286743164062)","(24.862232208251953, 246.426513671875, 79.05013275146484)","(15.673213005065918, 246.88632202148438, 79.21749114990234)"
21,11,6357514230503,31717442431726,1,1,"(0.5481570959091187, 0.2364596277475357)","(0.5279450416564941, 0.24451512098312378)",1,1,2.12213134765625,2.187408447265625,"(-102.47787475585938, -75.13280487060547, 586.077392578125)","(-39.137420654296875, -82.69744873046875, 595.7872924804688)","(24.960710525512695, 248.69625854492188, 79.87631225585938)","(14.540810585021973, 246.2572784423828, 78.98854064941406)"
21,11,6357514238836,31717442440059,1,1,"(0.5507674217224121, 0.2482183277606964)","(0.5323750972747803, 0.24557030200958252)",1,1,2.097564697265625,2.1761474609375,"(-102.49848937988281, -75.14372253417969, 586.0594482421875)","(-39.153404235839844, -82.699951171875, 595.7550048828125)","(26.306428909301758, 245.13601684570312, 78.58047485351562)","(16.82463264465332, 245.9377899169922, 78.87226867675781)"
21,11,6357514247169,31717442448393,1,1,"(0.5529325604438782, 0.24853095412254333)","(0.526411235332489, 0.24659547209739685)",1,1,2.0966949462890625,2.1865234375,"(-102.50943756103516, -75.1305923461914, 586.0062866210938)","(-39.16838836669922, -82.69551086425781, 595.763671875)","(27.422603607177734, 245.04139709472656, 78.5460205078125)","(13.750085830688477, 245.62741088867188, 78.75927734375)"
21,11,6357514255502,31717442456726,1,1,"(0.5450090169906616, 0.2623836100101471)","(0.529187798500061, 0.2393282949924469)",1,1,2.113021850585937,2.1962432861328125,"(-102.53741455078125, -75.14405822753906, 586.0673828125)","(-39.18095397949219, -82.70430755615234, 595.7517700195312)","(23.337799072265625, 240.84713745117188, 77.0194320678711)","(15.181477546691895, 247.82772827148438, 79.5601577758789)"
21,11,6357514263835,31717442465059,1,1,"(0.5502718687057495, 0.24794015288352966)","(0.5344984531402588, 0.24009625613689423)",1,1,2.1167449951171875,2.1689453125,"(-102.5383529663086, -75.14039611816406, 586.016845703125)","(-39.198448181152344, -82.70528411865234, 595.7598876953125)","(26.050954818725586, 245.22027587890625, 78.61113739013672)","(17.919235229492188, 247.59521484375, 79.47550964355469)"
21,11,6357514272169,31717442473393,1,1,"(0.5438436269760132, 0.24759326875209808)","(0.5299624800682068, 0.24333783984184265)",1,1,2.08001708984375,2.1843414306640625,"(-102.5361328125, -75.1333999633789, 585.95654296875)","(-39.20167541503906, -82.70198059082031, 595.6995849609375)","(22.736982345581055, 245.32530212402344, 78.64933776855469)","(15.580841064453125, 246.6137237548828, 79.1183090209961)"
21,11,6357514280503,31717442481727,1,1,"(0.5482953190803528, 0.2465537041425705)","(0.5316802859306335, 0.24285057187080383)",1,1,2.101181030273437,2.192962646484375,"(-102.53877258300781, -75.1435775756836, 585.9537963867188)","(-39.2042236328125, -82.71878051757812, 595.7196655273438)","(25.031953811645508, 245.64007568359375, 78.76387786865234)","(16.466432571411133, 246.7612762451172, 79.1719741821289)"
21,11,6357514288835,31717442490059,1,1,"(0.5452569723129272, 0.2490650713443756)","(0.5295521020889282, 0.24802958965301514)",1,1,2.130035400390625,2.186996459960937,"(-102.53324127197266, -75.12945556640625, 585.92431640625)","(-39.198280334472656, -82.71006774902344, 595.7010498046875)","(23.465621948242188, 244.8796844482422, 78.48712158203125)","(15.369303703308105, 245.19317626953125, 78.60125732421875)"
21,11,6357514297170,31717442498394,1,1,"(0.5530316829681396, 0.24106323719024658)","(0.532948911190033, 0.23678459227085114)",1,1,2.1307373046875,2.1829376220703125,"(-102.53031921386719, -75.13603210449219, 585.92724609375)","(-39.19227600097656, -82.71656036376953, 595.6614379882812)","(27.47370147705078, 247.3024139404297, 79.36895751953125)","(17.120447158813477, 248.59788513183594, 79.84049224853516)"
