participant_id,function_fid,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,irl_left_eye_coordinates,irl_right_eye_coordinates,irl_left_point_on_screen,irl_right_point_on_screen
22,3,6443452038955,31803382007049,1,1,"(0.49186238646507263, 0.3263591229915619)","(0.48916804790496826, 0.3526456654071808)",1,1,2.812408447265625,2.8303985595703125,"(-36.01487731933594, 28.33563232421875, 682.4862670898438)","(21.69076156616211, 27.963138580322266, 679.2923583984375)","(-4.060874938964844, 221.47698974609375, 69.96920776367188)","(-5.44990348815918, 213.51809692382812, 67.07241821289062)"
22,3,6443452047288,31803382015382,1,1,"(0.4889838397502899, 0.31658798456192017)","(0.4850258529186249, 0.3548695147037506)",1,1,2.796783447265625,2.8430328369140625,"(-36.004554748535156, 28.3414249420166, 682.5658569335938)","(21.70743751525879, 27.96510124206543, 679.3040771484375)","(-5.544876575469971, 224.43545532226562, 71.04600524902344)","(-7.585330963134766, 212.84478759765625, 66.82733917236328)"
22,3,6443452055621,31803382023716,1,1,"(0.49116551876068115, 0.3282768428325653)","(0.4894428253173828, 0.3543154299259186)",1,1,2.813461303710937,2.826156616210937,"(-35.98891830444336, 28.361530303955078, 682.6190795898438)","(21.72732162475586, 27.974868774414062, 679.3408813476562)","(-4.420167922973633, 220.89637756347656, 69.75788116455078)","(-5.308246612548828, 213.01254272460938, 66.8884048461914)"
22,3,6443452063955,31803382032050,1,1,"(0.4857912063598633, 0.32000115513801575)","(0.49004092812538147, 0.35218313336372375)",1,1,2.795394897460937,2.812591552734375,"(-35.9588623046875, 28.349220275878906, 682.558349609375)","(21.744234085083008, 27.97519874572754, 679.3908081054688)","(-7.1907734870910645, 223.40203857421875, 70.66990661621094)","(-4.999910831451416, 213.65814208984375, 67.12340545654297)"
22,3,6443452072288,31803382040383,1,1,"(0.4867178499698639, 0.31909796595573425)","(0.4900730848312378, 0.34203478693962097)",1,1,2.804428100585937,2.8195953369140625,"(-35.936527252197266, 28.355976104736328, 682.5350341796875)","(21.76311683654785, 27.984050750732422, 679.478759765625)","(-6.71305513381958, 223.6754913330078, 70.76940155029297)","(-4.983316421508789, 216.73080444335938, 68.24176025390625)"
22,3,6443452080621,31803382048716,1,1,"(0.4841952323913574, 0.3173186480998993)","(0.4960297644138336, 0.3517370820045471)",1,1,2.772918701171875,2.8136749267578125,"(-35.91321563720703, 28.371017456054688, 682.5245361328125)","(21.78499984741211, 27.996402740478516, 679.5035400390625)","(-8.013529777526855, 224.21424865722656, 70.96548461914062)","(-1.9124821424484253, 213.79319763183594, 67.17254638671875)"
22,3,6443452088954,31803382057049,1,1,"(0.4893936216831207, 0.3206872045993805)","(0.4937361776828766, 0.3449333608150482)",1,1,2.7879638671875,2.80438232421875,"(-35.894840240478516, 28.369182586669922, 682.5269165039062)","(21.80530548095703, 27.991796493530273, 679.41259765625)","(-5.333630561828613, 223.19432067871094, 70.59429168701172)","(-3.094899892807007, 215.8532257080078, 67.92228698730469)"
22,3,6443452097288,31803382065383,1,1,"(0.48739054799079895, 0.32850557565689087)","(0.49615585803985596, 0.35491424798965454)",1,1,2.7952880859375,2.82928466796875,"(-35.864532470703125, 28.3759822845459, 682.4783935546875)","(21.827730178833008, 27.989986419677734, 679.28369140625)","(-6.366278648376465, 220.8271026611328, 69.73270416259766)","(-1.8474717140197754, 212.8312225341797, 66.82243347167969)"
22,3,6443452105621,31803382073716,1,1,"(0.48983830213546753, 0.3359086215496063)","(0.49338650703430176, 0.35226261615753174)",1,1,2.806182861328125,2.8276824951171875,"(-35.846038818359375, 28.389850616455078, 682.5319213867188)","(21.85700035095215, 27.995697021484375, 679.2686767578125)","(-5.104357719421387, 218.5856475830078, 68.91687774658203)","(-3.2751762866973877, 213.63409423828125, 67.11463928222656)"
22,3,6443452113954,31803382082050,1,1,"(0.48843660950660706, 0.3229324519634247)","(0.49157875776290894, 0.356166273355484)",1,1,2.78851318359375,2.82891845703125,"(-35.825111389160156, 28.390825271606445, 682.5345458984375)","(21.887359619140625, 27.992630004882812, 679.2666625976562)","(-5.826959133148193, 222.51449584960938, 70.34684753417969)","(-4.207117557525635, 212.45213317871094, 66.68447875976562)"
22,3,6443452122287,31803382090383,1,1,"(0.48683181405067444, 0.32358458638191223)","(0.4912402033805847, 0.3487432301044464)",1,1,2.80499267578125,2.815902709960937,"(-35.805416107177734, 28.392650604248047, 682.5758056640625)","(21.917634963989258, 27.983827590942383, 679.2644653320312)","(-6.654278755187988, 222.3170623779297, 70.2750015258789)","(-4.381640434265137, 214.6996612548828, 67.50245666503906)"
22,3,6443452130620,31803382098716,1,1,"(0.4899483919143677, 0.3273771107196808)","(0.48883557319641113, 0.34877729415893555)",1,1,2.776229858398437,2.809234619140625,"(-35.79345703125, 28.40838623046875, 682.6416015625)","(21.940155029296875, 27.989059448242188, 679.3140869140625)","(-5.047616481781006, 221.16879272460938, 69.8570327758789)","(-5.621312141418457, 214.6893310546875, 67.49872589111328)"
22,3,6443452138953,31803382107049,1,1,"(0.49042457342147827, 0.3248249292373657)","(0.48950132727622986, 0.3492700755596161)",1,1,2.7786865234375,2.7960662841796875,"(-35.777706146240234, 28.402956008911133, 682.6301879882812)","(21.959716796875, 27.98815155029297, 679.3768310546875)","(-4.8021392822265625, 221.9415283203125, 70.13829040527344)","(-5.278075695037842, 214.54013061523438, 67.44441986083984)"
22,3,6443452147291,31803382115387,1,1,"(0.490003377199173, 0.3298273980617523)","(0.48939165472984314, 0.3482995331287384)",1,1,2.7603912353515625,2.7990264892578125,"(-35.764801025390625, 28.404136657714844, 682.645263671875)","(21.972782135009766, 27.990463256835938, 679.4271240234375)","(-5.01926326751709, 220.42691040039062, 69.58704376220703)","(-5.334613800048828, 214.83399963378906, 67.55137634277344)"
22,3,6443452155624,31803382123720,1,1,"(0.49064892530441284, 0.3216478228569031)","(0.49216634035110474, 0.3537828326225281)",1,1,2.756439208984375,2.8192901611328125,"(-35.75559997558594, 28.407682418823242, 682.6204833984375)","(21.980073928833008, 27.99626922607422, 679.4517822265625)","(-4.686458587646484, 222.90345764160156, 70.48843383789062)","(-3.9041903018951416, 213.17381286621094, 66.94705963134766)"
22,3,6443452163958,31803382132054,1,1,"(0.4918671250343323, 0.3262055814266205)","(0.4913276433944702, 0.3463369309902191)",1,1,2.76080322265625,2.7993927001953125,"(-35.750240325927734, 28.410385131835938, 682.5691528320312)","(21.984302520751953, 27.999324798583984, 679.4390869140625)","(-4.058434963226318, 221.52346801757812, 69.98619079589844)","(-4.336585998535156, 215.42822265625, 67.76764678955078)"
22,3,6443452172289,31803382140386,1,1,"(0.4891244173049927, 0.3180199861526489)","(0.48979511857032776, 0.3539941608905792)",1,1,2.765975952148437,2.775054931640625,"(-35.743003845214844, 28.429697036743164, 682.4652709960938)","(21.975255966186523, 28.04275894165039, 679.3638916015625)","(-5.472390651702881, 224.0018768310547, 70.88822937011719)","(-5.126615047454834, 213.10980224609375, 66.92383575439453)"
22,3,6443452180623,31803382148720,1,1,"(0.4826001822948456, 0.29003238677978516)","(0.48968279361724854, 0.3338042199611664)",1,1,2.77789306640625,2.84503173828125,"(-35.716209411621094, 28.499860763549805, 682.03076171875)","(21.95989227294922, 28.149185180664062, 679.4405517578125)","(-8.83582592010498, 232.47579956054688, 73.9725112915039)","(-5.184512615203857, 219.22279357910156, 69.1488037109375)"
22,3,6443452188956,31803382157053,1,1,"(0.4808734357357025, 0.26103970408439636)","(0.4911719560623169, 0.3000578284263611)",1,1,2.7996978759765625,2.8493194580078125,"(-35.747047424316406, 28.59319305419922, 682.634033203125)","(21.923532485961914, 28.19329071044922, 679.289306640625)","(-9.726038932800293, 241.2540740966797, 77.16751098632812)","(-4.41684627532959, 229.44036865234375, 72.86767578125)"
22,3,6443452197290,31803382165387,1,1,"(0.4802713692188263, 0.2557934820652008)","(0.4897924065589905, 0.28781816363334656)",1,1,2.8143463134765625,2.8579254150390625,"(-35.7635383605957, 28.630956649780273, 682.6298828125)","(21.910167694091797, 28.22037124633789, 679.3162841796875)","(-10.036396026611328, 242.84249877929688, 77.74561309814453)","(-5.128019332885742, 233.14620971679688, 74.21649169921875)"
22,3,6443452205623,31803382173720,1,1,"(0.47528669238090515, 0.248917356133461)","(0.48742741346359253, 0.2940516173839569)",1,1,2.8197479248046875,2.860565185546875,"(-35.772743225097656, 28.63898468017578, 682.629150390625)","(21.911487579345703, 28.234786987304688, 679.3162841796875)","(-12.606156349182129, 244.9243927001953, 78.50340270996094)","(-6.347252368927002, 231.2589111328125, 73.5295181274414)"
22,3,6443452213956,31803382182053,1,1,"(0.47978028655052185, 0.2516806125640869)","(0.48738357424736023, 0.2943531274795532)",1,1,2.81915283203125,2.8545379638671875,"(-35.78240203857422, 28.65139389038086, 682.601318359375)","(21.912296295166016, 28.247533798217773, 679.2779541015625)","(-10.289566993713379, 244.0877685546875, 78.19884490966797)","(-6.3698506355285645, 231.1676025390625, 73.49632263183594)"
22,3,6443452222288,31803382190386,1,1,"(0.4791676104068756, 0.2583922743797302)","(0.49010592699050903, 0.2870149612426758)",1,1,2.8383331298828125,2.854583740234375,"(-35.7913703918457, 28.663745880126953, 682.5609130859375)","(21.91485595703125, 28.264392852783203, 679.27783203125)","(-10.605429649353027, 242.0556640625, 77.45919036865234)","(-4.966396808624268, 233.38943481445312, 74.3049545288086)"
22,3,6443452230622,31803382198720,1,1,"(0.4785448908805847, 0.253407746553421)","(0.4877292513847351, 0.2877814471721649)",1,1,2.8218536376953125,2.841094970703125,"(-35.788368225097656, 28.672147750854492, 682.4708251953125)","(21.917476654052734, 28.28911590576172, 679.2777709960938)","(-10.926457405090332, 243.56484985351562, 78.00849151611328)","(-6.191649436950684, 233.1573486328125, 74.22052001953125)"
22,3,6443452238955,31803382207053,1,1,"(0.47874388098716736, 0.25155889987945557)","(0.48829254508018494, 0.2904396057128906)",1,1,2.793365478515625,2.8345489501953125,"(-35.791141510009766, 28.673946380615234, 682.4705810546875)","(21.920684814453125, 28.292251586914062, 679.251953125)","(-10.823867797851562, 244.1246337890625, 78.21226501464844)","(-5.901251792907715, 232.35252380371094, 73.92758178710938)"
22,3,6443452247289,31803382215387,1,1,"(0.4767698049545288, 0.2509193420410156)","(0.49022936820983887, 0.29367148876190186)",1,1,2.8085174560546875,2.842071533203125,"(-35.78717803955078, 28.675334930419922, 682.4195556640625)","(21.927141189575195, 28.300586700439453, 679.1878662109375)","(-11.841559410095215, 244.31825256347656, 78.28276062011719)","(-4.902766227722168, 231.37399291992188, 73.57141876220703)"
22,3,6443452255622,31803382223720,1,1,"(0.47917741537094116, 0.24739187955856323)","(0.4868214726448059, 0.29640746116638184)",1,1,2.7816314697265625,2.8260955810546875,"(-35.785709381103516, 28.667057037353516, 682.35498046875)","(21.93354034423828, 28.293684005737305, 679.1875610351562)","(-10.600345611572266, 245.3862762451172, 78.67147064208984)","(-6.659629821777344, 230.54559326171875, 73.26995086669922)"
22,3,6443452263955,31803382232053,1,1,"(0.47742214798927307, 0.25454580783843994)","(0.48937803506851196, 0.2933512032032013)",1,1,2.818511962890625,2.8408660888671875,"(-35.788429260253906, 28.66724395751953, 682.3551635742188)","(21.935781478881836, 28.294389724731445, 679.13623046875)","(-11.505263328552246, 243.22024536132812, 77.88313293457031)","(-5.341647624969482, 231.47096252441406, 73.60675048828125)"
22,3,6443452272289,31803382240387,1,1,"(0.4784986674785614, 0.2527567148208618)","(0.48428523540496826, 0.29481348395347595)",1,1,2.798095703125,2.8385467529296875,"(-35.790931701660156, 28.65919303894043, 682.3031005859375)","(21.93311882019043, 28.283245086669922, 679.072021484375)","(-10.950302124023438, 243.76194763183594, 78.08030700683594)","(-7.967144966125488, 231.02822875976562, 73.44558715820312)"
22,3,6443452280625,31803382248724,1,1,"(0.4793928265571594, 0.25389212369918823)","(0.48785680532455444, 0.29316118359565735)",1,1,2.799057006835937,2.8518524169921875,"(-35.79761505126953, 28.646217346191406, 682.2250366210938)","(21.927518844604492, 28.269683837890625, 679.034912109375)","(-10.489312171936035, 243.41818237304688, 77.95513916015625)","(-6.125894069671631, 231.52850341796875, 73.627685546875)"
22,3,6443452288958,31803382257057,1,1,"(0.4781419336795807, 0.2624451816082001)","(0.49088573455810547, 0.2926497757434845)",1,1,2.803375244140625,2.8347625732421875,"(-35.810943603515625, 28.64504623413086, 682.1842041015625)","(21.918922424316406, 28.267614364624023, 679.0098876953125)","(-11.134180068969727, 240.82852172851562, 77.0125732421875)","(-4.564392566680908, 231.68333435058594, 73.68402862548828)"
22,3,6443452297292,31803382265391,1,1,"(0.48046764731407166, 0.2603228986263275)","(0.4879871606826782, 0.29245486855506897)",1,1,2.8043212890625,2.855331420898437,"(-35.82156753540039, 28.6318359375, 682.0672607421875)","(21.902145385742188, 28.251731872558594, 678.9342651367188)","(-9.935229301452637, 241.47109985351562, 77.24650573730469)","(-6.0586957931518555, 231.74237060546875, 73.70548248291016)"
22,3,6443452305625,31803382273724,1,1,"(0.479276567697525, 0.26310497522354126)","(0.49053311347961426, 0.28857308626174927)",1,1,2.8008575439453125,2.829696655273437,"(-35.84000778198242, 28.626094818115234, 682.000732421875)","(21.88719940185547, 28.239151000976562, 678.8970947265625)","(-10.549262046813965, 240.62876892089844, 76.93989562988281)","(-4.746176242828369, 232.91766357421875, 74.13330078125)"
22,3,6443452313958,31803382282057,1,1,"(0.47686469554901123, 0.2603595554828644)","(0.4891971945762634, 0.2845396399497986)",1,1,2.8066864013671875,2.83270263671875,"(-35.857177734375, 28.62590789794922, 681.9335327148438)","(21.869644165039062, 28.239450454711914, 678.8469848632812)","(-11.792647361755371, 241.4600067138672, 77.2424545288086)","(-5.4348859786987305, 234.138916015625, 74.5777359008789)"
22,3,6443452322292,31803382290391,1,1,"(0.4784809947013855, 0.2593095898628235)","(0.48737427592277527, 0.2858276665210724)",1,1,2.8150177001953125,2.841033935546875,"(-35.87552261352539, 28.627790451049805, 681.9056396484375)","(21.85268783569336, 28.23830795288086, 678.8356323242188)","(-10.959400177001953, 241.7779083251953, 77.35813903808594)","(-6.374651908874512, 233.74888610839844, 74.43588256835938)"
22,3,6443452330625,31803382298724,1,1,"(0.4805384576320648, 0.2630109190940857)","(0.48724037408828735, 0.2902946472167969)",1,1,2.8000030517578125,2.8283843994140625,"(-35.897640228271484, 28.628110885620117, 681.954833984375)","(21.83446502685547, 28.232650756835938, 678.810791015625)","(-9.898714065551758, 240.65725708007812, 76.95023345947266)","(-6.443680286407471, 232.3964080810547, 73.94357299804688)"
22,3,6443452338957,31803382307057,1,1,"(0.4800949990749359, 0.25932222604751587)","(0.48980486392974854, 0.29006001353263855)",1,1,2.803924560546875,2.834716796875,"(-35.90921401977539, 28.634111404418945, 681.953369140625)","(21.81846809387207, 28.246065139770508, 678.824951171875)","(-10.127330780029297, 241.7740936279297, 77.35675811767578)","(-5.121603012084961, 232.4674530029297, 73.96940612792969)"
22,3,6443452347290,31803382315390,1,1,"(0.4796559512615204, 0.25615194439888)","(0.4866549074649811, 0.29800939559936523)",1,1,2.805755615234375,2.8502349853515625,"(-35.923194885253906, 28.644790649414062, 681.9765625)","(21.805294036865234, 28.266414642333984, 678.825927734375)","(-10.353659629821777, 242.7339630126953, 77.70614624023438)","(-6.745497703552246, 230.06056213378906, 73.09343719482422)"
22,3,6443452355624,31803382323724,1,1,"(0.4718192219734192, 0.2278834879398346)","(0.4818292260169983, 0.2748247981071472)",1,1,2.811370849609375,2.8511199951171875,"(-35.970367431640625, 28.704437255859375, 681.8836059570312)","(21.727659225463867, 28.353601455688477, 678.8558349609375)","(-14.3937406539917, 251.2929229736328, 80.82133483886719)","(-9.23328685760498, 237.08029174804688, 75.64837646484375)"
22,3,6443452363957,31803382332057,1,1,"(0.44741886854171753, 0.17179231345653534)","(0.46674588322639465, 0.22155848145484924)",1,1,2.8152313232421875,2.8679351806640625,"(-35.990318298339844, 28.800243377685547, 681.67236328125)","(21.616357803344727, 28.452686309814453, 678.6599731445312)","(-26.972848892211914, 268.2759094238281, 87.00263977050781)","(-17.009204864501953, 253.2080078125, 81.51831817626953)"
22,3,6443452372291,31803382340391,1,1,"(0.4364602267742157, 0.12670835852622986)","(0.4534064829349518, 0.2014847844839096)",1,1,2.84600830078125,2.87115478515625,"(-36.040740966796875, 28.84052276611328, 681.9375)","(21.565959930419922, 28.53862762451172, 678.8414306640625)","(-32.62236022949219, 281.92620849609375, 91.97096252441406)","(-23.88604736328125, 259.2857971191406, 83.73049926757812)"
22,3,6443452380624,31803382348724,1,1,"(0.43288448452949524, 0.12262263894081116)","(0.4514439105987549, 0.19571761786937714)",1,1,2.8373565673828125,2.888153076171875,"(-36.05498504638672, 28.858240127563477, 682.0377197265625)","(21.55801010131836, 28.55698585510254, 678.8414306640625)","(-34.46575164794922, 283.1632385253906, 92.42121887207031)","(-24.89781951904297, 261.03192138671875, 84.36608123779297)"
22,3,6443452388957,31803382357057,1,1,"(0.44150951504707336, 0.1292208880186081)","(0.45096927881240845, 0.1888454109430313)",1,1,2.8518829345703125,2.857513427734375,"(-36.04905700683594, 28.85955810546875, 681.8327026367188)","(21.564722061157227, 28.55801773071289, 678.7645874023438)","(-30.01929473876953, 281.16546630859375, 91.69404602050781)","(-25.14251136779785, 263.1126708984375, 85.12336730957031)"
