024,30,19794667122645,20617963290,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667130978,20617971623,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667139311,20617979956,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667147644,20617988290,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667155976,20617996622,1,1,"(0.4532950520515442, 0.3304727077484131)","(0.4534738063812256, 0.7753397226333618)",1,1,2.11444091796875,2.4472808837890625,"(-52.41438293457031, -54.5008430480957, 662.8798217773438)","(2.5668396949768066, -49.274593353271484, 653.2572021484375)","(-23.94349479675293, 220.23150634765625, 69.51591491699219)","(-23.851367950439453, 85.53704071044922, 20.491104125976562)"
024,30,19794667164310,20618004956,1,1,"(0.46098586916923523, 0.33013513684272766)","(0.4580850601196289, 0.3848471939563751)",1,1,2.2044830322265625,2.2455291748046875,"(-52.40956115722656, -54.536659240722656, 662.7945556640625)","(2.5497941970825195, -49.30576705932617, 653.11669921875)","(-19.978652954101562, 220.33372497558594, 69.55309295654297)","(-21.47412109375, 203.76828002929688, 63.52381896972656)"
024,30,19794667172643,20618013289,1,1,"(0.4538327753543854, 0.3407193422317505)","(0.4683472216129303, 0.3258773982524872)",1,1,2.1783294677734375,2.3294677734375,"(-52.39204406738281, -54.54680633544922, 662.638671875)","(2.538459300994873, -49.333152770996094, 653.0703125)","(-23.666292190551758, 217.1290740966797, 68.38673400878906)","(-16.18366241455078, 221.6228485107422, 70.02233123779297)"
024,30,19794667180976,20618021622,1,1,"(0.4546804428100586, 0.3608722686767578)","(0.4686429798603058, 0.36777883768081665)",1,1,2.2004547119140625,2.2774505615234375,"(-52.394081115722656, -54.561073303222656, 662.675537109375)","(2.5378119945526123, -49.35700225830078, 653.106201171875)","(-23.22928237915039, 211.0272674560547, 66.16586303710938)","(-16.031185150146484, 208.9361572265625, 65.40475463867188)"
024,30,19794667189314,20618029960,1,1,"(0.452823668718338, 0.33755481243133545)","(0.4675844609737396, 0.3696698844432831)",1,1,2.1542510986328125,2.282684326171875,"(-52.38462829589844, -54.57343292236328, 662.640380859375)","(2.5407161712646484, -49.365264892578125, 653.0240478515625)","(-24.18650245666504, 218.08721923828125, 68.7354507446289)","(-16.576881408691406, 208.36361694335938, 65.1963119506836)"
024,30,19794667197646,20618038293,1,1,"(0.4525359570980072, 0.33348366618156433)","(0.46708428859710693, 0.3727031946182251)",1,1,2.1549072265625,2.276123046875,"(-52.381431579589844, -54.57294464111328, 662.713623046875)","(2.5444388389587402, -49.366111755371094, 652.9415893554688)","(-24.3348388671875, 219.3198699951172, 69.1840591430664)","(-16.834739685058594, 207.4451904296875, 64.862060546875)"
024,30,19794667205980,20618046627,1,1,"(0.45467472076416016, 0.3457511365413666)","(0.4636147916316986, 0.37123534083366394)",1,1,2.1923828125,2.2687225341796875,"(-52.370784759521484, -54.579132080078125, 662.6419067382812)","(2.5537779331207275, -49.372337341308594, 652.9296875)","(-23.23224639892578, 215.6055908203125, 67.83222198486328)","(-18.62337875366211, 207.88961791992188, 65.02381134033203)"
024,30,19794667214313,20618054960,1,1,"(0.4525105953216553, 0.3182199001312256)","(0.46643033623695374, 0.37261807918548584)",1,1,2.1406707763671875,2.269683837890625,"(-52.36536407470703, -54.56938552856445, 662.6302490234375)","(2.554248094558716, -49.36648178100586, 652.8944091796875)","(-24.347917556762695, 223.9413604736328, 70.86615753173828)","(-17.171863555908203, 207.47097778320312, 64.87144470214844)"
024,30,19794667222646,20618063293,1,1,"(0.4574780762195587, 0.32069048285484314)","(0.4624115526676178, 0.36801791191101074)",1,1,2.1490936279296875,2.2811737060546875,"(-52.36347198486328, -54.547481536865234, 662.617919921875)","(2.5556652545928955, -49.36178970336914, 652.96484375)","(-21.787033081054688, 223.1933135986328, 70.59390258789062)","(-19.243667602539062, 208.86376953125, 65.37840270996094)"
024,30,19794667230980,20618071627,1,1,"(0.45559167861938477, 0.3262780010700226)","(0.46491941809654236, 0.37073150277137756)",1,1,2.138702392578125,2.2850494384765625,"(-52.36455535888672, -54.5339241027832, 662.6182861328125)","(2.5495595932006836, -49.359920501708984, 652.965087890625)","(-22.759519577026367, 221.50157165527344, 69.9781494140625)","(-17.950796127319336, 208.0421600341797, 65.07935333251953)"
024,30,19794667239313,20618079960,1,1,"(0.4575737714767456, 0.36039629578590393)","(0.466705858707428, 0.37885621190071106)",1,1,2.2072296142578125,2.3196563720703125,"(-52.37507247924805, -54.51002502441406, 662.6900634765625)","(2.545731782913208, -49.34078598022461, 652.8942260742188)","(-21.737688064575195, 211.17140197753906, 66.2182846069336)","(-17.029829025268555, 205.5821990966797, 64.18402099609375)"
024,30,19794667247645,20618088293,1,1,"(0.45323631167411804, 0.34170445799827576)","(0.46431005001068115, 0.3641287684440613)",1,1,2.1811676025390625,2.300048828125,"(-52.386497497558594, -54.4772834777832, 662.6898803710938)","(2.5471925735473633, -49.330230712890625, 653.023193359375)","(-23.973785400390625, 216.83084106445312, 68.27816009521484)","(-18.26494026184082, 210.04132080078125, 65.80697631835938)"
024,30,19794667255978,20618096626,1,1,"(0.4530671536922455, 0.36886146664619446)","(0.45828020572662354, 0.3654397130012512)",1,1,2.217071533203125,2.2788543701171875,"(-52.38816833496094, -54.456260681152344, 662.6885986328125)","(2.550468921661377, -49.32299041748047, 653.05810546875)","(-24.060997009277344, 208.60836791992188, 65.2854232788086)","(-21.37351417541504, 209.64439392089844, 65.66251373291016)"
024,30,19794667264312,20618104960,1,1,"(0.451271653175354, 0.3317389488220215)","(0.4577706456184387, 0.36833828687667847)",1,1,2.1194000244140625,2.2853240966796875,"(-52.387062072753906, -54.43214416503906, 662.6398315429688)","(2.5511693954467773, -49.31359100341797, 653.0457763671875)","(-24.98663330078125, 219.84812927246094, 69.37638854980469)","(-21.63619613647461, 208.76675415039062, 65.34308624267578)"
024,30,19794667272647,20618113295,1,1,"(0.4504474997520447, 0.3697347640991211)","(0.45918792486190796, 0.36090317368507385)",1,1,2.2203216552734375,2.2873077392578125,"(-52.385704040527344, -54.42144012451172, 662.65185546875)","(2.5570871829986572, -49.303279876708984, 653.1280517578125)","(-25.411521911621094, 208.343994140625, 65.18917083740234)","(-20.905536651611328, 211.01792907714844, 66.1624526977539)"
024,30,19794667280979,20618121627,1,1,"(0.4494789242744446, 0.3487934172153473)","(0.4596053957939148, 0.36565881967544556)",1,1,2.186126708984375,2.2831268310546875,"(-52.39444351196289, -54.42578125, 662.8238525390625)","(2.5630884170532227, -49.29917907714844, 653.1630859375)","(-25.910816192626953, 214.68446350097656, 67.49695587158203)","(-20.690326690673828, 209.5780487060547, 65.63837432861328)"
024,30,19794667289314,20618129962,1,1,"(0.4537775218486786, 0.3350159227848053)","(0.46017858386039734, 0.3676559329032898)",1,1,2.188629150390625,2.2745513916015625,"(-52.38235855102539, -54.405696868896484, 662.739013671875)","(2.573094367980957, -49.29483413696289, 653.2691650390625)","(-23.694774627685547, 218.85594177246094, 69.01526641845703)","(-20.394832611083984, 208.97335815429688, 65.41829681396484)"
024,30,19794667297645,20618138293,1,1,"(0.428600937128067, 0.31469279527664185)","(0.43675553798675537, 0.34442776441574097)",1,1,2.2332611083984375,2.308502197265625,"(-52.45457458496094, -54.382904052734375, 662.7996826171875)","(2.5040645599365234, -49.264076232910156, 653.317138671875)","(-36.674068450927734, 225.00926208496094, 71.2548599243164)","(-32.47011184692383, 216.0062713623047, 67.9780502319336)"
024,30,19794667305977,20618146626,1,1,"(0.3766934275627136, 0.2884708642959595)","(0.38834893703460693, 0.3340684771537781)",1,1,2.281585693359375,2.3649749755859375,"(-52.60084533691406, -54.31873321533203, 662.8477783203125)","(2.3516643047332764, -49.19868469238281, 653.1656494140625)","(-63.433921813964844, 232.9486083984375, 74.14457702636719)","(-57.425167083740234, 219.14279174804688, 69.11967468261719)"
